schema,orbit_id,rep_config_id,rep_readable,signature_key,orbit_size,stabilizer_size
CCXX,0,0,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[0,0|0,0]]","(True, True, True, True, True, True, True, (0, 0, 0, 0), (0, 0, 0, 0))",27,8
CCXX,1,1,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[0,0|0,1]]","(True, True, True, True, False, True, False, (0, 0, 0, 0), (0, 0, 0, 1))",54,4
CCXX,2,3,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[0,0|1,0]]","(True, False, True, True, False, True, False, (0, 0, 0, 0), (0, 0, 0, 0))",54,4
CCXX,3,4,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[0,0|1,1]]","(True, False, True, True, False, True, False, (0, 0, 0, 0), (0, 0, 0, 1))",108,2
CCXX,4,9,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[0,1|0,0]]","(True, False, True, True, False, True, False, (0, 0, 0, 0), (0, 0, 0, 0))",54,4
CCXX,5,10,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[0,1|0,1]]","(True, False, True, True, False, True, False, (0, 0, 0, 0), (0, 0, 0, 1))",108,2
CCXX,6,12,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[0,1|1,0]]","(True, True, True, True, True, True, True, (0, 0, 0, 0), (0, 0, 0, 0))",54,4
CCXX,7,13,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[0,1|1,1]]","(True, True, True, True, False, True, False, (0, 0, 0, 0), (0, 0, 0, 1))",108,2
CCXX,8,15,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[0,1|2,0]]","(True, False, True, True, False, True, False, (0, 0, 0, 0), (0, 0, 0, 0))",54,4
CCXX,9,16,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[0,1|2,1]]","(True, False, True, True, False, True, False, (0, 0, 0, 0), (0, 0, 0, 1))",108,2
CCXX,10,27,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[1,0|0,0]]","(True, True, True, True, False, True, False, (0, 0, 0, 1), (0, 0, 0, 0))",54,4
CCXX,11,28,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[1,0|0,1]]","(True, True, True, True, False, True, False, (0, 0, 0, 1), (0, 0, 0, 1))",108,2
CCXX,12,30,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[1,0|1,0]]","(True, False, True, True, False, True, False, (0, 0, 0, 1), (0, 0, 0, 0))",108,2
CCXX,13,31,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[1,0|1,1]]","(True, False, True, True, False, True, False, (0, 0, 0, 1), (0, 0, 0, 1))",216,1
CCXX,14,36,"CCXX[C[0,0],C[0,0],X[0,0|0,0],X[1,1|0,0]]","(True, False, True, True, False, True, False, (0, 0, 0, 1), (0, 0, 0, 0))",108,2
