schema,orbit_id,rep_config_id,orbit_size,stabilizer_order,stabilizer_type,is_abelian,element_orders,generator_action_ids
CXC,0,0,27,8,(Z2)^3,True,"{""1"": 1, ""2"": 7}","[1, 6, 36]"
CXC,1,1,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXC,2,3,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 6]"
CXC,3,4,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,4,9,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXC,5,10,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXC,6,11,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXC,7,12,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,8,13,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,9,14,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,10,27,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 36]"
CXC,11,28,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXC,12,30,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXC,13,31,216,1,Trivial,True,"{""1"": 1}",[]
CXC,14,36,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXC,15,37,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXC,16,38,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXC,17,39,216,1,Trivial,True,"{""1"": 1}",[]
CXC,18,40,216,1,Trivial,True,"{""1"": 1}",[]
CXC,19,41,216,1,Trivial,True,"{""1"": 1}",[]
CXC,20,243,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 6]"
CXC,21,244,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,22,246,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 6]"
CXC,23,247,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
