cxc_interface_orbit,stab_type_A,stab_type_B,stab_type_output,pair_count,fraction
0,Trivial,Trivial,Trivial,26784,0.96875
0,Trivial,Trivial,Z2,864,0.03125
0,Trivial,Z2,Trivial,30240,0.9722222222222222
0,Trivial,Z2,Z2,864,0.027777777777777776
0,Trivial,Z2xZ2,Trivial,10152,0.9791666666666666
0,Trivial,Z2xZ2,Z2,216,0.020833333333333332
0,Trivial,(Z2)^3,Trivial,864,1.0
0,Z2,Trivial,Trivial,30240,0.9722222222222222
0,Z2,Trivial,Z2,864,0.027777777777777776
0,Z2,Z2,Z2,14256,0.4074074074074074
0,Z2,Z2,Trivial,20304,0.5802469135802469
0,Z2,Z2,Z2xZ2,432,0.012345679012345678
0,Z2,Z2xZ2,Z2,8856,0.7592592592592593
0,Z2,Z2xZ2,Trivial,2592,0.2222222222222222
0,Z2,Z2xZ2,Z2xZ2,216,0.018518518518518517
0,Z2,(Z2)^3,Z2,972,1.0
0,Z2xZ2,Trivial,Trivial,10152,0.9791666666666666
0,Z2xZ2,Trivial,Z2,216,0.020833333333333332
0,Z2xZ2,Z2,Z2,8856,0.7592592592592593
0,Z2xZ2,Z2,Trivial,2592,0.2222222222222222
0,Z2xZ2,Z2,Z2xZ2,216,0.018518518518518517
0,Z2xZ2,Z2xZ2,Z2xZ2,1890,0.4861111111111111
0,Z2xZ2,Z2xZ2,Z2,1944,0.5
0,Z2xZ2,Z2xZ2,(Z2)^3,54,0.013888888888888888
0,Z2xZ2,(Z2)^3,Z2xZ2,324,1.0
0,(Z2)^3,Trivial,Trivial,864,1.0
0,(Z2)^3,Z2,Z2,972,1.0
0,(Z2)^3,Z2xZ2,Z2xZ2,324,1.0
0,(Z2)^3,(Z2)^3,(Z2)^3,27,1.0
1,Trivial,Trivial,Trivial,120528,0.96875
1,Trivial,Trivial,Z2,3888,0.03125
1,Trivial,Z2,Trivial,75816,0.975
1,Trivial,Z2,Z2,1944,0.025
1,Trivial,Z2xZ2,Trivial,7776,1.0
1,Z2,Trivial,Trivial,75816,0.975
1,Z2,Trivial,Z2,1944,0.025
1,Z2,Z2,Z2,32076,0.66
1,Z2,Z2,Trivial,15552,0.32
1,Z2,Z2,Z2xZ2,972,0.02
1,Z2,Z2xZ2,Z2,4860,1.0
1,Z2xZ2,Trivial,Trivial,7776,1.0
1,Z2xZ2,Z2,Z2,4860,1.0
1,Z2xZ2,Z2xZ2,Z2xZ2,486,1.0
2,Trivial,Trivial,Trivial,120528,0.96875
2,Trivial,Trivial,Z2,3888,0.03125
2,Trivial,Z2,Trivial,75816,0.975
2,Trivial,Z2,Z2,1944,0.025
2,Trivial,Z2xZ2,Trivial,7776,1.0
2,Z2,Trivial,Trivial,75816,0.975
2,Z2,Trivial,Z2,1944,0.025
2,Z2,Z2,Z2,32076,0.66
2,Z2,Z2,Trivial,15552,0.32
2,Z2,Z2,Z2xZ2,972,0.02
2,Z2,Z2xZ2,Z2,4860,1.0
2,Z2xZ2,Trivial,Trivial,7776,1.0
2,Z2xZ2,Z2,Z2,4860,1.0
2,Z2xZ2,Z2xZ2,Z2xZ2,486,1.0
3,Trivial,Trivial,Trivial,542376,0.96875
3,Trivial,Trivial,Z2,17496,0.03125
3,Trivial,Z2,Trivial,69984,1.0
3,Z2,Trivial,Trivial,69984,1.0
3,Z2,Z2,Z2,8748,1.0
4,Trivial,Trivial,Z2,16848,0.13541666666666666
4,Trivial,Trivial,Trivial,107136,0.8611111111111112
4,Trivial,Trivial,Z2xZ2,432,0.003472222222222222
4,Trivial,Z2,Z2,10152,0.13055555555555556
4,Trivial,Z2,Trivial,67392,0.8666666666666667
4,Trivial,Z2,Z2xZ2,216,0.002777777777777778
4,Trivial,Z2xZ2,Z2,864,0.1111111111111111
4,Trivial,Z2xZ2,Trivial,6912,0.8888888888888888
4,Z2,Trivial,Z2,10152,0.13055555555555556
4,Z2,Trivial,Trivial,67392,0.8666666666666667
4,Z2,Trivial,Z2xZ2,216,0.002777777777777778
4,Z2,Z2,Z2xZ2,4428,0.09111111111111111
4,Z2,Z2,Z2,30240,0.6222222222222222
4,Z2,Z2,Trivial,13824,0.28444444444444444
