stab_type_A,stab_type_B,stab_type_output,pair_count,fraction,total_pairs_for_AB
Trivial,Trivial,Trivial,32231736,0.9145012624715024,35245152
Trivial,Trivial,Z2,2925072,0.08299218003088765,35245152
Trivial,Trivial,Z2xZ2,87480,0.0024820434878533083,35245152
Trivial,Trivial,(Z2)^3,864,2.4514009756575884e-05,35245152
Trivial,Z2,Trivial,2925072,0.9427736006683375,3102624
Trivial,Z2,Z2,174960,0.05639097744360902,3102624
Trivial,Z2,Z2xZ2,2592,0.000835421888053467,3102624
Trivial,Z2xZ2,Trivial,87480,0.9712230215827338,90072
Trivial,Z2xZ2,Z2,2592,0.02877697841726619,90072
Trivial,(Z2)^3,Trivial,864,1.0,864
Z2,Trivial,Trivial,2925072,0.9427736006683375,3102624
Z2,Trivial,Z2,174960,0.05639097744360902,3102624
Z2,Trivial,Z2xZ2,2592,0.000835421888053467,3102624
Z2,Z2,Trivial,174960,0.13846153846153847,1263600
Z2,Z2,Z2,1024164,0.8105128205128205,1263600
Z2,Z2,Z2xZ2,63504,0.050256410256410255,1263600
Z2,Z2,(Z2)^3,972,0.0007692307692307692,1263600
Z2,Z2xZ2,Trivial,2592,0.0380952380952381,68040
Z2,Z2xZ2,Z2,63504,0.9333333333333333,68040
Z2,Z2xZ2,Z2xZ2,1944,0.02857142857142857,68040
Z2,(Z2)^3,Z2,972,1.0,972
Z2xZ2,Trivial,Trivial,87480,0.9712230215827338,90072
Z2xZ2,Trivial,Z2,2592,0.02877697841726619,90072
Z2xZ2,Z2,Trivial,2592,0.0380952380952381,68040
Z2xZ2,Z2,Z2,63504,0.9333333333333333,68040
Z2xZ2,Z2,Z2xZ2,1944,0.02857142857142857,68040
Z2xZ2,Z2xZ2,Z2,1944,0.16,12150
Z2xZ2,Z2xZ2,Z2xZ2,9882,0.8133333333333334,12150
Z2xZ2,Z2xZ2,(Z2)^3,324,0.02666666666666667,12150
Z2xZ2,(Z2)^3,Z2xZ2,324,1.0,324
(Z2)^3,Trivial,Trivial,864,1.0,864
(Z2)^3,Z2,Z2,972,1.0,972
(Z2)^3,Z2xZ2,Z2xZ2,324,1.0,324
(Z2)^3,(Z2)^3,(Z2)^3,27,1.0,27
