schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size,stabilizer_action_ids
AX,0,0,"AX[A[0,0],X[0,0|0,0]]",27,8,"[0, 1, 6, 7, 36, 37, 42, 43]"
AX,1,3,"AX[A[0,0],X[0,0|1,0]]",54,4,"[0, 1, 36, 37]"
AX,2,9,"AX[A[0,0],X[0,1|0,0]]",54,4,"[0, 1, 36, 37]"
AX,3,12,"AX[A[0,0],X[0,1|1,0]]",54,4,"[0, 1, 36, 37]"
AX,4,15,"AX[A[0,0],X[0,1|2,0]]",54,4,"[0, 1, 36, 37]"
AX,5,27,"AX[A[0,0],X[1,0|0,0]]",54,4,"[0, 1, 6, 7]"
AX,6,30,"AX[A[0,0],X[1,0|1,0]]",108,2,"[0, 1]"
AX,7,36,"AX[A[0,0],X[1,1|0,0]]",108,2,"[0, 1]"
AX,8,39,"AX[A[0,0],X[1,1|1,0]]",108,2,"[0, 1]"
AX,9,42,"AX[A[0,0],X[1,1|2,0]]",108,2,"[0, 1]"
