schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size,stabilizer_action_ids
BX,0,0,"BX[B[0,0],X[0,0|0,0]]",27,8,"[0, 1, 6, 7, 36, 37, 42, 43]"
BX,1,1,"BX[B[0,0],X[0,0|0,1]]",54,4,"[0, 6, 36, 42]"
BX,2,3,"BX[B[0,0],X[0,0|1,0]]",54,4,"[0, 1, 36, 37]"
BX,3,4,"BX[B[0,0],X[0,0|1,1]]",108,2,"[0, 36]"
BX,4,9,"BX[B[0,0],X[0,1|0,0]]",54,4,"[0, 1, 36, 37]"
BX,5,10,"BX[B[0,0],X[0,1|0,1]]",108,2,"[0, 36]"
BX,6,12,"BX[B[0,0],X[0,1|1,0]]",54,4,"[0, 1, 36, 37]"
BX,7,13,"BX[B[0,0],X[0,1|1,1]]",108,2,"[0, 36]"
BX,8,15,"BX[B[0,0],X[0,1|2,0]]",54,4,"[0, 1, 36, 37]"
BX,9,16,"BX[B[0,0],X[0,1|2,1]]",108,2,"[0, 36]"
