closure_step,A_orbit,B_orbit,A_stab_type,B_stab_type,total_pairs,output_inside_set,output_outside_set,output_orbit_ids,output_counts
1,0,0,(Z2)^3,(Z2)^3,27,27,0,[0],{0: 27}
1,0,1,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,2,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,4,(Z2)^3,Z2xZ2,54,54,0,[4],{4: 54}
1,0,5,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,6,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,10,(Z2)^3,Z2xZ2,54,54,0,[10],{10: 54}
1,0,20,(Z2)^3,Z2xZ2,54,54,0,[20],{20: 54}
1,0,30,(Z2)^3,Z2xZ2,54,54,0,[30],{30: 54}
1,0,34,(Z2)^3,Z2,108,108,0,[34],{34: 108}
1,0,40,(Z2)^3,Z2xZ2,54,54,0,[40],{40: 54}
1,0,50,(Z2)^3,Z2xZ2,54,54,0,[50],{50: 54}
1,0,52,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,54,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,95,(Z2)^3,Z2,108,108,0,[95],{95: 108}
1,0,125,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,126,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,127,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,131,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,132,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,133,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,137,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,138,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,139,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,143,(Z2)^3,Z2,0,0,0,[],{}
1,0,161,(Z2)^3,Z2,0,0,0,[],{}
1,0,179,(Z2)^3,Z2,0,0,0,[],{}
1,0,197,(Z2)^3,Z2,0,0,0,[],{}
1,0,215,(Z2)^3,Z2,0,0,0,[],{}
1,0,350,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,354,(Z2)^3,Z2,0,0,0,[],{}
1,0,360,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,370,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,380,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,390,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,394,(Z2)^3,Z2,0,0,0,[],{}
1,0,400,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,410,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,420,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,430,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,434,(Z2)^3,Z2,0,0,0,[],{}
1,0,440,(Z2)^3,Z2,0,0,0,[],{}
1,0,500,(Z2)^3,Z2,0,0,0,[],{}
1,0,560,(Z2)^3,Z2,0,0,0,[],{}
1,0,980,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,982,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,984,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,986,(Z2)^3,Z2,0,0,0,[],{}
1,0,995,(Z2)^3,Z2,0,0,0,[],{}
1,0,1010,(Z2)^3,Z2,0,0,0,[],{}
1,0,1025,(Z2)^3,Z2,0,0,0,[],{}
1,0,1040,(Z2)^3,Z2,0,0,0,[],{}
1,0,1055,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,1057,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,1059,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,1130,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,1132,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,1134,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,1,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
1,1,1,Z2xZ2,Z2xZ2,54,54,0,[1],{1: 54}
1,1,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,5,Z2xZ2,Z2xZ2,54,54,0,[5],{5: 54}
1,1,6,Z2xZ2,Z2xZ2,54,54,0,[6],{6: 54}
1,1,10,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,20,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,34,Z2xZ2,Z2,0,0,0,[],{}
1,1,40,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,95,Z2xZ2,Z2,0,0,0,[],{}
1,1,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,143,Z2xZ2,Z2,0,0,0,[],{}
1,1,161,Z2xZ2,Z2,0,0,0,[],{}
1,1,179,Z2xZ2,Z2,0,0,0,[],{}
1,1,197,Z2xZ2,Z2,0,0,0,[],{}
1,1,215,Z2xZ2,Z2,0,0,0,[],{}
1,1,350,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,354,Z2xZ2,Z2,0,0,0,[],{}
1,1,360,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,370,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,380,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,390,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,394,Z2xZ2,Z2,0,0,0,[],{}
1,1,400,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,410,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,420,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,430,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,434,Z2xZ2,Z2,0,0,0,[],{}
1,1,440,Z2xZ2,Z2,0,0,0,[],{}
1,1,500,Z2xZ2,Z2,0,0,0,[],{}
1,1,560,Z2xZ2,Z2,0,0,0,[],{}
1,1,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,986,Z2xZ2,Z2,0,0,0,[],{}
1,1,995,Z2xZ2,Z2,0,0,0,[],{}
1,1,1010,Z2xZ2,Z2,0,0,0,[],{}
1,1,1025,Z2xZ2,Z2,0,0,0,[],{}
1,1,1040,Z2xZ2,Z2,0,0,0,[],{}
1,1,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
1,2,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,2,Z2xZ2,Z2xZ2,54,54,0,[2],{2: 54}
1,2,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,10,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,20,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,34,Z2xZ2,Z2,0,0,0,[],{}
1,2,40,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,52,Z2xZ2,Z2xZ2,54,54,0,[52],{52: 54}
1,2,54,Z2xZ2,Z2xZ2,54,54,0,[54],{54: 54}
1,2,95,Z2xZ2,Z2,0,0,0,[],{}
1,2,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,143,Z2xZ2,Z2,0,0,0,[],{}
1,2,161,Z2xZ2,Z2,0,0,0,[],{}
1,2,179,Z2xZ2,Z2,0,0,0,[],{}
1,2,197,Z2xZ2,Z2,0,0,0,[],{}
1,2,215,Z2xZ2,Z2,0,0,0,[],{}
1,2,350,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,354,Z2xZ2,Z2,0,0,0,[],{}
1,2,360,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,370,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,380,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,390,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,394,Z2xZ2,Z2,0,0,0,[],{}
1,2,400,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,410,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,420,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,430,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,434,Z2xZ2,Z2,0,0,0,[],{}
1,2,440,Z2xZ2,Z2,0,0,0,[],{}
1,2,500,Z2xZ2,Z2,0,0,0,[],{}
1,2,560,Z2xZ2,Z2,0,0,0,[],{}
1,2,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,2,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
