A_orbit,B_orbit,A_stab_type,B_stab_type,total_pairs,output_both_live,output_not_both_live,output_orbit_ids,output_counts
0,0,(Z2)^3,(Z2)^3,27,27,0,[0],{0: 27}
0,1,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,2,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,4,(Z2)^3,Z2xZ2,54,54,0,[4],{4: 54}
0,5,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,6,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,30,(Z2)^3,Z2xZ2,54,54,0,[30],{30: 54}
0,50,(Z2)^3,Z2xZ2,54,54,0,[50],{50: 54}
0,52,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,54,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,125,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,126,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,127,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,131,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,132,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,133,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,137,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,138,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,139,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,980,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,982,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,984,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,1055,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,1057,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,1059,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,1130,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,1132,(Z2)^3,Z2xZ2,0,0,0,[],{}
0,1134,(Z2)^3,Z2xZ2,0,0,0,[],{}
1,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
1,1,Z2xZ2,Z2xZ2,54,54,0,[1],{1: 54}
1,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,Z2xZ2,Z2xZ2,54,54,0,[5],{5: 54}
1,6,Z2xZ2,Z2xZ2,54,54,0,[6],{6: 54}
1,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
2,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,2,Z2xZ2,Z2xZ2,54,54,0,[2],{2: 54}
2,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,52,Z2xZ2,Z2xZ2,54,54,0,[52],{52: 54}
2,54,Z2xZ2,Z2xZ2,54,54,0,[54],{54: 54}
2,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
2,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
4,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,125,Z2xZ2,Z2xZ2,54,54,0,[0],{0: 54}
4,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,131,Z2xZ2,Z2xZ2,54,54,0,[4],{4: 54}
4,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,137,Z2xZ2,Z2xZ2,54,54,0,[4],{4: 54}
4,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
4,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
5,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,126,Z2xZ2,Z2xZ2,54,54,0,[1],{1: 54}
5,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,132,Z2xZ2,Z2xZ2,54,54,0,[5],{5: 54}
5,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,138,Z2xZ2,Z2xZ2,54,54,0,[6],{6: 54}
5,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
5,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
6,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,127,Z2xZ2,Z2xZ2,54,54,0,[1],{1: 54}
6,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,133,Z2xZ2,Z2xZ2,54,54,0,[6],{6: 54}
6,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,139,Z2xZ2,Z2xZ2,54,54,0,[5],{5: 54}
6,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
6,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,0,Z2xZ2,(Z2)^3,54,54,0,[30],{30: 54}
30,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,4,Z2xZ2,Z2xZ2,108,108,0,[34],{34: 108}
30,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,30,Z2xZ2,Z2xZ2,108,108,0,"[0, 30]","{0: 54, 30: 54}"
30,50,Z2xZ2,Z2xZ2,108,108,0,[95],{95: 108}
30,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
30,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
50,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,980,Z2xZ2,Z2xZ2,54,54,0,[0],{0: 54}
50,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,1055,Z2xZ2,Z2xZ2,54,54,0,[50],{50: 54}
50,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,1130,Z2xZ2,Z2xZ2,54,54,0,[50],{50: 54}
50,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
50,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
52,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,982,Z2xZ2,Z2xZ2,54,54,0,[2],{2: 54}
52,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,1057,Z2xZ2,Z2xZ2,54,54,0,[52],{52: 54}
52,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
52,1132,Z2xZ2,Z2xZ2,54,54,0,[54],{54: 54}
52,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
54,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,984,Z2xZ2,Z2xZ2,54,54,0,[2],{2: 54}
54,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,1059,Z2xZ2,Z2xZ2,54,54,0,[54],{54: 54}
54,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
54,1134,Z2xZ2,Z2xZ2,54,54,0,[52],{52: 54}
125,0,Z2xZ2,(Z2)^3,54,54,0,[125],{125: 54}
125,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,4,Z2xZ2,Z2xZ2,108,108,0,"[131, 137]","{131: 54, 137: 54}"
125,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,30,Z2xZ2,Z2xZ2,108,108,0,[179],{179: 108}
125,50,Z2xZ2,Z2xZ2,108,108,0,[215],{215: 108}
125,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
125,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
