orbit_id,rep_config_id,orbit_size,stabilizer_type,signature_key,c1_eq_c2,x1_eq_x2,rep_readable,target_of_x1,target_of_x2,c1_is_target_of_x1,c1_is_target_of_x2,c2_is_target_of_x1,c2_is_target_of_x2,target_x1_equals_target_x2,x1_fiber_position,x2_fiber_position,focused_on_boundary,same_fiber
0,0,27,(Z2)^3,"(True, True, True, True, True, True, True, (0, 0, 0, 0), (0, 0, 0, 0))",True,True,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]","C[0,0]","C[0,0]",True,True,True,True,True,0,0,True,True
1,1,54,Z2xZ2,"(True, True, False, True, True, False, False, (0, 0, 0, 0), (0, 0, 0, 1))",False,True,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,1]]","C[0,0]","C[0,0]",True,True,False,False,True,0,0,True,True
2,3,54,Z2xZ2,"(True, True, False, True, True, False, False, (0, 0, 0, 1), (0, 0, 0, 0))",False,True,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[1,0]]","C[0,0]","C[0,0]",True,True,False,False,True,0,0,True,True
4,9,54,Z2xZ2,"(True, True, True, True, False, True, False, (0, 0, 0, 0), (0, 0, 1, 0))",True,False,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,0]]","C[0,0]","C[0,1]",True,False,True,False,False,0,0,False,False
5,10,54,Z2xZ2,"(True, True, False, True, False, False, True, (0, 0, 0, 0), (0, 0, 1, 1))",False,False,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,1]]","C[0,0]","C[0,1]",True,False,False,True,False,0,0,False,False
6,11,54,Z2xZ2,"(True, True, False, True, False, False, False, (0, 0, 0, 0), (0, 0, 1, 2))",False,False,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,1],C[0,2]]","C[0,0]","C[0,1]",True,False,False,False,False,0,0,False,False
30,108,54,Z2xZ2,"(True, True, True, True, True, True, True, (0, 0, 0, 0), (0, 0, 0, 0))",True,False,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]","C[0,0]","C[0,0]",True,True,True,True,True,0,1,True,True
50,243,54,Z2xZ2,"(True, True, True, True, False, True, False, (0, 0, 1, 0), (0, 0, 0, 0))",True,False,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[0,0]]","C[0,0]","C[1,0]",True,False,True,False,False,0,0,False,False
52,246,54,Z2xZ2,"(True, True, False, True, False, False, True, (0, 0, 1, 1), (0, 0, 0, 0))",False,False,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[1,0]]","C[0,0]","C[1,0]",True,False,False,True,False,0,0,False,False
54,249,54,Z2xZ2,"(True, True, False, True, False, False, False, (0, 0, 1, 2), (0, 0, 0, 0))",False,False,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,0],C[2,0]]","C[0,0]","C[1,0]",True,False,False,False,False,0,0,False,False
125,729,54,Z2xZ2,"(True, True, True, False, True, False, True, (0, 0, 0, 0), (0, 1, 0, 0))",True,False,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,0]]","C[0,1]","C[0,0]",False,True,False,True,False,0,0,False,False
126,730,54,Z2xZ2,"(True, True, False, False, True, True, False, (0, 0, 0, 0), (0, 1, 0, 1))",False,False,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,1]]","C[0,1]","C[0,0]",False,True,True,False,False,0,0,False,False
127,731,54,Z2xZ2,"(True, True, False, False, True, False, False, (0, 0, 0, 0), (0, 1, 0, 2))",False,False,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,0],C[0,2]]","C[0,1]","C[0,0]",False,True,False,False,False,0,0,False,False
131,738,54,Z2xZ2,"(True, True, True, False, False, False, False, (0, 0, 0, 0), (0, 1, 1, 0))",True,True,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,1],C[0,0]]","C[0,1]","C[0,1]",False,False,False,False,True,0,0,False,True
132,739,54,Z2xZ2,"(True, True, False, False, False, True, True, (0, 0, 0, 0), (0, 1, 1, 1))",False,True,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,1],C[0,1]]","C[0,1]","C[0,1]",False,False,True,True,True,0,0,True,True
133,740,54,Z2xZ2,"(True, True, False, False, False, False, False, (0, 0, 0, 0), (0, 1, 1, 2))",False,True,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,1],C[0,2]]","C[0,1]","C[0,1]",False,False,False,False,True,0,0,False,True
137,747,54,Z2xZ2,"(True, True, True, False, False, False, False, (0, 0, 0, 0), (0, 1, 2, 0))",True,False,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,2],C[0,0]]","C[0,1]","C[0,2]",False,False,False,False,False,0,0,False,False
138,748,54,Z2xZ2,"(True, True, False, False, False, True, False, (0, 0, 0, 0), (0, 1, 2, 1))",False,False,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,2],C[0,1]]","C[0,1]","C[0,2]",False,False,True,False,False,0,0,False,False
139,749,54,Z2xZ2,"(True, True, False, False, False, False, True, (0, 0, 0, 0), (0, 1, 2, 2))",False,False,"CXXC[C[0,0],X[0,0|0,1],X[0,0|0,2],C[0,2]]","C[0,1]","C[0,2]",False,False,False,True,False,0,0,False,False
980,19683,54,Z2xZ2,"(True, True, True, False, True, False, True, (0, 1, 0, 0), (0, 0, 0, 0))",True,False,"CXXC[C[0,0],X[1,0|0,0],X[0,0|0,0],C[0,0]]","C[1,0]","C[0,0]",False,True,False,True,False,0,0,False,False
982,19686,54,Z2xZ2,"(True, True, False, False, True, True, False, (0, 1, 0, 1), (0, 0, 0, 0))",False,False,"CXXC[C[0,0],X[1,0|0,0],X[0,0|0,0],C[1,0]]","C[1,0]","C[0,0]",False,True,True,False,False,0,0,False,False
984,19689,54,Z2xZ2,"(True, True, False, False, True, False, False, (0, 1, 0, 2), (0, 0, 0, 0))",False,False,"CXXC[C[0,0],X[1,0|0,0],X[0,0|0,0],C[2,0]]","C[1,0]","C[0,0]",False,True,False,False,False,0,0,False,False
1055,19926,54,Z2xZ2,"(True, True, True, False, False, False, False, (0, 1, 1, 0), (0, 0, 0, 0))",True,True,"CXXC[C[0,0],X[1,0|0,0],X[1,0|0,0],C[0,0]]","C[1,0]","C[1,0]",False,False,False,False,True,0,0,False,True
1057,19929,54,Z2xZ2,"(True, True, False, False, False, True, True, (0, 1, 1, 1), (0, 0, 0, 0))",False,True,"CXXC[C[0,0],X[1,0|0,0],X[1,0|0,0],C[1,0]]","C[1,0]","C[1,0]",False,False,True,True,True,0,0,True,True
1059,19932,54,Z2xZ2,"(True, True, False, False, False, False, False, (0, 1, 1, 2), (0, 0, 0, 0))",False,True,"CXXC[C[0,0],X[1,0|0,0],X[1,0|0,0],C[2,0]]","C[1,0]","C[1,0]",False,False,False,False,True,0,0,False,True
1130,20169,54,Z2xZ2,"(True, True, True, False, False, False, False, (0, 1, 2, 0), (0, 0, 0, 0))",True,False,"CXXC[C[0,0],X[1,0|0,0],X[2,0|0,0],C[0,0]]","C[1,0]","C[2,0]",False,False,False,False,False,0,0,False,False
1132,20172,54,Z2xZ2,"(True, True, False, False, False, True, False, (0, 1, 2, 1), (0, 0, 0, 0))",False,False,"CXXC[C[0,0],X[1,0|0,0],X[2,0|0,0],C[1,0]]","C[1,0]","C[2,0]",False,False,True,False,False,0,0,False,False
1134,20175,54,Z2xZ2,"(True, True, False, False, False, False, True, (0, 1, 2, 2), (0, 0, 0, 0))",False,False,"CXXC[C[0,0],X[1,0|0,0],X[2,0|0,0],C[2,0]]","C[1,0]","C[2,0]",False,False,False,True,False,0,0,False,False
