orbit_id,rep_config_id,generator_action_ids,subgroup_action_ids,trace_id,trace_gen_a,trace_gen_b,trace_gen_ab,fixed_dim,minus_dim,char_pp_dim,char_pm_dim,char_mp_dim,char_mm_dim
1,1,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
2,3,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
4,9,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
5,10,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
6,11,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
10,27,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
20,81,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
30,108,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
40,135,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
50,243,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
52,246,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
54,249,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
125,729,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
126,730,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
127,731,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
131,738,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
132,739,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
133,740,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
137,747,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
138,748,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
139,749,"[6, 36]","[0, 6, 36, 42]",81,9,27,3,30,51,30,15,24,12
350,2187,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
360,2214,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
370,2241,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
380,2268,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
390,2295,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
400,2322,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
410,2349,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
420,2376,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
430,2403,"[1, 36]","[0, 1, 36, 37]",81,27,27,9,36,45,36,18,18,9
980,19683,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
982,19686,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
984,19689,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
1055,19926,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
1057,19929,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
1059,19932,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
1130,20169,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
1132,20172,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
1134,20175,"[1, 6]","[0, 1, 6, 7]",81,27,9,3,30,51,30,24,15,12
