orbit_A,B_0,B_1,B_2,B_4,B_5,B_6,B_10,B_20,B_30,B_34,B_40,B_50,B_52,B_54,B_95,B_125,B_126,B_127,B_131,B_132,B_133,B_137,B_138,B_139,B_143,B_161,B_179,B_185,B_191,B_197,B_215,B_296,B_350,B_354,B_360,B_370,B_380,B_390,B_394,B_400,B_410,B_420,B_430,B_434,B_440,B_500,B_560,B_980,B_982,B_984,B_986,B_995,B_1010,B_1025,B_1031,B_1040,B_1055,B_1057,B_1059,B_1100,B_1130,B_1132,B_1134,B_1175
0,[0],,,[4],,,[10],[20],[30],[34],[40],[50],,,[95],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,[1],,,[5],[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,[2],,,,,,,,,,[52],[54],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,[0],,,[4],,,[4],,,[10],[20],[30],[34],[34],[40],[50],[95],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,[1],,,[5],,,[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,[1],,,[6],,,[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],[4],[10],[10],[20],[30],[34],[40],[20],[40],[30],[34],[50],[95],[95],,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[30],[34],[20],[40],[10],[0],[4],[10],[40],[20],[30],[34],[95],[50],[95],,,,,,,,,,,,,,,,,
30,[30],,,[34],,,"[20, 40]","[10, 40]","[0, 30]","[4, 34]","[10, 20]",[95],,,"[50, 95]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,[30],,,[34],,,[34],,,"[20, 40]","[10, 40]","[0, 30]","[4, 34]","[4, 34]","[10, 20]",[95],"[50, 95]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[30],[34],[40],[20],[40],[30],[34],[20],[10],[10],[0],[4],[95],[95],[50],,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],,,[4],[10],[20],[30],[34],[40],[50],,,[95],[50],,,[95]
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],,,,,,,,,[52],,,,[54],,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],,,,,,,,,[54],,,,[52],
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[30],,,[34],"[20, 40]","[10, 40]","[0, 30]","[4, 34]","[10, 20]",[95],,,"[50, 95]",[95],,,"[50, 95]"
125,[125],,,"[131, 137]",,,[143],[161],[179],"[185, 191]",[197],[215],,,[296],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,[126],,,[132],[138],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,[127],,,[139],[133],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,[125],,,[131],,,[137],,,[143],[161],[179],[185],[191],[197],[215],[296],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,[126],,,[132],,,[138],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,[127],,,[133],,,[139],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,[125],,,[137],,,[131],,,[143],[161],[179],[191],[185],[197],[215],[296],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,[126],,,[138],,,[132],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,[127],,,[139],,,[133],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[125],"[131, 137]",[143],[143],[161],[179],"[185, 191]",[197],[161],[197],[179],"[185, 191]",[215],[296],[296],,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[179],"[185, 191]",[161],[197],[143],[125],"[131, 137]",[143],[197],[161],[179],"[185, 191]",[296],[215],[296],,,,,,,,,,,,,,,,,
179,[179],,,"[185, 191]",,,"[161, 197]","[143, 197]","[125, 179]","[131, 137, 185, 191]","[143, 161]",[296],,,"[215, 296]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,[179],,,[185],,,[191],,,"[161, 197]","[143, 197]","[125, 179]","[131, 185]","[137, 191]","[143, 161]",[296],"[215, 296]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,[179],,,[191],,,[185],,,"[161, 197]","[143, 197]","[125, 179]","[137, 191]","[131, 185]","[143, 161]",[296],"[215, 296]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
