orbit_A,orbit_B,compatible,total_pairs,output_orbits,deterministic,stab_type_A,stab_type_B,stab_type_out,output_counts
0,0,True,27,[0],True,(Z2)^3,(Z2)^3,['(Z2)^3'],{0: 27}
0,1,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,2,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,4,True,54,[4],True,(Z2)^3,Z2xZ2,['Z2xZ2'],{4: 54}
0,5,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,6,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,10,True,54,[10],True,(Z2)^3,Z2xZ2,['Z2xZ2'],{10: 54}
0,20,True,54,[20],True,(Z2)^3,Z2xZ2,['Z2xZ2'],{20: 54}
0,30,True,54,[30],True,(Z2)^3,Z2xZ2,['Z2xZ2'],{30: 54}
0,34,True,108,[34],True,(Z2)^3,Z2,['Z2'],{34: 108}
0,40,True,54,[40],True,(Z2)^3,Z2xZ2,['Z2xZ2'],{40: 54}
0,50,True,54,[50],True,(Z2)^3,Z2xZ2,['Z2xZ2'],{50: 54}
0,52,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,54,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,95,True,108,[95],True,(Z2)^3,Z2,['Z2'],{95: 108}
0,125,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,126,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,127,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,131,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,132,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,133,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,137,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,138,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,139,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,143,False,0,[],False,(Z2)^3,Z2,[],{}
0,161,False,0,[],False,(Z2)^3,Z2,[],{}
0,179,False,0,[],False,(Z2)^3,Z2,[],{}
0,185,False,0,[],False,(Z2)^3,Z2,[],{}
0,191,False,0,[],False,(Z2)^3,Z2,[],{}
0,197,False,0,[],False,(Z2)^3,Z2,[],{}
0,215,False,0,[],False,(Z2)^3,Z2,[],{}
0,296,False,0,[],False,(Z2)^3,Trivial,[],{}
0,350,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,354,False,0,[],False,(Z2)^3,Z2,[],{}
0,360,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,370,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,380,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,390,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,394,False,0,[],False,(Z2)^3,Z2,[],{}
0,400,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,410,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,420,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,430,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,434,False,0,[],False,(Z2)^3,Z2,[],{}
0,440,False,0,[],False,(Z2)^3,Z2,[],{}
0,500,False,0,[],False,(Z2)^3,Z2,[],{}
0,560,False,0,[],False,(Z2)^3,Z2,[],{}
0,980,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,982,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,984,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,986,False,0,[],False,(Z2)^3,Z2,[],{}
0,995,False,0,[],False,(Z2)^3,Z2,[],{}
0,1010,False,0,[],False,(Z2)^3,Z2,[],{}
0,1025,False,0,[],False,(Z2)^3,Z2,[],{}
0,1031,False,0,[],False,(Z2)^3,Trivial,[],{}
0,1040,False,0,[],False,(Z2)^3,Z2,[],{}
0,1055,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,1057,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,1059,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,1100,False,0,[],False,(Z2)^3,Z2,[],{}
0,1130,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,1132,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,1134,False,0,[],False,(Z2)^3,Z2xZ2,[],{}
0,1175,False,0,[],False,(Z2)^3,Z2,[],{}
1,0,False,0,[],False,Z2xZ2,(Z2)^3,[],{}
1,1,True,54,[1],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{1: 54}
1,2,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,4,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,5,True,54,[5],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{5: 54}
