step,chosen_orbit,generator_set,closure_size,new_orbits_added,closure_orbits
1,191,[191],4,4,"[131, 137, 185, 191]"
2,1175,"[191, 1175]",8,4,"[131, 137, 185, 191, 1055, 1100, 1130, 1175]"
3,143,"[143, 191, 1175]",11,3,"[131, 137, 143, 161, 185, 191, 197, 1055, 1100, 1130, 1175]"
4,354,"[143, 191, 354, 1175]",20,9,"[131, 137, 143, 161, 185, 191, 197, 354, 360, 370, 380, 394, 400, 410, 420, 434, 1055, 1100, 1130, 1175]"
5,4,"[4, 143, 191, 354, 1175]",25,5,"[4, 10, 20, 34, 40, 131, 137, 143, 161, 185, 191, 197, 354, 360, 370, 380, 394, 400, 410, 420, 434, 1055, 1100, 1130, 1175]"
6,125,"[4, 125, 143, 191, 354, 1175]",32,7,"[0, 4, 10, 20, 30, 34, 40, 125, 131, 137, 143, 161, 179, 185, 191, 197, 350, 354, 360, 370, 380, 390, 394, 400, 410, 420, 430, 434, 1055, 1100, 1130, 1175]"
7,50,"[4, 50, 125, 143, 191, 354, 1175]",39,7,"[0, 4, 10, 20, 30, 34, 40, 50, 95, 125, 131, 137, 143, 161, 179, 185, 191, 197, 215, 296, 350, 354, 360, 370, 380, 390, 394, 400, 410, 420, 430, 434, 440, 500, 560, 1055, 1100, 1130, 1175]"
8,980,"[4, 50, 125, 143, 191, 354, 980, 1175]",46,7,"[0, 4, 10, 20, 30, 34, 40, 50, 95, 125, 131, 137, 143, 161, 179, 185, 191, 197, 215, 296, 350, 354, 360, 370, 380, 390, 394, 400, 410, 420, 430, 434, 440, 500, 560, 980, 986, 995, 1010, 1025, 1031, 1040, 1055, 1100, 1130, 1175]"
9,1,"[1, 4, 50, 125, 143, 191, 354, 980, 1175]",47,1,"[0, 1, 4, 10, 20, 30, 34, 40, 50, 95, 125, 131, 137, 143, 161, 179, 185, 191, 197, 215, 296, 350, 354, 360, 370, 380, 390, 394, 400, 410, 420, 430, 434, 440, 500, 560, 980, 986, 995, 1010, 1025, 1031, 1040, 1055, 1100, 1130, 1175]"
10,2,"[1, 2, 4, 50, 125, 143, 191, 354, 980, 1175]",48,1,"[0, 1, 2, 4, 10, 20, 30, 34, 40, 50, 95, 125, 131, 137, 143, 161, 179, 185, 191, 197, 215, 296, 350, 354, 360, 370, 380, 390, 394, 400, 410, 420, 430, 434, 440, 500, 560, 980, 986, 995, 1010, 1025, 1031, 1040, 1055, 1100, 1130, 1175]"
