orbit_id,left_compatible,left_outputs,left_is_identity,right_compatible,right_outputs,right_is_identity
0,True,[0],True,True,[0],True
1,False,[],False,False,[],False
2,False,[],False,False,[],False
4,True,[4],True,False,[],False
5,False,[],False,False,[],False
6,False,[],False,False,[],False
10,True,[10],True,False,[],False
20,True,[20],True,False,[],False
30,True,[30],True,True,[30],True
34,True,[34],True,False,[],False
40,True,[40],True,False,[],False
50,True,[50],True,False,[],False
52,False,[],False,False,[],False
54,False,[],False,False,[],False
95,True,[95],True,False,[],False
125,False,[],False,True,[125],True
126,False,[],False,False,[],False
127,False,[],False,False,[],False
131,False,[],False,False,[],False
132,False,[],False,False,[],False
133,False,[],False,False,[],False
137,False,[],False,False,[],False
138,False,[],False,False,[],False
139,False,[],False,False,[],False
143,False,[],False,False,[],False
161,False,[],False,False,[],False
179,False,[],False,True,[179],True
185,False,[],False,False,[],False
191,False,[],False,False,[],False
197,False,[],False,False,[],False
215,False,[],False,False,[],False
296,False,[],False,False,[],False
350,False,[],False,True,[350],True
354,False,[],False,False,[],False
360,False,[],False,False,[],False
370,False,[],False,False,[],False
380,False,[],False,False,[],False
390,False,[],False,True,[390],True
394,False,[],False,False,[],False
400,False,[],False,False,[],False
410,False,[],False,False,[],False
420,False,[],False,False,[],False
430,False,[],False,True,[430],True
434,False,[],False,False,[],False
440,False,[],False,False,[],False
500,False,[],False,False,[],False
560,False,[],False,False,[],False
980,False,[],False,True,[980],True
982,False,[],False,False,[],False
984,False,[],False,False,[],False
986,False,[],False,False,[],False
995,False,[],False,False,[],False
1010,False,[],False,False,[],False
1025,False,[],False,True,[1025],True
1031,False,[],False,False,[],False
1040,False,[],False,False,[],False
1055,False,[],False,False,[],False
1057,False,[],False,False,[],False
1059,False,[],False,False,[],False
1100,False,[],False,False,[],False
1130,False,[],False,False,[],False
1132,False,[],False,False,[],False
1134,False,[],False,False,[],False
1175,False,[],False,False,[],False
