input_A,input_B,output_orbit,pair_count,same_fiber,in_doubly_live_core,both_live_output,in_64_closed,output_stab_type
0,0,0,27,True,True,True,True,(Z2)^3
0,30,30,54,True,True,True,True,Z2xZ2
1,1,1,54,True,True,True,True,Z2xZ2
2,2,2,54,True,True,True,True,Z2xZ2
30,0,30,54,True,True,True,True,Z2xZ2
30,30,0,54,True,True,True,True,(Z2)^3
30,30,30,54,True,True,True,True,Z2xZ2
131,131,131,54,True,True,True,True,Z2xZ2
132,132,132,54,True,True,True,True,Z2xZ2
133,133,133,54,True,True,True,True,Z2xZ2
1055,1055,1055,54,True,True,True,True,Z2xZ2
1057,1057,1057,54,True,True,True,True,Z2xZ2
1059,1059,1059,54,True,True,True,True,Z2xZ2
