input_A,input_B,compatible,total_pairs,output_orbits,same_fiber_pairs,doubly_live_different_fiber_pairs,outside_core_pairs
0,0,True,27,[0],27,0,0
0,1,False,0,[],0,0,0
0,2,False,0,[],0,0,0
0,30,True,54,[30],54,0,0
0,131,False,0,[],0,0,0
0,132,False,0,[],0,0,0
0,133,False,0,[],0,0,0
0,1055,False,0,[],0,0,0
0,1057,False,0,[],0,0,0
0,1059,False,0,[],0,0,0
1,0,False,0,[],0,0,0
1,1,True,54,[1],54,0,0
1,2,False,0,[],0,0,0
1,30,False,0,[],0,0,0
1,131,False,0,[],0,0,0
1,132,False,0,[],0,0,0
1,133,False,0,[],0,0,0
1,1055,False,0,[],0,0,0
1,1057,False,0,[],0,0,0
1,1059,False,0,[],0,0,0
2,0,False,0,[],0,0,0
2,1,False,0,[],0,0,0
2,2,True,54,[2],54,0,0
2,30,False,0,[],0,0,0
2,131,False,0,[],0,0,0
2,132,False,0,[],0,0,0
2,133,False,0,[],0,0,0
2,1055,False,0,[],0,0,0
2,1057,False,0,[],0,0,0
2,1059,False,0,[],0,0,0
30,0,True,54,[30],54,0,0
30,1,False,0,[],0,0,0
30,2,False,0,[],0,0,0
30,30,True,108,"[0, 30]",108,0,0
30,131,False,0,[],0,0,0
30,132,False,0,[],0,0,0
30,133,False,0,[],0,0,0
30,1055,False,0,[],0,0,0
30,1057,False,0,[],0,0,0
30,1059,False,0,[],0,0,0
131,0,False,0,[],0,0,0
131,1,False,0,[],0,0,0
131,2,False,0,[],0,0,0
131,30,False,0,[],0,0,0
131,131,True,54,[131],54,0,0
131,132,False,0,[],0,0,0
131,133,False,0,[],0,0,0
131,1055,False,0,[],0,0,0
131,1057,False,0,[],0,0,0
131,1059,False,0,[],0,0,0
132,0,False,0,[],0,0,0
132,1,False,0,[],0,0,0
132,2,False,0,[],0,0,0
132,30,False,0,[],0,0,0
132,131,False,0,[],0,0,0
132,132,True,54,[132],54,0,0
132,133,False,0,[],0,0,0
132,1055,False,0,[],0,0,0
132,1057,False,0,[],0,0,0
132,1059,False,0,[],0,0,0
133,0,False,0,[],0,0,0
133,1,False,0,[],0,0,0
133,2,False,0,[],0,0,0
133,30,False,0,[],0,0,0
133,131,False,0,[],0,0,0
133,132,False,0,[],0,0,0
133,133,True,54,[133],54,0,0
133,1055,False,0,[],0,0,0
133,1057,False,0,[],0,0,0
133,1059,False,0,[],0,0,0
1055,0,False,0,[],0,0,0
1055,1,False,0,[],0,0,0
1055,2,False,0,[],0,0,0
1055,30,False,0,[],0,0,0
1055,131,False,0,[],0,0,0
1055,132,False,0,[],0,0,0
1055,133,False,0,[],0,0,0
1055,1055,True,54,[1055],54,0,0
1055,1057,False,0,[],0,0,0
1055,1059,False,0,[],0,0,0
1057,0,False,0,[],0,0,0
1057,1,False,0,[],0,0,0
1057,2,False,0,[],0,0,0
1057,30,False,0,[],0,0,0
1057,131,False,0,[],0,0,0
1057,132,False,0,[],0,0,0
1057,133,False,0,[],0,0,0
1057,1055,False,0,[],0,0,0
1057,1057,True,54,[1057],54,0,0
1057,1059,False,0,[],0,0,0
1059,0,False,0,[],0,0,0
1059,1,False,0,[],0,0,0
1059,2,False,0,[],0,0,0
1059,30,False,0,[],0,0,0
1059,131,False,0,[],0,0,0
1059,132,False,0,[],0,0,0
1059,133,False,0,[],0,0,0
1059,1055,False,0,[],0,0,0
1059,1057,False,0,[],0,0,0
1059,1059,True,54,[1059],54,0,0
