orbit_A,orbit_B,output_orbits,n_strata_by_rstu,fully_resolved_by_rstu,resolution_map
30,10,"[20, 40]",27,False,"{'(0, 0, 0, 0)': [20, 40], '(0, 0, 0, 1)': [20, 40], '(0, 0, 0, 2)': [20, 40], '(0, 1, 1, 0)': [20, 40], '(0, 1, 1, 1)': [20, 40], '(0, 1, 1, 2)': [20, 40], '(0, 2, 2, 0)': [20, 40], '(0, 2, 2, 1)': [20, 40], '(0, 2, 2, 2)': [20, 40], '(1, 0, 0, 0)': [20, 40], '(1, 0, 0, 1)': [20, 40], '(1, 0, 0, 2)': [20, 40], '(1, 1, 1, 0)': [20, 40], '(1, 1, 1, 1)': [20, 40], '(1, 1, 1, 2)': [20, 40], '(1, 2, 2, 0)': [20, 40], '(1, 2, 2, 1)': [20, 40], '(1, 2, 2, 2)': [20, 40], '(2, 0, 0, 0)': [20, 40], '(2, 0, 0, 1)': [20, 40], '(2, 0, 0, 2)': [20, 40], '(2, 1, 1, 0)': [20, 40], '(2, 1, 1, 1)': [20, 40], '(2, 1, 1, 2)': [20, 40], '(2, 2, 2, 0)': [20, 40], '(2, 2, 2, 1)': [20, 40], '(2, 2, 2, 2)': [20, 40]}"
30,20,"[10, 40]",27,False,"{'(0, 0, 0, 0)': [10, 40], '(0, 0, 0, 1)': [10, 40], '(0, 0, 0, 2)': [10, 40], '(0, 1, 1, 0)': [10, 40], '(0, 1, 1, 1)': [10, 40], '(0, 1, 1, 2)': [10, 40], '(0, 2, 2, 0)': [10, 40], '(0, 2, 2, 1)': [10, 40], '(0, 2, 2, 2)': [10, 40], '(1, 0, 0, 0)': [10, 40], '(1, 0, 0, 1)': [10, 40], '(1, 0, 0, 2)': [10, 40], '(1, 1, 1, 0)': [10, 40], '(1, 1, 1, 1)': [10, 40], '(1, 1, 1, 2)': [10, 40], '(1, 2, 2, 0)': [10, 40], '(1, 2, 2, 1)': [10, 40], '(1, 2, 2, 2)': [10, 40], '(2, 0, 0, 0)': [10, 40], '(2, 0, 0, 1)': [10, 40], '(2, 0, 0, 2)': [10, 40], '(2, 1, 1, 0)': [10, 40], '(2, 1, 1, 1)': [10, 40], '(2, 1, 1, 2)': [10, 40], '(2, 2, 2, 0)': [10, 40], '(2, 2, 2, 1)': [10, 40], '(2, 2, 2, 2)': [10, 40]}"
30,30,"[0, 30]",27,False,"{'(0, 0, 0, 0)': [0, 30], '(0, 0, 0, 1)': [0, 30], '(0, 0, 0, 2)': [0, 30], '(0, 1, 1, 0)': [0, 30], '(0, 1, 1, 1)': [0, 30], '(0, 1, 1, 2)': [0, 30], '(0, 2, 2, 0)': [0, 30], '(0, 2, 2, 1)': [0, 30], '(0, 2, 2, 2)': [0, 30], '(1, 0, 0, 0)': [0, 30], '(1, 0, 0, 1)': [0, 30], '(1, 0, 0, 2)': [0, 30], '(1, 1, 1, 0)': [0, 30], '(1, 1, 1, 1)': [0, 30], '(1, 1, 1, 2)': [0, 30], '(1, 2, 2, 0)': [0, 30], '(1, 2, 2, 1)': [0, 30], '(1, 2, 2, 2)': [0, 30], '(2, 0, 0, 0)': [0, 30], '(2, 0, 0, 1)': [0, 30], '(2, 0, 0, 2)': [0, 30], '(2, 1, 1, 0)': [0, 30], '(2, 1, 1, 1)': [0, 30], '(2, 1, 1, 2)': [0, 30], '(2, 2, 2, 0)': [0, 30], '(2, 2, 2, 1)': [0, 30], '(2, 2, 2, 2)': [0, 30]}"
30,34,"[4, 34]",27,False,"{'(0, 0, 0, 0)': [4, 34], '(0, 0, 0, 1)': [4, 34], '(0, 0, 0, 2)': [4, 34], '(0, 1, 1, 0)': [4, 34], '(0, 1, 1, 1)': [4, 34], '(0, 1, 1, 2)': [4, 34], '(0, 2, 2, 0)': [4, 34], '(0, 2, 2, 1)': [4, 34], '(0, 2, 2, 2)': [4, 34], '(1, 0, 0, 0)': [4, 34], '(1, 0, 0, 1)': [4, 34], '(1, 0, 0, 2)': [4, 34], '(1, 1, 1, 0)': [4, 34], '(1, 1, 1, 1)': [4, 34], '(1, 1, 1, 2)': [4, 34], '(1, 2, 2, 0)': [4, 34], '(1, 2, 2, 1)': [4, 34], '(1, 2, 2, 2)': [4, 34], '(2, 0, 0, 0)': [4, 34], '(2, 0, 0, 1)': [4, 34], '(2, 0, 0, 2)': [4, 34], '(2, 1, 1, 0)': [4, 34], '(2, 1, 1, 1)': [4, 34], '(2, 1, 1, 2)': [4, 34], '(2, 2, 2, 0)': [4, 34], '(2, 2, 2, 1)': [4, 34], '(2, 2, 2, 2)': [4, 34]}"
30,40,"[10, 20]",27,False,"{'(0, 0, 0, 0)': [10, 20], '(0, 0, 0, 1)': [10, 20], '(0, 0, 0, 2)': [10, 20], '(0, 1, 1, 0)': [10, 20], '(0, 1, 1, 1)': [10, 20], '(0, 1, 1, 2)': [10, 20], '(0, 2, 2, 0)': [10, 20], '(0, 2, 2, 1)': [10, 20], '(0, 2, 2, 2)': [10, 20], '(1, 0, 0, 0)': [10, 20], '(1, 0, 0, 1)': [10, 20], '(1, 0, 0, 2)': [10, 20], '(1, 1, 1, 0)': [10, 20], '(1, 1, 1, 1)': [10, 20], '(1, 1, 1, 2)': [10, 20], '(1, 2, 2, 0)': [10, 20], '(1, 2, 2, 1)': [10, 20], '(1, 2, 2, 2)': [10, 20], '(2, 0, 0, 0)': [10, 20], '(2, 0, 0, 1)': [10, 20], '(2, 0, 0, 2)': [10, 20], '(2, 1, 1, 0)': [10, 20], '(2, 1, 1, 1)': [10, 20], '(2, 1, 1, 2)': [10, 20], '(2, 2, 2, 0)': [10, 20], '(2, 2, 2, 1)': [10, 20], '(2, 2, 2, 2)': [10, 20]}"
30,95,"[50, 95]",27,False,"{'(0, 0, 0, 0)': [50, 95], '(0, 0, 0, 1)': [50, 95], '(0, 0, 0, 2)': [50, 95], '(0, 1, 1, 0)': [50, 95], '(0, 1, 1, 1)': [50, 95], '(0, 1, 1, 2)': [50, 95], '(0, 2, 2, 0)': [50, 95], '(0, 2, 2, 1)': [50, 95], '(0, 2, 2, 2)': [50, 95], '(1, 0, 0, 0)': [50, 95], '(1, 0, 0, 1)': [50, 95], '(1, 0, 0, 2)': [50, 95], '(1, 1, 1, 0)': [50, 95], '(1, 1, 1, 1)': [50, 95], '(1, 1, 1, 2)': [50, 95], '(1, 2, 2, 0)': [50, 95], '(1, 2, 2, 1)': [50, 95], '(1, 2, 2, 2)': [50, 95], '(2, 0, 0, 0)': [50, 95], '(2, 0, 0, 1)': [50, 95], '(2, 0, 0, 2)': [50, 95], '(2, 1, 1, 0)': [50, 95], '(2, 1, 1, 1)': [50, 95], '(2, 1, 1, 2)': [50, 95], '(2, 2, 2, 0)': [50, 95], '(2, 2, 2, 1)': [50, 95], '(2, 2, 2, 2)': [50, 95]}"
34,143,"[20, 40]",27,False,"{'(0, 0, 0, 0)': [20, 40], '(0, 0, 0, 1)': [20, 40], '(0, 0, 0, 2)': [20, 40], '(0, 1, 1, 0)': [20, 40], '(0, 1, 1, 1)': [20, 40], '(0, 1, 1, 2)': [20, 40], '(0, 2, 2, 0)': [20, 40], '(0, 2, 2, 1)': [20, 40], '(0, 2, 2, 2)': [20, 40], '(1, 0, 0, 0)': [20, 40], '(1, 0, 0, 1)': [20, 40], '(1, 0, 0, 2)': [20, 40], '(1, 1, 1, 0)': [20, 40], '(1, 1, 1, 1)': [20, 40], '(1, 1, 1, 2)': [20, 40], '(1, 2, 2, 0)': [20, 40], '(1, 2, 2, 1)': [20, 40], '(1, 2, 2, 2)': [20, 40], '(2, 0, 0, 0)': [20, 40], '(2, 0, 0, 1)': [20, 40], '(2, 0, 0, 2)': [20, 40], '(2, 1, 1, 0)': [20, 40], '(2, 1, 1, 1)': [20, 40], '(2, 1, 1, 2)': [20, 40], '(2, 2, 2, 0)': [20, 40], '(2, 2, 2, 1)': [20, 40], '(2, 2, 2, 2)': [20, 40]}"
34,161,"[10, 40]",27,False,"{'(0, 0, 0, 0)': [10, 40], '(0, 0, 0, 1)': [10, 40], '(0, 0, 0, 2)': [10, 40], '(0, 1, 1, 0)': [10, 40], '(0, 1, 1, 1)': [10, 40], '(0, 1, 1, 2)': [10, 40], '(0, 2, 2, 0)': [10, 40], '(0, 2, 2, 1)': [10, 40], '(0, 2, 2, 2)': [10, 40], '(1, 0, 0, 0)': [10, 40], '(1, 0, 0, 1)': [10, 40], '(1, 0, 0, 2)': [10, 40], '(1, 1, 1, 0)': [10, 40], '(1, 1, 1, 1)': [10, 40], '(1, 1, 1, 2)': [10, 40], '(1, 2, 2, 0)': [10, 40], '(1, 2, 2, 1)': [10, 40], '(1, 2, 2, 2)': [10, 40], '(2, 0, 0, 0)': [10, 40], '(2, 0, 0, 1)': [10, 40], '(2, 0, 0, 2)': [10, 40], '(2, 1, 1, 0)': [10, 40], '(2, 1, 1, 1)': [10, 40], '(2, 1, 1, 2)': [10, 40], '(2, 2, 2, 0)': [10, 40], '(2, 2, 2, 1)': [10, 40], '(2, 2, 2, 2)': [10, 40]}"
34,179,"[0, 30]",27,False,"{'(0, 0, 0, 0)': [0, 30], '(0, 0, 0, 1)': [0, 30], '(0, 0, 0, 2)': [0, 30], '(0, 1, 1, 0)': [0, 30], '(0, 1, 1, 1)': [0, 30], '(0, 1, 1, 2)': [0, 30], '(0, 2, 2, 0)': [0, 30], '(0, 2, 2, 1)': [0, 30], '(0, 2, 2, 2)': [0, 30], '(1, 0, 0, 0)': [0, 30], '(1, 0, 0, 1)': [0, 30], '(1, 0, 0, 2)': [0, 30], '(1, 1, 1, 0)': [0, 30], '(1, 1, 1, 1)': [0, 30], '(1, 1, 1, 2)': [0, 30], '(1, 2, 2, 0)': [0, 30], '(1, 2, 2, 1)': [0, 30], '(1, 2, 2, 2)': [0, 30], '(2, 0, 0, 0)': [0, 30], '(2, 0, 0, 1)': [0, 30], '(2, 0, 0, 2)': [0, 30], '(2, 1, 1, 0)': [0, 30], '(2, 1, 1, 1)': [0, 30], '(2, 1, 1, 2)': [0, 30], '(2, 2, 2, 0)': [0, 30], '(2, 2, 2, 1)': [0, 30], '(2, 2, 2, 2)': [0, 30]}"
34,185,"[4, 34]",27,False,"{'(0, 0, 0, 0)': [4, 34], '(0, 0, 0, 1)': [4, 34], '(0, 0, 0, 2)': [4, 34], '(0, 1, 1, 0)': [4, 34], '(0, 1, 1, 1)': [4, 34], '(0, 1, 1, 2)': [4, 34], '(0, 2, 2, 0)': [4, 34], '(0, 2, 2, 1)': [4, 34], '(0, 2, 2, 2)': [4, 34], '(1, 0, 0, 0)': [4, 34], '(1, 0, 0, 1)': [4, 34], '(1, 0, 0, 2)': [4, 34], '(1, 1, 1, 0)': [4, 34], '(1, 1, 1, 1)': [4, 34], '(1, 1, 1, 2)': [4, 34], '(1, 2, 2, 0)': [4, 34], '(1, 2, 2, 1)': [4, 34], '(1, 2, 2, 2)': [4, 34], '(2, 0, 0, 0)': [4, 34], '(2, 0, 0, 1)': [4, 34], '(2, 0, 0, 2)': [4, 34], '(2, 1, 1, 0)': [4, 34], '(2, 1, 1, 1)': [4, 34], '(2, 1, 1, 2)': [4, 34], '(2, 2, 2, 0)': [4, 34], '(2, 2, 2, 1)': [4, 34], '(2, 2, 2, 2)': [4, 34]}"
