orbit_A,orbit_B,output_orbits,n_strata_by_st,fully_resolved_by_st,resolution_map
30,10,"[20, 40]",3,False,"{'(0, 0)': [20, 40], '(1, 1)': [20, 40], '(2, 2)': [20, 40]}"
30,20,"[10, 40]",3,False,"{'(0, 0)': [10, 40], '(1, 1)': [10, 40], '(2, 2)': [10, 40]}"
30,30,"[0, 30]",3,False,"{'(0, 0)': [0, 30], '(1, 1)': [0, 30], '(2, 2)': [0, 30]}"
30,34,"[4, 34]",3,False,"{'(0, 0)': [4, 34], '(1, 1)': [4, 34], '(2, 2)': [4, 34]}"
30,40,"[10, 20]",3,False,"{'(0, 0)': [10, 20], '(1, 1)': [10, 20], '(2, 2)': [10, 20]}"
30,95,"[50, 95]",3,False,"{'(0, 0)': [50, 95], '(1, 1)': [50, 95], '(2, 2)': [50, 95]}"
34,143,"[20, 40]",3,False,"{'(0, 0)': [20, 40], '(1, 1)': [20, 40], '(2, 2)': [20, 40]}"
34,161,"[10, 40]",3,False,"{'(0, 0)': [10, 40], '(1, 1)': [10, 40], '(2, 2)': [10, 40]}"
34,179,"[0, 30]",3,False,"{'(0, 0)': [0, 30], '(1, 1)': [0, 30], '(2, 2)': [0, 30]}"
34,185,"[4, 34]",3,False,"{'(0, 0)': [4, 34], '(1, 1)': [4, 34], '(2, 2)': [4, 34]}"
34,191,"[4, 34]",3,False,"{'(0, 0)': [4, 34], '(1, 1)': [4, 34], '(2, 2)': [4, 34]}"
34,197,"[10, 20]",3,False,"{'(0, 0)': [10, 20], '(1, 1)': [10, 20], '(2, 2)': [10, 20]}"
34,296,"[50, 95]",3,False,"{'(0, 0)': [50, 95], '(1, 1)': [50, 95], '(2, 2)': [50, 95]}"
95,995,"[20, 40]",3,False,"{'(0, 0)': [20, 40], '(1, 1)': [20, 40], '(2, 2)': [20, 40]}"
95,1010,"[10, 40]",3,False,"{'(0, 0)': [10, 40], '(1, 1)': [10, 40], '(2, 2)': [10, 40]}"
95,1025,"[0, 30]",3,False,"{'(0, 0)': [0, 30], '(1, 1)': [0, 30], '(2, 2)': [0, 30]}"
95,1031,"[4, 34]",3,False,"{'(0, 0)': [4, 34], '(1, 1)': [4, 34], '(2, 2)': [4, 34]}"
95,1040,"[10, 20]",3,False,"{'(0, 0)': [10, 20], '(1, 1)': [10, 20], '(2, 2)': [10, 20]}"
95,1100,"[50, 95]",3,False,"{'(0, 0)': [50, 95], '(1, 1)': [50, 95], '(2, 2)': [50, 95]}"
95,1175,"[50, 95]",3,False,"{'(0, 0)': [50, 95], '(1, 1)': [50, 95], '(2, 2)': [50, 95]}"
125,4,"[131, 137]",3,False,"{'(0, 0)': [131, 137], '(1, 1)': [131, 137], '(2, 2)': [131, 137]}"
125,34,"[185, 191]",3,False,"{'(0, 0)': [185, 191], '(1, 1)': [185, 191], '(2, 2)': [185, 191]}"
143,354,"[131, 137]",6,False,"{'(0, 1)': [131, 137], '(0, 2)': [131, 137], '(1, 0)': [131, 137], '(1, 2)': [131, 137], '(2, 0)': [131, 137], '(2, 1)': [131, 137]}"
143,394,"[185, 191]",6,False,"{'(0, 1)': [185, 191], '(0, 2)': [185, 191], '(1, 0)': [185, 191], '(1, 2)': [185, 191], '(2, 0)': [185, 191], '(2, 1)': [185, 191]}"
143,434,"[185, 191]",6,False,"{'(0, 1)': [185, 191], '(0, 2)': [185, 191], '(1, 0)': [185, 191], '(1, 2)': [185, 191], '(2, 0)': [185, 191], '(2, 1)': [185, 191]}"
161,354,"[185, 191]",6,False,"{'(0, 1)': [185, 191], '(0, 2)': [185, 191], '(1, 0)': [185, 191], '(1, 2)': [185, 191], '(2, 0)': [185, 191], '(2, 1)': [185, 191]}"
161,394,"[131, 137]",6,False,"{'(0, 1)': [131, 137], '(0, 2)': [131, 137], '(1, 0)': [131, 137], '(1, 2)': [131, 137], '(2, 0)': [131, 137], '(2, 1)': [131, 137]}"
161,434,"[185, 191]",6,False,"{'(0, 1)': [185, 191], '(0, 2)': [185, 191], '(1, 0)': [185, 191], '(1, 2)': [185, 191], '(2, 0)': [185, 191], '(2, 1)': [185, 191]}"
179,4,"[185, 191]",3,False,"{'(0, 0)': [185, 191], '(1, 1)': [185, 191], '(2, 2)': [185, 191]}"
179,10,"[161, 197]",3,False,"{'(0, 0)': [161, 197], '(1, 1)': [161, 197], '(2, 2)': [161, 197]}"
179,20,"[143, 197]",3,False,"{'(0, 0)': [143, 197], '(1, 1)': [143, 197], '(2, 2)': [143, 197]}"
179,30,"[125, 179]",3,False,"{'(0, 0)': [125, 179], '(1, 1)': [125, 179], '(2, 2)': [125, 179]}"
179,34,"[131, 137, 185, 191]",3,False,"{'(0, 0)': [131, 137, 185, 191], '(1, 1)': [131, 137, 185, 191], '(2, 2)': [131, 137, 185, 191]}"
179,40,"[143, 161]",3,False,"{'(0, 0)': [143, 161], '(1, 1)': [143, 161], '(2, 2)': [143, 161]}"
