orbit_A,orbit_B,a_config_id,b_config_id,output_config_id,output_orbit,interface_c1,interface_x,interface_c2,iface_r,iface_s,iface_t,iface_u,iface_st,iface_rstu
125,34,729,117,846,185,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,34,729,126,855,191,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,34,729,225,954,185,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,34,729,234,963,191,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,34,1458,117,1575,191,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,34,1458,126,1584,185,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,34,1458,225,1683,191,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,34,1458,234,1692,185,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,4,729,9,738,131,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,4,729,18,747,137,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,4,1458,9,1467,137,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
125,4,1458,18,1476,131,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,34,2187,117,2304,394,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,34,2187,126,2313,394,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,34,2187,225,2412,434,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,34,2187,234,2421,434,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,34,4374,117,4491,434,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,34,4374,126,4500,434,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,34,4374,225,4599,394,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,34,4374,234,4608,394,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,40,2187,135,2322,400,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,40,2187,189,2376,420,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,40,4374,135,4509,420,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,40,4374,189,4563,400,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,10,2187,27,2214,360,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,10,2187,54,2241,370,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,10,4374,27,4401,370,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,10,4374,54,4428,360,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,20,2187,81,2268,380,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,20,2187,162,2349,410,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,20,4374,81,4455,410,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,20,4374,162,4536,380,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,30,2187,108,2295,390,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,30,2187,216,2403,430,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,30,4374,108,4482,430,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,30,4374,216,4590,390,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,95,2187,351,2538,500,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,95,2187,459,2646,560,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,95,2187,594,2781,500,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,95,2187,702,2889,560,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,95,4374,351,4725,560,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,95,4374,459,4833,500,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,95,4374,594,4968,560,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
350,95,4374,702,5076,500,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,34,6561,117,6678,354,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,34,6561,126,6687,354,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,34,6561,225,6786,434,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,34,6561,234,6795,434,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,34,13122,117,13239,434,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,34,13122,126,13248,434,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,34,13122,225,13347,354,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,34,13122,234,13356,354,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,40,6561,135,6696,370,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,40,6561,189,6750,410,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,40,13122,135,13257,410,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,40,13122,189,13311,370,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,10,6561,27,6588,380,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,10,6561,54,6615,400,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,10,13122,27,13149,400,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,10,13122,54,13176,380,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,20,6561,81,6642,360,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,20,6561,162,6723,420,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,20,13122,81,13203,420,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,20,13122,162,13284,360,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,30,6561,108,6669,350,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,30,6561,216,6777,430,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,30,13122,108,13230,430,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,30,13122,216,13338,350,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,95,6561,351,6912,440,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,95,6561,459,7020,560,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,95,6561,594,7155,440,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,95,6561,702,7263,560,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,95,13122,351,13473,560,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,95,13122,459,13581,440,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,95,13122,594,13716,560,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
390,95,13122,702,13824,440,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,34,8748,117,8865,4,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,34,8748,126,8874,4,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,34,8748,225,8973,34,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,34,8748,234,8982,34,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,34,17496,117,17613,34,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,34,17496,126,17622,34,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,34,17496,225,17721,4,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,34,17496,234,17730,4,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,40,8748,135,8883,10,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,40,8748,189,8937,20,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,40,17496,135,17631,20,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
30,40,17496,189,17685,10,0,0,0,0,0,0,0,"(0, 0)","(0, 0, 0, 0)"
