fiber_pair_id,target_c,target_c_name,x1,x1_name,x2,x2_name,same_x,config_id,orbit_id,orbit_stab_type,orbit_rep
0,0,"C[0,0]",0,"X[0,0|0,0]",0,"X[0,0|0,0]",True,0,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
1,0,"C[0,0]",0,"X[0,0|0,0]",12,"X[0,1|1,0]",False,108,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
2,0,"C[0,0]",0,"X[0,0|0,0]",24,"X[0,2|2,0]",False,216,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
3,0,"C[0,0]",12,"X[0,1|1,0]",12,"X[0,1|1,0]",True,8856,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
4,0,"C[0,0]",12,"X[0,1|1,0]",24,"X[0,2|2,0]",False,8964,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
5,0,"C[0,0]",24,"X[0,2|2,0]",24,"X[0,2|2,0]",True,17712,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
6,1,"C[0,1]",1,"X[0,0|0,1]",1,"X[0,0|0,1]",True,59788,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
7,1,"C[0,1]",1,"X[0,0|0,1]",13,"X[0,1|1,1]",False,59896,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
8,1,"C[0,1]",1,"X[0,0|0,1]",25,"X[0,2|2,1]",False,60004,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
9,1,"C[0,1]",13,"X[0,1|1,1]",13,"X[0,1|1,1]",True,68644,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
10,1,"C[0,1]",13,"X[0,1|1,1]",25,"X[0,2|2,1]",False,68752,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
11,1,"C[0,1]",25,"X[0,2|2,1]",25,"X[0,2|2,1]",True,77500,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
12,2,"C[0,2]",2,"X[0,0|0,2]",2,"X[0,0|0,2]",True,119576,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
13,2,"C[0,2]",2,"X[0,0|0,2]",14,"X[0,1|1,2]",False,119684,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
14,2,"C[0,2]",2,"X[0,0|0,2]",26,"X[0,2|2,2]",False,119792,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
15,2,"C[0,2]",14,"X[0,1|1,2]",14,"X[0,1|1,2]",True,128432,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
16,2,"C[0,2]",14,"X[0,1|1,2]",26,"X[0,2|2,2]",False,128540,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
17,2,"C[0,2]",26,"X[0,2|2,2]",26,"X[0,2|2,2]",True,137288,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
18,3,"C[1,0]",27,"X[1,0|0,0]",27,"X[1,0|0,0]",True,197076,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
19,3,"C[1,0]",27,"X[1,0|0,0]",39,"X[1,1|1,0]",False,197184,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
20,3,"C[1,0]",27,"X[1,0|0,0]",51,"X[1,2|2,0]",False,197292,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
21,3,"C[1,0]",39,"X[1,1|1,0]",39,"X[1,1|1,0]",True,205932,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
22,3,"C[1,0]",39,"X[1,1|1,0]",51,"X[1,2|2,0]",False,206040,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
23,3,"C[1,0]",51,"X[1,2|2,0]",51,"X[1,2|2,0]",True,214788,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
24,4,"C[1,1]",28,"X[1,0|0,1]",28,"X[1,0|0,1]",True,256864,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
25,4,"C[1,1]",28,"X[1,0|0,1]",40,"X[1,1|1,1]",False,256972,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
26,4,"C[1,1]",28,"X[1,0|0,1]",52,"X[1,2|2,1]",False,257080,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
27,4,"C[1,1]",40,"X[1,1|1,1]",40,"X[1,1|1,1]",True,265720,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
28,4,"C[1,1]",40,"X[1,1|1,1]",52,"X[1,2|2,1]",False,265828,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
29,4,"C[1,1]",52,"X[1,2|2,1]",52,"X[1,2|2,1]",True,274576,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
30,5,"C[1,2]",29,"X[1,0|0,2]",29,"X[1,0|0,2]",True,316652,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
31,5,"C[1,2]",29,"X[1,0|0,2]",41,"X[1,1|1,2]",False,316760,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
32,5,"C[1,2]",29,"X[1,0|0,2]",53,"X[1,2|2,2]",False,316868,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
33,5,"C[1,2]",41,"X[1,1|1,2]",41,"X[1,1|1,2]",True,325508,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
34,5,"C[1,2]",41,"X[1,1|1,2]",53,"X[1,2|2,2]",False,325616,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
35,5,"C[1,2]",53,"X[1,2|2,2]",53,"X[1,2|2,2]",True,334364,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
36,6,"C[2,0]",54,"X[2,0|0,0]",54,"X[2,0|0,0]",True,394152,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
37,6,"C[2,0]",54,"X[2,0|0,0]",66,"X[2,1|1,0]",False,394260,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
38,6,"C[2,0]",54,"X[2,0|0,0]",78,"X[2,2|2,0]",False,394368,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
39,6,"C[2,0]",66,"X[2,1|1,0]",66,"X[2,1|1,0]",True,403008,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
40,6,"C[2,0]",66,"X[2,1|1,0]",78,"X[2,2|2,0]",False,403116,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
41,6,"C[2,0]",78,"X[2,2|2,0]",78,"X[2,2|2,0]",True,411864,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
42,7,"C[2,1]",55,"X[2,0|0,1]",55,"X[2,0|0,1]",True,453940,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
43,7,"C[2,1]",55,"X[2,0|0,1]",67,"X[2,1|1,1]",False,454048,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
44,7,"C[2,1]",55,"X[2,0|0,1]",79,"X[2,2|2,1]",False,454156,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
45,7,"C[2,1]",67,"X[2,1|1,1]",67,"X[2,1|1,1]",True,462796,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
46,7,"C[2,1]",67,"X[2,1|1,1]",79,"X[2,2|2,1]",False,462904,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
47,7,"C[2,1]",79,"X[2,2|2,1]",79,"X[2,2|2,1]",True,471652,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
48,8,"C[2,2]",56,"X[2,0|0,2]",56,"X[2,0|0,2]",True,513728,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
49,8,"C[2,2]",56,"X[2,0|0,2]",68,"X[2,1|1,2]",False,513836,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
50,8,"C[2,2]",56,"X[2,0|0,2]",80,"X[2,2|2,2]",False,513944,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
51,8,"C[2,2]",68,"X[2,1|1,2]",68,"X[2,1|1,2]",True,522584,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
52,8,"C[2,2]",68,"X[2,1|1,2]",80,"X[2,2|2,2]",False,522692,30,Z2xZ2,"CXXC[C[0,0],X[0,0|0,0],X[0,1|1,0],C[0,0]]"
53,8,"C[2,2]",80,"X[2,2|2,2]",80,"X[2,2|2,2]",True,531440,0,(Z2)^3,"CXXC[C[0,0],X[0,0|0,0],X[0,0|0,0],C[0,0]]"
