profile_orbit_id,canonical_profile,profile_matrix,cxxc_orbit0_support,cxxc_orbit30_support,support_pair_count,max_fiber_activation,nonzero_fibers,fibers_with_0,fibers_with_1,fibers_with_2,fibers_with_3,sample_a_support,sample_b_support,is_generic_full_support_profile
1,"(0, 0, 0, 0, 0, 0, 0, 0, 0)","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",0,0,3375,0,0,9,0,0,0,000/000/000,000/000/000,False
2,"(0, 0, 0, 0, 0, 0, 0, 0, 1)","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]",1,0,6075,1,1,8,1,0,0,100/000/000,100/000/000,False
3,"(0, 0, 0, 0, 0, 0, 0, 0, 2)","[[0, 0, 0], [0, 0, 0], [0, 0, 2]]",2,1,405,2,1,8,0,1,0,110/000/000,100/100/000,False
4,"(0, 0, 0, 0, 0, 0, 0, 0, 3)","[[0, 0, 0], [0, 0, 0], [0, 0, 3]]",3,3,9,3,1,8,0,0,1,111/000/000,100/100/100,False
5,"(0, 0, 0, 0, 0, 0, 0, 1, 1)","[[0, 0, 0], [0, 0, 0], [0, 1, 1]]",2,0,6885,1,2,7,2,0,0,100/000/000,110/000/000,False
6,"(0, 0, 0, 0, 0, 0, 0, 1, 2)","[[0, 0, 0], [0, 0, 0], [0, 1, 2]]",3,1,1674,2,2,7,1,1,0,110/000/000,110/100/000,False
7,"(0, 0, 0, 0, 0, 0, 0, 1, 3)","[[0, 0, 0], [0, 0, 0], [0, 1, 3]]",4,3,54,3,2,7,1,0,1,111/000/000,110/100/100,False
8,"(0, 0, 0, 0, 0, 0, 0, 2, 2)","[[0, 0, 0], [0, 0, 0], [0, 2, 2]]",4,2,459,2,2,7,0,2,0,110/000/000,110/110/000,False
9,"(0, 0, 0, 0, 0, 0, 0, 2, 3)","[[0, 0, 0], [0, 0, 0], [0, 2, 3]]",5,4,54,3,2,7,0,1,1,111/000/000,110/110/100,False
10,"(0, 0, 0, 0, 0, 0, 0, 3, 3)","[[0, 0, 0], [0, 0, 0], [0, 3, 3]]",6,6,9,3,2,7,0,0,2,111/000/000,110/110/110,False
11,"(0, 0, 0, 0, 0, 0, 1, 1, 1)","[[0, 0, 0], [0, 0, 0], [1, 1, 1]]",3,0,2853,1,3,6,3,0,0,100/000/000,111/000/000,False
12,"(0, 0, 0, 0, 0, 0, 1, 1, 2)","[[0, 0, 0], [0, 0, 0], [1, 1, 2]]",4,1,1755,2,3,6,2,1,0,110/000/000,111/100/000,False
13,"(0, 0, 0, 0, 0, 0, 1, 1, 3)","[[0, 0, 0], [0, 0, 0], [1, 1, 3]]",5,3,81,3,3,6,2,0,1,111/000/000,111/100/100,False
14,"(0, 0, 0, 0, 0, 0, 1, 2, 2)","[[0, 0, 0], [0, 0, 0], [1, 2, 2]]",5,2,999,2,3,6,1,2,0,110/000/000,111/110/000,False
15,"(0, 0, 0, 0, 0, 0, 1, 2, 3)","[[0, 0, 0], [0, 0, 0], [1, 2, 3]]",6,4,162,3,3,6,1,1,1,111/000/000,111/110/100,False
16,"(0, 0, 0, 0, 0, 0, 1, 3, 3)","[[0, 0, 0], [0, 0, 0], [1, 3, 3]]",7,6,27,3,3,6,1,0,2,111/000/000,111/110/110,False
17,"(0, 0, 0, 0, 0, 0, 2, 2, 2)","[[0, 0, 0], [0, 0, 0], [2, 2, 2]]",6,3,207,2,3,6,0,3,0,110/000/000,111/111/000,False
18,"(0, 0, 0, 0, 0, 0, 2, 2, 3)","[[0, 0, 0], [0, 0, 0], [2, 2, 3]]",7,5,81,3,3,6,0,2,1,111/000/000,111/111/100,False
19,"(0, 0, 0, 0, 0, 0, 2, 3, 3)","[[0, 0, 0], [0, 0, 0], [2, 3, 3]]",8,7,27,3,3,6,0,1,2,111/000/000,111/111/110,False
20,"(0, 0, 0, 0, 0, 0, 3, 3, 3)","[[0, 0, 0], [0, 0, 0], [3, 3, 3]]",9,9,3,3,3,6,0,0,3,111/000/000,111/111/111,False
21,"(0, 0, 0, 0, 0, 1, 0, 0, 1)","[[0, 0, 0], [0, 0, 1], [0, 0, 1]]",2,0,6885,1,2,7,2,0,0,100/100/000,100/000/000,False
