fiber_id,target_c,target_c_name,row_index,sum_index,col_index,x_atom,x_atom_name,coefficient_monomial
0,0,"C[0,0]",0,0,0,0,"X[0,0|0,0]","a[0,0]*b[0,0]"
0,0,"C[0,0]",0,1,0,12,"X[0,1|1,0]","a[0,1]*b[1,0]"
0,0,"C[0,0]",0,2,0,24,"X[0,2|2,0]","a[0,2]*b[2,0]"
1,1,"C[0,1]",0,0,1,1,"X[0,0|0,1]","a[0,0]*b[0,1]"
1,1,"C[0,1]",0,1,1,13,"X[0,1|1,1]","a[0,1]*b[1,1]"
1,1,"C[0,1]",0,2,1,25,"X[0,2|2,1]","a[0,2]*b[2,1]"
2,2,"C[0,2]",0,0,2,2,"X[0,0|0,2]","a[0,0]*b[0,2]"
2,2,"C[0,2]",0,1,2,14,"X[0,1|1,2]","a[0,1]*b[1,2]"
2,2,"C[0,2]",0,2,2,26,"X[0,2|2,2]","a[0,2]*b[2,2]"
3,3,"C[1,0]",1,0,0,27,"X[1,0|0,0]","a[1,0]*b[0,0]"
3,3,"C[1,0]",1,1,0,39,"X[1,1|1,0]","a[1,1]*b[1,0]"
3,3,"C[1,0]",1,2,0,51,"X[1,2|2,0]","a[1,2]*b[2,0]"
4,4,"C[1,1]",1,0,1,28,"X[1,0|0,1]","a[1,0]*b[0,1]"
4,4,"C[1,1]",1,1,1,40,"X[1,1|1,1]","a[1,1]*b[1,1]"
4,4,"C[1,1]",1,2,1,52,"X[1,2|2,1]","a[1,2]*b[2,1]"
5,5,"C[1,2]",1,0,2,29,"X[1,0|0,2]","a[1,0]*b[0,2]"
5,5,"C[1,2]",1,1,2,41,"X[1,1|1,2]","a[1,1]*b[1,2]"
5,5,"C[1,2]",1,2,2,53,"X[1,2|2,2]","a[1,2]*b[2,2]"
6,6,"C[2,0]",2,0,0,54,"X[2,0|0,0]","a[2,0]*b[0,0]"
6,6,"C[2,0]",2,1,0,66,"X[2,1|1,0]","a[2,1]*b[1,0]"
6,6,"C[2,0]",2,2,0,78,"X[2,2|2,0]","a[2,2]*b[2,0]"
7,7,"C[2,1]",2,0,1,55,"X[2,0|0,1]","a[2,0]*b[0,1]"
7,7,"C[2,1]",2,1,1,67,"X[2,1|1,1]","a[2,1]*b[1,1]"
7,7,"C[2,1]",2,2,1,79,"X[2,2|2,1]","a[2,2]*b[2,1]"
8,8,"C[2,2]",2,0,2,56,"X[2,0|0,2]","a[2,0]*b[0,2]"
8,8,"C[2,2]",2,1,2,68,"X[2,1|1,2]","a[2,1]*b[1,2]"
8,8,"C[2,2]",2,2,2,80,"X[2,2|2,2]","a[2,2]*b[2,2]"
