cxxc_orbit0_support,cxxc_orbit30_support,n_profile_orbits,support_pair_count,example_profile
0,0,1,3375,"(0, 0, 0, 0, 0, 0, 0, 0, 0)"
1,0,1,6075,"(0, 0, 0, 0, 0, 0, 0, 0, 1)"
2,0,3,15390,"(0, 0, 0, 0, 0, 0, 0, 1, 1)"
2,1,1,405,"(0, 0, 0, 0, 0, 0, 0, 0, 2)"
3,0,6,15894,"(0, 0, 0, 0, 0, 0, 1, 1, 1)"
3,1,3,3456,"(0, 0, 0, 0, 0, 0, 0, 1, 2)"
3,3,1,9,"(0, 0, 0, 0, 0, 0, 0, 0, 3)"
4,0,7,20493,"(0, 0, 0, 0, 0, 1, 1, 1, 1)"
4,1,9,8370,"(0, 0, 0, 0, 0, 0, 1, 1, 2)"
4,2,2,918,"(0, 0, 0, 0, 0, 0, 0, 2, 2)"
4,3,2,108,"(0, 0, 0, 0, 0, 0, 0, 1, 3)"
5,0,7,12420,"(0, 0, 0, 0, 1, 1, 1, 1, 1)"
5,1,14,11556,"(0, 0, 0, 0, 0, 1, 1, 1, 2)"
5,2,6,2754,"(0, 0, 0, 0, 0, 0, 1, 2, 2)"
5,3,3,378,"(0, 0, 0, 0, 0, 0, 1, 1, 3)"
5,4,2,108,"(0, 0, 0, 0, 0, 0, 0, 2, 3)"
6,0,6,12366,"(0, 0, 0, 1, 1, 1, 1, 1, 1)"
6,1,15,13905,"(0, 0, 0, 0, 1, 1, 1, 1, 2)"
6,2,15,6318,"(0, 0, 0, 0, 0, 1, 1, 2, 2)"
6,3,5,954,"(0, 0, 0, 0, 0, 0, 2, 2, 2)"
6,4,4,540,"(0, 0, 0, 0, 0, 0, 1, 2, 3)"
6,6,2,18,"(0, 0, 0, 0, 0, 0, 0, 3, 3)"
7,0,3,4968,"(0, 0, 1, 1, 1, 1, 1, 1, 1)"
7,1,13,9288,"(0, 0, 0, 1, 1, 1, 1, 1, 2)"
7,2,18,8478,"(0, 0, 0, 0, 1, 1, 1, 2, 2)"
7,3,6,1350,"(0, 0, 0, 0, 0, 1, 2, 2, 2)"
7,4,6,972,"(0, 0, 0, 0, 0, 1, 1, 2, 3)"
7,5,2,162,"(0, 0, 0, 0, 0, 0, 2, 2, 3)"
7,6,2,54,"(0, 0, 0, 0, 0, 0, 1, 3, 3)"
8,0,1,2322,"(0, 1, 1, 1, 1, 1, 1, 1, 1)"
8,1,10,9018,"(0, 0, 1, 1, 1, 1, 1, 1, 2)"
8,2,19,12042,"(0, 0, 0, 1, 1, 1, 1, 2, 2)"
8,3,11,2322,"(0, 0, 0, 0, 1, 1, 2, 2, 2)"
8,4,9,2241,"(0, 0, 0, 0, 1, 1, 1, 2, 3)"
8,5,3,324,"(0, 0, 0, 0, 0, 1, 2, 2, 3)"
8,6,2,108,"(0, 0, 0, 0, 1, 1, 0, 3, 3)"
8,7,2,54,"(0, 0, 0, 0, 0, 0, 2, 3, 3)"
9,0,1,1443,"(1, 1, 1, 1, 1, 1, 1, 1, 1)"
9,1,3,2160,"(0, 1, 1, 1, 1, 1, 1, 1, 2)"
9,2,15,7020,"(0, 0, 1, 1, 1, 1, 1, 2, 2)"
9,3,12,4464,"(0, 0, 0, 1, 1, 1, 2, 2, 2)"
9,4,9,1647,"(0, 0, 0, 0, 2, 2, 1, 2, 2)"
9,5,6,918,"(0, 0, 0, 0, 1, 1, 2, 2, 3)"
9,6,3,324,"(0, 0, 0, 0, 1, 1, 1, 3, 3)"
9,9,2,6,"(0, 0, 0, 0, 0, 0, 3, 3, 3)"
10,1,1,1512,"(1, 1, 1, 1, 1, 1, 1, 1, 2)"
10,2,9,6750,"(0, 1, 1, 1, 1, 1, 1, 2, 2)"
10,3,14,3510,"(0, 0, 1, 1, 1, 1, 2, 2, 2)"
10,4,16,4806,"(0, 0, 0, 1, 1, 2, 2, 2, 2)"
10,5,5,1512,"(0, 0, 0, 1, 1, 1, 2, 2, 3)"
10,6,6,486,"(0, 0, 0, 0, 2, 2, 1, 2, 3)"
10,7,2,108,"(0, 0, 0, 0, 1, 1, 2, 3, 3)"
10,8,2,108,"(0, 0, 0, 0, 2, 2, 0, 3, 3)"
11,2,3,2916,"(1, 1, 1, 1, 1, 1, 1, 2, 2)"
11,3,8,2619,"(0, 1, 1, 1, 1, 1, 2, 2, 2)"
11,4,8,1674,"(0, 0, 1, 1, 1, 2, 2, 2, 2)"
11,5,10,1512,"(0, 0, 0, 1, 2, 2, 2, 2, 2)"
11,6,6,1080,"(0, 0, 0, 1, 1, 2, 2, 2, 3)"
11,7,2,216,"(0, 0, 0, 1, 1, 1, 2, 3, 3)"
11,8,2,108,"(0, 0, 0, 0, 2, 2, 1, 3, 3)"
12,3,6,2934,"(1, 1, 1, 1, 1, 1, 2, 2, 2)"
12,4,11,3186,"(0, 1, 1, 1, 1, 2, 2, 2, 2)"
12,5,7,1728,"(0, 0, 1, 2, 2, 1, 2, 2, 2)"
12,6,9,1422,"(0, 0, 0, 2, 2, 2, 2, 2, 2)"
12,7,4,486,"(0, 0, 0, 1, 2, 2, 2, 2, 3)"
12,8,4,540,"(0, 0, 0, 1, 2, 2, 1, 3, 3)"
12,9,2,36,"(0, 0, 0, 1, 1, 1, 3, 3, 3)"
12,12,1,9,"(0, 0, 0, 0, 3, 3, 0, 3, 3)"
13,4,6,2430,"(1, 1, 1, 1, 1, 2, 2, 2, 2)"
13,5,5,972,"(0, 1, 1, 1, 2, 2, 2, 2, 2)"
13,6,7,864,"(0, 0, 1, 2, 2, 2, 2, 2, 2)"
13,7,2,216,"(0, 1, 1, 1, 1, 1, 2, 3, 3)"
13,8,4,324,"(0, 0, 0, 2, 2, 2, 2, 2, 3)"
13,9,2,216,"(0, 0, 0, 1, 2, 2, 2, 3, 3)"
14,5,6,1350,"(1, 1, 1, 1, 2, 2, 2, 2, 2)"
14,6,5,1134,"(0, 1, 1, 2, 2, 2, 2, 2, 2)"
14,7,6,1080,"(0, 1, 1, 1, 2, 2, 2, 2, 3)"
14,8,6,648,"(0, 0, 1, 2, 2, 2, 2, 2, 3)"
14,10,4,270,"(0, 0, 0, 2, 2, 2, 2, 3, 3)"
14,12,2,54,"(0, 0, 0, 1, 3, 3, 1, 3, 3)"
15,6,4,1098,"(1, 1, 1, 2, 2, 2, 2, 2, 2)"
15,7,3,594,"(1, 1, 1, 1, 2, 2, 2, 2, 3)"
15,8,2,216,"(1, 1, 1, 1, 2, 2, 1, 3, 3)"
15,9,4,270,"(0, 1, 1, 1, 2, 2, 2, 3, 3)"
15,10,2,54,"(0, 0, 1, 2, 2, 3, 2, 2, 3)"
15,12,2,36,"(0, 0, 0, 2, 2, 2, 3, 3, 3)"
16,7,2,324,"(1, 1, 2, 2, 2, 2, 2, 2, 2)"
