a_atom,a_name,b_atom,b_name,c_atom,c_name,x_atom,x_atom_name,xc_config_id,xc_orbit_id,x_live,c_relation_to_target,tensor_rhs,equation_template
0,"A[0,0]",0,"B[0,0]",0,"C[0,0]",0,"X[0,0|0,0]",0,0,True,exact_target,1,"sum_k a_k[0,0]*b_k[0,0]*c_k[0,0] = 1"
0,"A[0,0]",0,"B[0,0]",1,"C[0,1]",0,"X[0,0|0,0]",1,1,True,same_row_diff_col,0,"sum_k a_k[0,0]*b_k[0,0]*c_k[0,1] = 0"
0,"A[0,0]",0,"B[0,0]",2,"C[0,2]",0,"X[0,0|0,0]",2,1,True,same_row_diff_col,0,"sum_k a_k[0,0]*b_k[0,0]*c_k[0,2] = 0"
0,"A[0,0]",0,"B[0,0]",3,"C[1,0]",0,"X[0,0|0,0]",3,2,True,diff_row_same_col,0,"sum_k a_k[0,0]*b_k[0,0]*c_k[1,0] = 0"
0,"A[0,0]",0,"B[0,0]",4,"C[1,1]",0,"X[0,0|0,0]",4,3,True,diff_row_diff_col,0,"sum_k a_k[0,0]*b_k[0,0]*c_k[1,1] = 0"
0,"A[0,0]",0,"B[0,0]",5,"C[1,2]",0,"X[0,0|0,0]",5,3,True,diff_row_diff_col,0,"sum_k a_k[0,0]*b_k[0,0]*c_k[1,2] = 0"
0,"A[0,0]",0,"B[0,0]",6,"C[2,0]",0,"X[0,0|0,0]",6,2,True,diff_row_same_col,0,"sum_k a_k[0,0]*b_k[0,0]*c_k[2,0] = 0"
0,"A[0,0]",0,"B[0,0]",7,"C[2,1]",0,"X[0,0|0,0]",7,3,True,diff_row_diff_col,0,"sum_k a_k[0,0]*b_k[0,0]*c_k[2,1] = 0"
0,"A[0,0]",0,"B[0,0]",8,"C[2,2]",0,"X[0,0|0,0]",8,3,True,diff_row_diff_col,0,"sum_k a_k[0,0]*b_k[0,0]*c_k[2,2] = 0"
0,"A[0,0]",1,"B[0,1]",0,"C[0,0]",1,"X[0,0|0,1]",9,1,True,same_row_diff_col,0,"sum_k a_k[0,0]*b_k[0,1]*c_k[0,0] = 0"
