output_c,block_type,coordinate,equation,rhs,provenance
"C[0,0]",fiber_sum,"(0,0)","sum_k gamma_k[0,0] * sigma_k[0,0] = 3",3,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta1,"(0,0)","sum_k gamma_k[0,0] * eta1_k[0,0] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta2,"(0,0)","sum_k gamma_k[0,0] * eta2_k[0,0] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_sum,"(0,1)","sum_k gamma_k[0,0] * sigma_k[0,1] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta1,"(0,1)","sum_k gamma_k[0,0] * eta1_k[0,1] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta2,"(0,1)","sum_k gamma_k[0,0] * eta2_k[0,1] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_sum,"(0,2)","sum_k gamma_k[0,0] * sigma_k[0,2] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta1,"(0,2)","sum_k gamma_k[0,0] * eta1_k[0,2] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta2,"(0,2)","sum_k gamma_k[0,0] * eta2_k[0,2] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_sum,"(1,0)","sum_k gamma_k[0,0] * sigma_k[1,0] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta1,"(1,0)","sum_k gamma_k[0,0] * eta1_k[1,0] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta2,"(1,0)","sum_k gamma_k[0,0] * eta2_k[1,0] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_sum,"(1,1)","sum_k gamma_k[0,0] * sigma_k[1,1] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta1,"(1,1)","sum_k gamma_k[0,0] * eta1_k[1,1] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta2,"(1,1)","sum_k gamma_k[0,0] * eta2_k[1,1] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_sum,"(1,2)","sum_k gamma_k[0,0] * sigma_k[1,2] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta1,"(1,2)","sum_k gamma_k[0,0] * eta1_k[1,2] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta2,"(1,2)","sum_k gamma_k[0,0] * eta2_k[1,2] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_sum,"(2,0)","sum_k gamma_k[0,0] * sigma_k[2,0] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta1,"(2,0)","sum_k gamma_k[0,0] * eta1_k[2,0] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta2,"(2,0)","sum_k gamma_k[0,0] * eta2_k[2,0] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_sum,"(2,1)","sum_k gamma_k[0,0] * sigma_k[2,1] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta1,"(2,1)","sum_k gamma_k[0,0] * eta1_k[2,1] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta2,"(2,1)","sum_k gamma_k[0,0] * eta2_k[2,1] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_sum,"(2,2)","sum_k gamma_k[0,0] * sigma_k[2,2] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta1,"(2,2)","sum_k gamma_k[0,0] * eta1_k[2,2] = 0",0,EXACT_DERIVED
"C[0,0]",fiber_anisotropy_eta2,"(2,2)","sum_k gamma_k[0,0] * eta2_k[2,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,0,1,0)","sum_k gamma_k[0,0] * delta_k[0,0,1,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,0,1,1)","sum_k gamma_k[0,0] * delta_k[0,0,1,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,0,1,2)","sum_k gamma_k[0,0] * delta_k[0,0,1,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,0,2,0)","sum_k gamma_k[0,0] * delta_k[0,0,2,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,0,2,1)","sum_k gamma_k[0,0] * delta_k[0,0,2,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,0,2,2)","sum_k gamma_k[0,0] * delta_k[0,0,2,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,1,0,0)","sum_k gamma_k[0,0] * delta_k[0,1,0,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,1,0,1)","sum_k gamma_k[0,0] * delta_k[0,1,0,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,1,0,2)","sum_k gamma_k[0,0] * delta_k[0,1,0,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,1,2,0)","sum_k gamma_k[0,0] * delta_k[0,1,2,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,1,2,1)","sum_k gamma_k[0,0] * delta_k[0,1,2,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,1,2,2)","sum_k gamma_k[0,0] * delta_k[0,1,2,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,2,0,0)","sum_k gamma_k[0,0] * delta_k[0,2,0,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,2,0,1)","sum_k gamma_k[0,0] * delta_k[0,2,0,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,2,0,2)","sum_k gamma_k[0,0] * delta_k[0,2,0,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,2,1,0)","sum_k gamma_k[0,0] * delta_k[0,2,1,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,2,1,1)","sum_k gamma_k[0,0] * delta_k[0,2,1,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(0,2,1,2)","sum_k gamma_k[0,0] * delta_k[0,2,1,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,0,1,0)","sum_k gamma_k[0,0] * delta_k[1,0,1,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,0,1,1)","sum_k gamma_k[0,0] * delta_k[1,0,1,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,0,1,2)","sum_k gamma_k[0,0] * delta_k[1,0,1,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,0,2,0)","sum_k gamma_k[0,0] * delta_k[1,0,2,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,0,2,1)","sum_k gamma_k[0,0] * delta_k[1,0,2,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,0,2,2)","sum_k gamma_k[0,0] * delta_k[1,0,2,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,1,0,0)","sum_k gamma_k[0,0] * delta_k[1,1,0,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,1,0,1)","sum_k gamma_k[0,0] * delta_k[1,1,0,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,1,0,2)","sum_k gamma_k[0,0] * delta_k[1,1,0,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,1,2,0)","sum_k gamma_k[0,0] * delta_k[1,1,2,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,1,2,1)","sum_k gamma_k[0,0] * delta_k[1,1,2,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,1,2,2)","sum_k gamma_k[0,0] * delta_k[1,1,2,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,2,0,0)","sum_k gamma_k[0,0] * delta_k[1,2,0,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,2,0,1)","sum_k gamma_k[0,0] * delta_k[1,2,0,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,2,0,2)","sum_k gamma_k[0,0] * delta_k[1,2,0,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,2,1,0)","sum_k gamma_k[0,0] * delta_k[1,2,1,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,2,1,1)","sum_k gamma_k[0,0] * delta_k[1,2,1,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,2,1,2)","sum_k gamma_k[0,0] * delta_k[1,2,1,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,1,0)","sum_k gamma_k[0,0] * delta_k[2,0,1,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,1,1)","sum_k gamma_k[0,0] * delta_k[2,0,1,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,1,2)","sum_k gamma_k[0,0] * delta_k[2,0,1,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,2,0)","sum_k gamma_k[0,0] * delta_k[2,0,2,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,2,1)","sum_k gamma_k[0,0] * delta_k[2,0,2,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,2,2)","sum_k gamma_k[0,0] * delta_k[2,0,2,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,1,0,0)","sum_k gamma_k[0,0] * delta_k[2,1,0,0] = 0",0,EXACT_DERIVED
