support_type_id,canonical_state,alpha_row_support,alpha_col_support,beta_row_support,beta_col_support,gamma_row_support,gamma_col_support,orbit_size,active_count,auto_zero_count,orbit0_possible,all8_active,active_mask,provenance
1,"('{}', '{}', '{}', '{}', '{}', '{}')",{},{},{},{},{},{},1,0,8,False,False,00000000,EXACT_DERIVED
2,"('{}', '{}', '{}', '{}', '{}', '{0}')",{},{},{},{},{},{0},3,0,8,False,False,00000000,EXACT_DERIVED
3,"('{}', '{}', '{}', '{}', '{}', '{0,1}')",{},{},{},{},{},"{0,1}",3,0,8,False,False,00000000,EXACT_DERIVED
4,"('{}', '{}', '{}', '{}', '{}', '{0,1,2}')",{},{},{},{},{},"{0,1,2}",1,0,8,False,False,00000000,EXACT_DERIVED
5,"('{}', '{}', '{}', '{}', '{0}', '{}')",{},{},{},{},{0},{},3,0,8,False,False,00000000,EXACT_DERIVED
6,"('{}', '{}', '{}', '{}', '{0}', '{0}')",{},{},{},{},{0},{0},9,0,8,False,False,00000000,EXACT_DERIVED
7,"('{}', '{}', '{}', '{}', '{0}', '{0,1}')",{},{},{},{},{0},"{0,1}",9,0,8,False,False,00000000,EXACT_DERIVED
8,"('{}', '{}', '{}', '{}', '{0}', '{0,1,2}')",{},{},{},{},{0},"{0,1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
9,"('{}', '{}', '{}', '{}', '{0,1}', '{}')",{},{},{},{},"{0,1}",{},3,0,8,False,False,00000000,EXACT_DERIVED
10,"('{}', '{}', '{}', '{}', '{0,1}', '{0}')",{},{},{},{},"{0,1}",{0},9,0,8,False,False,00000000,EXACT_DERIVED
11,"('{}', '{}', '{}', '{}', '{0,1}', '{0,1}')",{},{},{},{},"{0,1}","{0,1}",9,0,8,False,False,00000000,EXACT_DERIVED
12,"('{}', '{}', '{}', '{}', '{0,1}', '{0,1,2}')",{},{},{},{},"{0,1}","{0,1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
13,"('{}', '{}', '{}', '{}', '{0,1,2}', '{}')",{},{},{},{},"{0,1,2}",{},1,0,8,False,False,00000000,EXACT_DERIVED
14,"('{}', '{}', '{}', '{}', '{0,1,2}', '{0}')",{},{},{},{},"{0,1,2}",{0},3,0,8,False,False,00000000,EXACT_DERIVED
15,"('{}', '{}', '{}', '{}', '{0,1,2}', '{0,1}')",{},{},{},{},"{0,1,2}","{0,1}",3,0,8,False,False,00000000,EXACT_DERIVED
16,"('{}', '{}', '{}', '{}', '{0,1,2}', '{0,1,2}')",{},{},{},{},"{0,1,2}","{0,1,2}",1,0,8,False,False,00000000,EXACT_DERIVED
17,"('{}', '{}', '{}', '{0}', '{}', '{}')",{},{},{},{0},{},{},3,0,8,False,False,00000000,EXACT_DERIVED
18,"('{}', '{}', '{}', '{0}', '{}', '{0}')",{},{},{},{0},{},{0},3,0,8,False,False,00000000,EXACT_DERIVED
19,"('{}', '{}', '{}', '{0}', '{}', '{1}')",{},{},{},{0},{},{1},6,0,8,False,False,00000000,EXACT_DERIVED
20,"('{}', '{}', '{}', '{0}', '{}', '{0,1}')",{},{},{},{0},{},"{0,1}",6,0,8,False,False,00000000,EXACT_DERIVED
21,"('{}', '{}', '{}', '{0}', '{}', '{1,2}')",{},{},{},{0},{},"{1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
22,"('{}', '{}', '{}', '{0}', '{}', '{0,1,2}')",{},{},{},{0},{},"{0,1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
23,"('{}', '{}', '{}', '{0}', '{0}', '{}')",{},{},{},{0},{0},{},9,0,8,False,False,00000000,EXACT_DERIVED
24,"('{}', '{}', '{}', '{0}', '{0}', '{0}')",{},{},{},{0},{0},{0},9,0,8,False,False,00000000,EXACT_DERIVED
25,"('{}', '{}', '{}', '{0}', '{0}', '{1}')",{},{},{},{0},{0},{1},18,0,8,False,False,00000000,EXACT_DERIVED
26,"('{}', '{}', '{}', '{0}', '{0}', '{0,1}')",{},{},{},{0},{0},"{0,1}",18,0,8,False,False,00000000,EXACT_DERIVED
27,"('{}', '{}', '{}', '{0}', '{0}', '{1,2}')",{},{},{},{0},{0},"{1,2}",9,0,8,False,False,00000000,EXACT_DERIVED
28,"('{}', '{}', '{}', '{0}', '{0}', '{0,1,2}')",{},{},{},{0},{0},"{0,1,2}",9,0,8,False,False,00000000,EXACT_DERIVED
29,"('{}', '{}', '{}', '{0}', '{0,1}', '{}')",{},{},{},{0},"{0,1}",{},9,0,8,False,False,00000000,EXACT_DERIVED
30,"('{}', '{}', '{}', '{0}', '{0,1}', '{0}')",{},{},{},{0},"{0,1}",{0},9,0,8,False,False,00000000,EXACT_DERIVED
31,"('{}', '{}', '{}', '{0}', '{0,1}', '{1}')",{},{},{},{0},"{0,1}",{1},18,0,8,False,False,00000000,EXACT_DERIVED
32,"('{}', '{}', '{}', '{0}', '{0,1}', '{0,1}')",{},{},{},{0},"{0,1}","{0,1}",18,0,8,False,False,00000000,EXACT_DERIVED
33,"('{}', '{}', '{}', '{0}', '{0,1}', '{1,2}')",{},{},{},{0},"{0,1}","{1,2}",9,0,8,False,False,00000000,EXACT_DERIVED
34,"('{}', '{}', '{}', '{0}', '{0,1}', '{0,1,2}')",{},{},{},{0},"{0,1}","{0,1,2}",9,0,8,False,False,00000000,EXACT_DERIVED
35,"('{}', '{}', '{}', '{0}', '{0,1,2}', '{}')",{},{},{},{0},"{0,1,2}",{},3,0,8,False,False,00000000,EXACT_DERIVED
36,"('{}', '{}', '{}', '{0}', '{0,1,2}', '{0}')",{},{},{},{0},"{0,1,2}",{0},3,0,8,False,False,00000000,EXACT_DERIVED
37,"('{}', '{}', '{}', '{0}', '{0,1,2}', '{1}')",{},{},{},{0},"{0,1,2}",{1},6,0,8,False,False,00000000,EXACT_DERIVED
38,"('{}', '{}', '{}', '{0}', '{0,1,2}', '{0,1}')",{},{},{},{0},"{0,1,2}","{0,1}",6,0,8,False,False,00000000,EXACT_DERIVED
39,"('{}', '{}', '{}', '{0}', '{0,1,2}', '{1,2}')",{},{},{},{0},"{0,1,2}","{1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
40,"('{}', '{}', '{}', '{0}', '{0,1,2}', '{0,1,2}')",{},{},{},{0},"{0,1,2}","{0,1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
41,"('{}', '{}', '{}', '{0,1}', '{}', '{}')",{},{},{},"{0,1}",{},{},3,0,8,False,False,00000000,EXACT_DERIVED
42,"('{}', '{}', '{}', '{0,1}', '{}', '{0}')",{},{},{},"{0,1}",{},{0},6,0,8,False,False,00000000,EXACT_DERIVED
43,"('{}', '{}', '{}', '{0,1}', '{}', '{0,1}')",{},{},{},"{0,1}",{},"{0,1}",3,0,8,False,False,00000000,EXACT_DERIVED
44,"('{}', '{}', '{}', '{0,1}', '{}', '{2}')",{},{},{},"{0,1}",{},{2},3,0,8,False,False,00000000,EXACT_DERIVED
45,"('{}', '{}', '{}', '{0,1}', '{}', '{0,2}')",{},{},{},"{0,1}",{},"{0,2}",6,0,8,False,False,00000000,EXACT_DERIVED
46,"('{}', '{}', '{}', '{0,1}', '{}', '{0,1,2}')",{},{},{},"{0,1}",{},"{0,1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
47,"('{}', '{}', '{}', '{0,1}', '{0}', '{}')",{},{},{},"{0,1}",{0},{},9,0,8,False,False,00000000,EXACT_DERIVED
48,"('{}', '{}', '{}', '{0,1}', '{0}', '{0}')",{},{},{},"{0,1}",{0},{0},18,0,8,False,False,00000000,EXACT_DERIVED
49,"('{}', '{}', '{}', '{0,1}', '{0}', '{0,1}')",{},{},{},"{0,1}",{0},"{0,1}",9,0,8,False,False,00000000,EXACT_DERIVED
50,"('{}', '{}', '{}', '{0,1}', '{0}', '{2}')",{},{},{},"{0,1}",{0},{2},9,0,8,False,False,00000000,EXACT_DERIVED
51,"('{}', '{}', '{}', '{0,1}', '{0}', '{0,2}')",{},{},{},"{0,1}",{0},"{0,2}",18,0,8,False,False,00000000,EXACT_DERIVED
52,"('{}', '{}', '{}', '{0,1}', '{0}', '{0,1,2}')",{},{},{},"{0,1}",{0},"{0,1,2}",9,0,8,False,False,00000000,EXACT_DERIVED
53,"('{}', '{}', '{}', '{0,1}', '{0,1}', '{}')",{},{},{},"{0,1}","{0,1}",{},9,0,8,False,False,00000000,EXACT_DERIVED
54,"('{}', '{}', '{}', '{0,1}', '{0,1}', '{0}')",{},{},{},"{0,1}","{0,1}",{0},18,0,8,False,False,00000000,EXACT_DERIVED
55,"('{}', '{}', '{}', '{0,1}', '{0,1}', '{0,1}')",{},{},{},"{0,1}","{0,1}","{0,1}",9,0,8,False,False,00000000,EXACT_DERIVED
56,"('{}', '{}', '{}', '{0,1}', '{0,1}', '{2}')",{},{},{},"{0,1}","{0,1}",{2},9,0,8,False,False,00000000,EXACT_DERIVED
57,"('{}', '{}', '{}', '{0,1}', '{0,1}', '{0,2}')",{},{},{},"{0,1}","{0,1}","{0,2}",18,0,8,False,False,00000000,EXACT_DERIVED
58,"('{}', '{}', '{}', '{0,1}', '{0,1}', '{0,1,2}')",{},{},{},"{0,1}","{0,1}","{0,1,2}",9,0,8,False,False,00000000,EXACT_DERIVED
59,"('{}', '{}', '{}', '{0,1}', '{0,1,2}', '{}')",{},{},{},"{0,1}","{0,1,2}",{},3,0,8,False,False,00000000,EXACT_DERIVED
60,"('{}', '{}', '{}', '{0,1}', '{0,1,2}', '{0}')",{},{},{},"{0,1}","{0,1,2}",{0},6,0,8,False,False,00000000,EXACT_DERIVED
61,"('{}', '{}', '{}', '{0,1}', '{0,1,2}', '{0,1}')",{},{},{},"{0,1}","{0,1,2}","{0,1}",3,0,8,False,False,00000000,EXACT_DERIVED
62,"('{}', '{}', '{}', '{0,1}', '{0,1,2}', '{2}')",{},{},{},"{0,1}","{0,1,2}",{2},3,0,8,False,False,00000000,EXACT_DERIVED
63,"('{}', '{}', '{}', '{0,1}', '{0,1,2}', '{0,2}')",{},{},{},"{0,1}","{0,1,2}","{0,2}",6,0,8,False,False,00000000,EXACT_DERIVED
64,"('{}', '{}', '{}', '{0,1}', '{0,1,2}', '{0,1,2}')",{},{},{},"{0,1}","{0,1,2}","{0,1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
65,"('{}', '{}', '{}', '{0,1,2}', '{}', '{}')",{},{},{},"{0,1,2}",{},{},1,0,8,False,False,00000000,EXACT_DERIVED
66,"('{}', '{}', '{}', '{0,1,2}', '{}', '{0}')",{},{},{},"{0,1,2}",{},{0},3,0,8,False,False,00000000,EXACT_DERIVED
67,"('{}', '{}', '{}', '{0,1,2}', '{}', '{0,1}')",{},{},{},"{0,1,2}",{},"{0,1}",3,0,8,False,False,00000000,EXACT_DERIVED
68,"('{}', '{}', '{}', '{0,1,2}', '{}', '{0,1,2}')",{},{},{},"{0,1,2}",{},"{0,1,2}",1,0,8,False,False,00000000,EXACT_DERIVED
69,"('{}', '{}', '{}', '{0,1,2}', '{0}', '{}')",{},{},{},"{0,1,2}",{0},{},3,0,8,False,False,00000000,EXACT_DERIVED
70,"('{}', '{}', '{}', '{0,1,2}', '{0}', '{0}')",{},{},{},"{0,1,2}",{0},{0},9,0,8,False,False,00000000,EXACT_DERIVED
71,"('{}', '{}', '{}', '{0,1,2}', '{0}', '{0,1}')",{},{},{},"{0,1,2}",{0},"{0,1}",9,0,8,False,False,00000000,EXACT_DERIVED
72,"('{}', '{}', '{}', '{0,1,2}', '{0}', '{0,1,2}')",{},{},{},"{0,1,2}",{0},"{0,1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
73,"('{}', '{}', '{}', '{0,1,2}', '{0,1}', '{}')",{},{},{},"{0,1,2}","{0,1}",{},3,0,8,False,False,00000000,EXACT_DERIVED
74,"('{}', '{}', '{}', '{0,1,2}', '{0,1}', '{0}')",{},{},{},"{0,1,2}","{0,1}",{0},9,0,8,False,False,00000000,EXACT_DERIVED
75,"('{}', '{}', '{}', '{0,1,2}', '{0,1}', '{0,1}')",{},{},{},"{0,1,2}","{0,1}","{0,1}",9,0,8,False,False,00000000,EXACT_DERIVED
76,"('{}', '{}', '{}', '{0,1,2}', '{0,1}', '{0,1,2}')",{},{},{},"{0,1,2}","{0,1}","{0,1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
77,"('{}', '{}', '{}', '{0,1,2}', '{0,1,2}', '{}')",{},{},{},"{0,1,2}","{0,1,2}",{},1,0,8,False,False,00000000,EXACT_DERIVED
78,"('{}', '{}', '{}', '{0,1,2}', '{0,1,2}', '{0}')",{},{},{},"{0,1,2}","{0,1,2}",{0},3,0,8,False,False,00000000,EXACT_DERIVED
79,"('{}', '{}', '{}', '{0,1,2}', '{0,1,2}', '{0,1}')",{},{},{},"{0,1,2}","{0,1,2}","{0,1}",3,0,8,False,False,00000000,EXACT_DERIVED
80,"('{}', '{}', '{}', '{0,1,2}', '{0,1,2}', '{0,1,2}')",{},{},{},"{0,1,2}","{0,1,2}","{0,1,2}",1,0,8,False,False,00000000,EXACT_DERIVED
81,"('{}', '{}', '{0}', '{}', '{}', '{}')",{},{},{0},{},{},{},3,0,8,False,False,00000000,EXACT_DERIVED
82,"('{}', '{}', '{0}', '{}', '{}', '{0}')",{},{},{0},{},{},{0},9,0,8,False,False,00000000,EXACT_DERIVED
83,"('{}', '{}', '{0}', '{}', '{}', '{0,1}')",{},{},{0},{},{},"{0,1}",9,0,8,False,False,00000000,EXACT_DERIVED
84,"('{}', '{}', '{0}', '{}', '{}', '{0,1,2}')",{},{},{0},{},{},"{0,1,2}",3,0,8,False,False,00000000,EXACT_DERIVED
85,"('{}', '{}', '{0}', '{}', '{0}', '{}')",{},{},{0},{},{0},{},9,0,8,False,False,00000000,EXACT_DERIVED
86,"('{}', '{}', '{0}', '{}', '{0}', '{0}')",{},{},{0},{},{0},{0},27,0,8,False,False,00000000,EXACT_DERIVED
87,"('{}', '{}', '{0}', '{}', '{0}', '{0,1}')",{},{},{0},{},{0},"{0,1}",27,0,8,False,False,00000000,EXACT_DERIVED
88,"('{}', '{}', '{0}', '{}', '{0}', '{0,1,2}')",{},{},{0},{},{0},"{0,1,2}",9,0,8,False,False,00000000,EXACT_DERIVED
89,"('{}', '{}', '{0}', '{}', '{0,1}', '{}')",{},{},{0},{},"{0,1}",{},9,0,8,False,False,00000000,EXACT_DERIVED
