active_mask,active_count,auto_zero_count,n_classes,n_orbit0_possible,n_all8_active,provenance
00000000,0,8,6272,0,0,EXACT_DERIVED
00000001,1,7,8,0,0,EXACT_DERIVED
00000010,1,7,16,0,0,EXACT_DERIVED
00000011,2,6,24,0,0,EXACT_DERIVED
00000100,1,7,16,0,0,EXACT_DERIVED
00000101,2,6,24,0,0,EXACT_DERIVED
00001000,1,7,32,0,0,EXACT_DERIVED
00001010,2,6,48,0,0,EXACT_DERIVED
00001100,2,6,48,0,0,EXACT_DERIVED
00001111,4,4,72,0,0,EXACT_DERIVED
00010000,1,7,16,0,0,EXACT_DERIVED
00010001,2,6,24,0,0,EXACT_DERIVED
00100000,1,7,32,0,0,EXACT_DERIVED
00100010,2,6,48,0,0,EXACT_DERIVED
00110000,2,6,48,0,0,EXACT_DERIVED
00110011,4,4,72,0,0,EXACT_DERIVED
01000000,1,7,32,0,0,EXACT_DERIVED
01000100,2,6,48,0,0,EXACT_DERIVED
01010000,2,6,48,0,0,EXACT_DERIVED
01010101,4,4,72,0,0,EXACT_DERIVED
10000000,1,7,64,64,0,EXACT_DERIVED
10001000,2,6,96,96,0,EXACT_DERIVED
10100000,2,6,96,96,0,EXACT_DERIVED
10101010,4,4,144,144,0,EXACT_DERIVED
11000000,2,6,96,96,0,EXACT_DERIVED
11001100,4,4,144,144,0,EXACT_DERIVED
11110000,4,4,144,144,0,EXACT_DERIVED
11111111,8,0,216,216,216,EXACT_DERIVED
