R,p_rank,q_rank,trials,expected_product_rank_cap,nuisance_target,nuisance_rank_min,nuisance_rank_median,nuisance_rank_max,full_product_rank_min,full_product_rank_median,full_product_rank_max,augmented_rank_min,augmented_rank_median,augmented_rank_max,quotient_gain_min,quotient_gain_median,quotient_gain_max,criterion_holds_count,meets_nuisance_target_count,meets_full_target_count,nuisance_equals_expected_count,nuisance_equals_full_product_count,augmented_equals_nuisance_count,provenance
18,3,3,8,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
18,3,4,8,12,9,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,3,5,8,15,9,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,3,6,8,18,9,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,4,3,8,12,9,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,4,4,8,16,9,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,4,5,8,18,9,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,4,6,8,18,9,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,5,3,8,15,9,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,5,4,8,18,9,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,5,5,8,18,9,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,5,6,8,18,9,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,6,3,8,18,9,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,6,4,8,18,9,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,6,5,8,18,9,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
18,6,6,8,18,9,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,3,3,8,9,10,9,9,9,9,9,9,9,9,9,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
19,3,4,8,12,10,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,3,5,8,15,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,3,6,8,18,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,4,3,8,12,10,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,4,4,8,16,10,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,4,5,8,19,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,4,6,8,19,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,5,3,8,15,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,5,4,8,19,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,5,5,8,19,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,5,6,8,19,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,6,3,8,18,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,6,4,8,19,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,6,5,8,19,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
19,6,6,8,19,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,3,3,8,9,11,9,9,9,9,9,9,9,9,9,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
20,3,4,8,12,11,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,3,5,8,15,11,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,3,6,8,18,11,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,4,3,8,12,11,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,4,4,8,16,11,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,4,5,8,20,11,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,4,6,8,20,11,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,5,3,8,15,11,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,5,4,8,20,11,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,5,5,8,20,11,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,5,6,8,20,11,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,6,3,8,18,11,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,6,4,8,20,11,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,6,5,8,20,11,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
20,6,6,8,20,11,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,3,3,8,9,12,9,9,9,9,9,9,9,9,9,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
21,3,4,8,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
21,3,5,8,15,12,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,3,6,8,18,12,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,4,3,8,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
21,4,4,8,16,12,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,4,5,8,20,12,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,4,6,8,21,12,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,5,3,8,15,12,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,5,4,8,20,12,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,5,5,8,21,12,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,5,6,8,21,12,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,6,3,8,18,12,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,6,4,8,21,12,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,6,5,8,21,12,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
21,6,6,8,21,12,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
22,3,3,24,9,13,9,9,9,9,9,9,9,9,9,0,0,0,0,24,0,24,24,24,EXACT_DERIVED
22,3,4,24,12,13,12,12,12,12,12,12,12,12,12,0,0,0,0,24,0,24,24,24,EXACT_DERIVED
22,3,5,24,15,13,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,3,6,24,18,13,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,4,3,24,12,13,12,12,12,12,12,12,12,12,12,0,0,0,0,24,0,24,24,24,EXACT_DERIVED
22,4,4,24,16,13,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,4,5,24,20,13,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,4,6,24,22,13,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,5,3,24,15,13,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,5,4,24,20,13,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,5,5,24,22,13,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,5,6,24,22,13,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,6,3,24,18,13,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,6,4,24,22,13,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,6,5,24,22,13,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
22,6,6,24,22,13,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,24,24,24,EXACT_DERIVED
23,3,3,8,9,14,9,9,9,9,9,9,9,9,9,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
23,3,4,8,12,14,12,12,12,12,12,12,12,12,12,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
23,3,5,8,15,14,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,3,6,8,18,14,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,4,3,8,12,14,12,12,12,12,12,12,12,12,12,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
23,4,4,8,16,14,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,4,5,8,20,14,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,4,6,8,23,14,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,5,3,8,15,14,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,5,4,8,20,14,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,5,5,8,23,14,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,5,6,8,23,14,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,6,3,8,18,14,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,6,4,8,23,14,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,6,5,8,23,14,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
23,6,6,8,23,14,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
27,3,3,8,9,18,9,9,9,9,9,9,9,9,9,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
27,3,4,8,12,18,12,12,12,12,12,12,12,12,12,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
27,3,5,8,15,18,15,15,15,15,15,15,15,15,15,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
27,3,6,8,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
27,4,3,8,12,18,12,12,12,12,12,12,12,12,12,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
27,4,4,8,16,18,16,16,16,16,16,16,16,16,16,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
27,4,5,8,20,18,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
27,4,6,8,24,18,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
27,5,3,8,15,18,15,15,15,15,15,15,15,15,15,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
27,5,4,8,20,18,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
27,5,5,8,25,18,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
27,5,6,8,27,18,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
27,6,3,8,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,8,0,8,8,8,EXACT_DERIVED
27,6,4,8,24,18,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
27,6,5,8,27,18,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
27,6,6,8,27,18,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,8,8,8,EXACT_DERIVED
