sample_id,seed,R,p_rank,q_rank,expected_product_rank_cap,nuisance_target,sigma_rank,eta_rank,dead_rank,nuisance_rank,augmented_rank,full_product_rank,quotient_gain,criterion_holds,meets_nuisance_target,meets_full_target,nuisance_equals_full_product_rank,augmented_equals_nuisance_rank,provenance
1,540540,18,3,3,9,9,9,9,9,9,9,9,0,False,True,False,True,True,EXACT_DERIVED
2,540541,18,3,3,9,9,9,9,9,9,9,9,0,False,True,False,True,True,EXACT_DERIVED
3,540542,18,3,3,9,9,9,9,9,9,9,9,0,False,True,False,True,True,EXACT_DERIVED
4,540543,18,3,3,9,9,9,9,9,9,9,9,0,False,True,False,True,True,EXACT_DERIVED
5,540544,18,3,3,9,9,9,9,9,9,9,9,0,False,True,False,True,True,EXACT_DERIVED
6,540545,18,3,3,9,9,9,9,9,9,9,9,0,False,True,False,True,True,EXACT_DERIVED
7,540546,18,3,3,9,9,9,9,9,9,9,9,0,False,True,False,True,True,EXACT_DERIVED
8,540547,18,3,3,9,9,9,9,9,9,9,9,0,False,True,False,True,True,EXACT_DERIVED
9,540548,18,3,4,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
10,540549,18,3,4,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
11,540550,18,3,4,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
12,540551,18,3,4,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
13,540552,18,3,4,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
14,540553,18,3,4,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
15,540554,18,3,4,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
16,540555,18,3,4,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
17,540556,18,3,5,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
18,540557,18,3,5,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
19,540558,18,3,5,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
20,540559,18,3,5,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
21,540560,18,3,5,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
22,540561,18,3,5,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
23,540562,18,3,5,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
24,540563,18,3,5,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
25,540564,18,3,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
26,540565,18,3,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
27,540566,18,3,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
28,540567,18,3,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
29,540568,18,3,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
30,540569,18,3,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
31,540570,18,3,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
32,540571,18,3,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
33,540572,18,4,3,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
34,540573,18,4,3,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
35,540574,18,4,3,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
36,540575,18,4,3,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
37,540576,18,4,3,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
38,540577,18,4,3,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
39,540578,18,4,3,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
40,540579,18,4,3,12,9,9,12,12,12,12,12,0,False,False,False,True,True,EXACT_DERIVED
41,540580,18,4,4,16,9,9,16,16,16,16,16,0,False,False,False,True,True,EXACT_DERIVED
42,540581,18,4,4,16,9,9,16,16,16,16,16,0,False,False,False,True,True,EXACT_DERIVED
43,540582,18,4,4,16,9,9,16,16,16,16,16,0,False,False,False,True,True,EXACT_DERIVED
44,540583,18,4,4,16,9,9,16,16,16,16,16,0,False,False,False,True,True,EXACT_DERIVED
45,540584,18,4,4,16,9,9,16,16,16,16,16,0,False,False,False,True,True,EXACT_DERIVED
46,540585,18,4,4,16,9,9,16,16,16,16,16,0,False,False,False,True,True,EXACT_DERIVED
47,540586,18,4,4,16,9,9,16,16,16,16,16,0,False,False,False,True,True,EXACT_DERIVED
48,540587,18,4,4,16,9,9,16,16,16,16,16,0,False,False,False,True,True,EXACT_DERIVED
49,540588,18,4,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
50,540589,18,4,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
51,540590,18,4,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
52,540591,18,4,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
53,540592,18,4,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
54,540593,18,4,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
55,540594,18,4,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
56,540595,18,4,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
57,540596,18,4,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
58,540597,18,4,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
59,540598,18,4,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
60,540599,18,4,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
61,540600,18,4,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
62,540601,18,4,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
63,540602,18,4,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
64,540603,18,4,6,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
65,540604,18,5,3,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
66,540605,18,5,3,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
67,540606,18,5,3,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
68,540607,18,5,3,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
69,540608,18,5,3,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
70,540609,18,5,3,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
71,540610,18,5,3,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
72,540611,18,5,3,15,9,9,15,15,15,15,15,0,False,False,False,True,True,EXACT_DERIVED
73,540612,18,5,4,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
74,540613,18,5,4,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
75,540614,18,5,4,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
76,540615,18,5,4,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
77,540616,18,5,4,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
78,540617,18,5,4,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
79,540618,18,5,4,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
80,540619,18,5,4,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
81,540620,18,5,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
82,540621,18,5,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
83,540622,18,5,5,18,9,9,18,18,18,18,18,0,False,False,False,True,True,EXACT_DERIVED
