algorithm,left_term,right_term,is_zero,commutator_rank,nonzero_entries,provenance
standard_3x3,1,1,True,0,0,EXACT_DERIVED
standard_3x3,1,2,False,2,2,EXACT_DERIVED
standard_3x3,1,3,False,2,2,EXACT_DERIVED
standard_3x3,1,4,True,0,0,EXACT_DERIVED
standard_3x3,1,5,False,2,2,EXACT_DERIVED
standard_3x3,1,6,False,2,2,EXACT_DERIVED
standard_3x3,1,7,True,0,0,EXACT_DERIVED
standard_3x3,1,8,False,2,2,EXACT_DERIVED
standard_3x3,1,9,False,2,2,EXACT_DERIVED
standard_3x3,1,10,False,2,2,EXACT_DERIVED
standard_3x3,1,11,False,2,2,EXACT_DERIVED
standard_3x3,1,12,False,2,2,EXACT_DERIVED
standard_3x3,1,13,False,2,2,EXACT_DERIVED
standard_3x3,1,14,False,2,2,EXACT_DERIVED
standard_3x3,1,15,False,2,2,EXACT_DERIVED
standard_3x3,1,16,False,2,2,EXACT_DERIVED
standard_3x3,1,17,False,2,2,EXACT_DERIVED
standard_3x3,1,18,False,2,2,EXACT_DERIVED
standard_3x3,1,19,False,2,2,EXACT_DERIVED
standard_3x3,1,20,False,2,2,EXACT_DERIVED
standard_3x3,1,21,False,2,2,EXACT_DERIVED
standard_3x3,1,22,False,2,2,EXACT_DERIVED
standard_3x3,1,23,False,2,2,EXACT_DERIVED
standard_3x3,1,24,False,2,2,EXACT_DERIVED
standard_3x3,1,25,False,2,2,EXACT_DERIVED
standard_3x3,1,26,False,2,2,EXACT_DERIVED
standard_3x3,1,27,False,2,2,EXACT_DERIVED
standard_3x3,2,1,False,2,2,EXACT_DERIVED
standard_3x3,2,2,True,0,0,EXACT_DERIVED
standard_3x3,2,3,False,2,2,EXACT_DERIVED
standard_3x3,2,4,False,2,2,EXACT_DERIVED
standard_3x3,2,5,True,0,0,EXACT_DERIVED
standard_3x3,2,6,False,2,2,EXACT_DERIVED
standard_3x3,2,7,False,2,2,EXACT_DERIVED
standard_3x3,2,8,True,0,0,EXACT_DERIVED
standard_3x3,2,9,False,2,2,EXACT_DERIVED
standard_3x3,2,10,False,2,2,EXACT_DERIVED
standard_3x3,2,11,False,2,2,EXACT_DERIVED
standard_3x3,2,12,False,2,2,EXACT_DERIVED
standard_3x3,2,13,False,2,2,EXACT_DERIVED
standard_3x3,2,14,False,2,2,EXACT_DERIVED
standard_3x3,2,15,False,2,2,EXACT_DERIVED
standard_3x3,2,16,False,2,2,EXACT_DERIVED
standard_3x3,2,17,False,2,2,EXACT_DERIVED
standard_3x3,2,18,False,2,2,EXACT_DERIVED
standard_3x3,2,19,False,2,2,EXACT_DERIVED
standard_3x3,2,20,False,2,2,EXACT_DERIVED
standard_3x3,2,21,False,2,2,EXACT_DERIVED
standard_3x3,2,22,False,2,2,EXACT_DERIVED
standard_3x3,2,23,False,2,2,EXACT_DERIVED
standard_3x3,2,24,False,2,2,EXACT_DERIVED
standard_3x3,2,25,False,2,2,EXACT_DERIVED
standard_3x3,2,26,False,2,2,EXACT_DERIVED
standard_3x3,2,27,False,2,2,EXACT_DERIVED
standard_3x3,3,1,False,2,2,EXACT_DERIVED
standard_3x3,3,2,False,2,2,EXACT_DERIVED
standard_3x3,3,3,True,0,0,EXACT_DERIVED
standard_3x3,3,4,False,2,2,EXACT_DERIVED
standard_3x3,3,5,False,2,2,EXACT_DERIVED
standard_3x3,3,6,True,0,0,EXACT_DERIVED
standard_3x3,3,7,False,2,2,EXACT_DERIVED
standard_3x3,3,8,False,2,2,EXACT_DERIVED
standard_3x3,3,9,True,0,0,EXACT_DERIVED
standard_3x3,3,10,False,2,2,EXACT_DERIVED
standard_3x3,3,11,False,2,2,EXACT_DERIVED
standard_3x3,3,12,False,2,2,EXACT_DERIVED
standard_3x3,3,13,False,2,2,EXACT_DERIVED
standard_3x3,3,14,False,2,2,EXACT_DERIVED
standard_3x3,3,15,False,2,2,EXACT_DERIVED
standard_3x3,3,16,False,2,2,EXACT_DERIVED
standard_3x3,3,17,False,2,2,EXACT_DERIVED
standard_3x3,3,18,False,2,2,EXACT_DERIVED
standard_3x3,3,19,False,2,2,EXACT_DERIVED
standard_3x3,3,20,False,2,2,EXACT_DERIVED
standard_3x3,3,21,False,2,2,EXACT_DERIVED
standard_3x3,3,22,False,2,2,EXACT_DERIVED
standard_3x3,3,23,False,2,2,EXACT_DERIVED
standard_3x3,3,24,False,2,2,EXACT_DERIVED
standard_3x3,3,25,False,2,2,EXACT_DERIVED
standard_3x3,3,26,False,2,2,EXACT_DERIVED
standard_3x3,3,27,False,2,2,EXACT_DERIVED
standard_3x3,4,1,True,0,0,EXACT_DERIVED
standard_3x3,4,2,False,2,2,EXACT_DERIVED
standard_3x3,4,3,False,2,2,EXACT_DERIVED
standard_3x3,4,4,True,0,0,EXACT_DERIVED
standard_3x3,4,5,False,2,2,EXACT_DERIVED
standard_3x3,4,6,False,2,2,EXACT_DERIVED
standard_3x3,4,7,True,0,0,EXACT_DERIVED
standard_3x3,4,8,False,2,2,EXACT_DERIVED
standard_3x3,4,9,False,2,2,EXACT_DERIVED
standard_3x3,4,10,False,2,2,EXACT_DERIVED
standard_3x3,4,11,False,2,2,EXACT_DERIVED
standard_3x3,4,12,False,2,2,EXACT_DERIVED
standard_3x3,4,13,False,2,2,EXACT_DERIVED
standard_3x3,4,14,False,2,2,EXACT_DERIVED
standard_3x3,4,15,False,2,2,EXACT_DERIVED
standard_3x3,4,16,False,2,2,EXACT_DERIVED
standard_3x3,4,17,False,2,2,EXACT_DERIVED
standard_3x3,4,18,False,2,2,EXACT_DERIVED
standard_3x3,4,19,False,2,2,EXACT_DERIVED
standard_3x3,4,20,False,2,2,EXACT_DERIVED
standard_3x3,4,21,False,2,2,EXACT_DERIVED
standard_3x3,4,22,False,2,2,EXACT_DERIVED
standard_3x3,4,23,False,2,2,EXACT_DERIVED
standard_3x3,4,24,False,2,2,EXACT_DERIVED
standard_3x3,4,25,False,2,2,EXACT_DERIVED
standard_3x3,4,26,False,2,2,EXACT_DERIVED
standard_3x3,4,27,False,2,2,EXACT_DERIVED
standard_3x3,5,1,False,2,2,EXACT_DERIVED
standard_3x3,5,2,True,0,0,EXACT_DERIVED
standard_3x3,5,3,False,2,2,EXACT_DERIVED
standard_3x3,5,4,False,2,2,EXACT_DERIVED
standard_3x3,5,5,True,0,0,EXACT_DERIVED
standard_3x3,5,6,False,2,2,EXACT_DERIVED
standard_3x3,5,7,False,2,2,EXACT_DERIVED
standard_3x3,5,8,True,0,0,EXACT_DERIVED
standard_3x3,5,9,False,2,2,EXACT_DERIVED
standard_3x3,5,10,False,2,2,EXACT_DERIVED
standard_3x3,5,11,False,2,2,EXACT_DERIVED
standard_3x3,5,12,False,2,2,EXACT_DERIVED
standard_3x3,5,13,False,2,2,EXACT_DERIVED
standard_3x3,5,14,False,2,2,EXACT_DERIVED
standard_3x3,5,15,False,2,2,EXACT_DERIVED
standard_3x3,5,16,False,2,2,EXACT_DERIVED
standard_3x3,5,17,False,2,2,EXACT_DERIVED
standard_3x3,5,18,False,2,2,EXACT_DERIVED
standard_3x3,5,19,False,2,2,EXACT_DERIVED
standard_3x3,5,20,False,2,2,EXACT_DERIVED
standard_3x3,5,21,False,2,2,EXACT_DERIVED
standard_3x3,5,22,False,2,2,EXACT_DERIVED
standard_3x3,5,23,False,2,2,EXACT_DERIVED
standard_3x3,5,24,False,2,2,EXACT_DERIVED
standard_3x3,5,25,False,2,2,EXACT_DERIVED
standard_3x3,5,26,False,2,2,EXACT_DERIVED
standard_3x3,5,27,False,2,2,EXACT_DERIVED
standard_3x3,6,1,False,2,2,EXACT_DERIVED
standard_3x3,6,2,False,2,2,EXACT_DERIVED
standard_3x3,6,3,True,0,0,EXACT_DERIVED
standard_3x3,6,4,False,2,2,EXACT_DERIVED
standard_3x3,6,5,False,2,2,EXACT_DERIVED
standard_3x3,6,6,True,0,0,EXACT_DERIVED
standard_3x3,6,7,False,2,2,EXACT_DERIVED
standard_3x3,6,8,False,2,2,EXACT_DERIVED
standard_3x3,6,9,True,0,0,EXACT_DERIVED
standard_3x3,6,10,False,2,2,EXACT_DERIVED
standard_3x3,6,11,False,2,2,EXACT_DERIVED
standard_3x3,6,12,False,2,2,EXACT_DERIVED
standard_3x3,6,13,False,2,2,EXACT_DERIVED
standard_3x3,6,14,False,2,2,EXACT_DERIVED
standard_3x3,6,15,False,2,2,EXACT_DERIVED
standard_3x3,6,16,False,2,2,EXACT_DERIVED
standard_3x3,6,17,False,2,2,EXACT_DERIVED
standard_3x3,6,18,False,2,2,EXACT_DERIVED
standard_3x3,6,19,False,2,2,EXACT_DERIVED
standard_3x3,6,20,False,2,2,EXACT_DERIVED
standard_3x3,6,21,False,2,2,EXACT_DERIVED
standard_3x3,6,22,False,2,2,EXACT_DERIVED
