c_modes,d_modes,c_mode_label,d_mode_label,c_includes_dc,d_includes_dc,sigma_rank,eta_rank,delta_rank,nuisance_rank,augmented_rank,quotient_gain,meets_nuisance_cap_7,meets_r22_target,full_quotient_target_holds,provenance
"((0, 0), (0, 1), (0, 2), (1, 0))","((0, 0), (0, 1), (1, 0), (2, 0))",00|01|02|10,00|01|10|20,True,True,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 0))","((0, 0), (0, 1), (1, 1), (2, 1))",00|01|02|10,00|01|11|21,True,True,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 0))","((0, 0), (0, 2), (1, 0), (2, 0))",00|01|02|10,00|02|10|20,True,True,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 0))","((0, 0), (0, 2), (1, 2), (2, 2))",00|01|02|10,00|02|12|22,True,True,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 0))","((0, 1), (0, 2), (1, 1), (2, 1))",00|01|02|10,01|02|11|21,True,False,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 0))","((0, 1), (0, 2), (1, 2), (2, 2))",00|01|02|10,01|02|12|22,True,False,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (2, 0), (2, 1))",00|01|02|11,00|10|20|21,True,True,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 0), (1, 0), (2, 0), (2, 2))",00|01|02|11,00|10|20|22,True,True,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 1), (2, 0), (2, 1))",00|01|02|11,01|11|20|21,True,False,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
"((0, 0), (0, 1), (0, 2), (1, 1))","((0, 1), (1, 1), (2, 1), (2, 2))",00|01|02|11,01|11|21|22,True,False,4,6,13,15,16,1,False,False,False,EXACT_DERIVED
