restart_id,loss,nuclear_norm,gain_proxy,sigma_rank,eta_rank,delta_rank,nuisance_rank,augmented_rank,quotient_gain,meets_nuisance_cap_7,meets_r22_target,full_quotient_target_holds,method,provenance
1,41.7415878382,41.7415878382,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
2,37.0299710968,37.0299710968,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
3,68.8171390598,68.8171390598,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
4,67.3212290296,67.3212290296,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
5,64.568878259,64.568878259,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
6,51.3201616204,51.3201616204,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
7,54.7549430758,54.7549430758,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
8,40.467333693,40.467333693,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
9,73.5647164365,73.5647164365,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
10,55.8815875143,55.8815875143,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
11,50.1310019842,50.1310019842,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
12,80.1109981332,80.1109981332,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
13,47.3312286572,47.3312286572,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
14,56.0100094372,56.0100094372,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
15,42.3540851163,42.3540851163,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
16,66.646098659,66.646098659,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
17,36.4637215105,36.4637215105,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
18,51.3737466946,51.3737466946,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
19,68.6490744095,68.6490744095,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
20,44.2999170562,44.2999170562,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
21,60.816995117,60.816995117,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
22,51.9178219009,51.9178219009,0.0,9,16,16,16,16,0,False,False,False,torch_unavailable_numpy_local_search,EXACT_DERIVED
