removed_term_index,removed_term_label,removed_fiber,orbit0_count_after_removal,orbit30_count_after_removal,delta_orbit0,delta_orbit30,provenance
1,"m[0,0,0]","(0, 0)",26,25,-1,-2,EXACT_DERIVED
2,"m[0,0,1]","(0, 1)",26,25,-1,-2,EXACT_DERIVED
3,"m[0,0,2]","(0, 2)",26,25,-1,-2,EXACT_DERIVED
4,"m[0,1,0]","(0, 0)",26,25,-1,-2,EXACT_DERIVED
5,"m[0,1,1]","(0, 1)",26,25,-1,-2,EXACT_DERIVED
6,"m[0,1,2]","(0, 2)",26,25,-1,-2,EXACT_DERIVED
7,"m[0,2,0]","(0, 0)",26,25,-1,-2,EXACT_DERIVED
8,"m[0,2,1]","(0, 1)",26,25,-1,-2,EXACT_DERIVED
9,"m[0,2,2]","(0, 2)",26,25,-1,-2,EXACT_DERIVED
10,"m[1,0,0]","(1, 0)",26,25,-1,-2,EXACT_DERIVED
11,"m[1,0,1]","(1, 1)",26,25,-1,-2,EXACT_DERIVED
12,"m[1,0,2]","(1, 2)",26,25,-1,-2,EXACT_DERIVED
13,"m[1,1,0]","(1, 0)",26,25,-1,-2,EXACT_DERIVED
14,"m[1,1,1]","(1, 1)",26,25,-1,-2,EXACT_DERIVED
15,"m[1,1,2]","(1, 2)",26,25,-1,-2,EXACT_DERIVED
16,"m[1,2,0]","(1, 0)",26,25,-1,-2,EXACT_DERIVED
17,"m[1,2,1]","(1, 1)",26,25,-1,-2,EXACT_DERIVED
18,"m[1,2,2]","(1, 2)",26,25,-1,-2,EXACT_DERIVED
19,"m[2,0,0]","(2, 0)",26,25,-1,-2,EXACT_DERIVED
20,"m[2,0,1]","(2, 1)",26,25,-1,-2,EXACT_DERIVED
21,"m[2,0,2]","(2, 2)",26,25,-1,-2,EXACT_DERIVED
22,"m[2,1,0]","(2, 0)",26,25,-1,-2,EXACT_DERIVED
23,"m[2,1,1]","(2, 1)",26,25,-1,-2,EXACT_DERIVED
24,"m[2,1,2]","(2, 2)",26,25,-1,-2,EXACT_DERIVED
25,"m[2,2,0]","(2, 0)",26,25,-1,-2,EXACT_DERIVED
26,"m[2,2,1]","(2, 1)",26,25,-1,-2,EXACT_DERIVED
27,"m[2,2,2]","(2, 2)",26,25,-1,-2,EXACT_DERIVED
