family,sample_id,sigma_rank,eta_rank,delta_rank,nuisance_rank,augmented_rank,quotient_gain,meets_nuisance_cap_7,meets_r22_target,full_quotient_target_holds,provenance
ternary_sample,1,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,2,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,3,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,4,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,5,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,6,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,7,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,8,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,9,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,10,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,11,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,12,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,13,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,14,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,15,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,16,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,17,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,18,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,19,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,20,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,21,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,22,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,23,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,24,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,25,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,26,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,27,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,28,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,29,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,30,8,13,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,31,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,32,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,33,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,34,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,35,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,36,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,37,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,38,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,39,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,40,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,41,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,42,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,43,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,44,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,45,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,46,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,47,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,48,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,49,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,50,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,51,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,52,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,53,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,54,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,55,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,56,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,57,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,58,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,59,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,60,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,61,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,62,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,63,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,64,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,65,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,66,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,67,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,68,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,69,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,70,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,71,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,72,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,73,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,74,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,75,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,76,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,77,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,78,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,79,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,80,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,81,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,82,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,83,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,84,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,85,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,86,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,87,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,88,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,89,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,90,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,91,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,92,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,93,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,94,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,95,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,96,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,97,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,98,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,99,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,100,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,101,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,102,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,103,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,104,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,105,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,106,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,107,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,108,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,109,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,110,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,111,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,112,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,113,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,114,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,115,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,116,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,117,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,118,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,119,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,120,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,121,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,122,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,123,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,124,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,125,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,126,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,127,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,128,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,129,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,130,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,131,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
