R,partition_type,ordered_assignments,symmetry_assignment_orbits,within_fiber_pairs,spreading_deficit_to_27,zero_fibers,max_group_size,no_spreading_filter_pass,exact3_tiling_candidate,exact3_tiling_surviving_assignment_orbits,example_surviving_assignment,example_shape_witness,provenance
9,"(1,1,1,1,1,1,1,1,1)",1,1,0,27,0,1,False,True,1,"(1,1,1,1,1,1,1,1,1)","f[0,0]/1: 1x1:1 | f[0,1]/1: 1x1:1 | f[0,2]/1: 1x1:1 | f[1,0]/1: 1x1:1 | f[1,1]/1: 1x1:1 | f[1,2]/1: 1x1:1 | f[2,0]/1: 1x3:1 | f[2,1]/1: 3x3:1 | f[2,2]/1: 3x3:1",EXACT_DERIVED
9,"(2,1,1,1,1,1,1,1,0)",72,3,1,26,1,2,False,True,3,"(2,1,1,1,1,1,1,1,0)","f[0,0]/2: 1x1:2 | f[0,1]/1: 1x1:1 | f[0,2]/1: 1x1:1 | f[1,0]/1: 1x1:1 | f[1,1]/1: 2x2:1 | f[1,2]/1: 2x3:1 | f[2,0]/1: 1x3:1 | f[2,1]/1: 3x3:1",EXACT_DERIVED
9,"(2,2,1,1,1,1,1,0,0)",756,28,2,25,2,2,False,True,28,"(2,2,1,1,1,1,1,0,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/1: 1x1:1 | f[1,0]/1: 2x2:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 3x1:1 | f[2,0]/1: 3x3:1",EXACT_DERIVED
9,"(2,2,2,1,1,1,0,0,0)",1680,54,3,24,3,2,False,True,54,"(2,2,2,1,1,1,0,0,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/1: 2x3:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 3x3:1",EXACT_DERIVED
9,"(2,2,2,2,1,0,0,0,0)",630,22,4,23,4,2,False,True,22,"(2,2,2,2,1,0,0,0,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/2: 2x3:2 | f[1,1]/1: 3x3:1",EXACT_DERIVED
9,"(3,1,1,1,1,1,1,0,0)",252,10,3,24,2,3,False,True,10,"(3,1,1,1,1,1,1,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/1: 1x2:1 | f[0,2]/1: 1x2:1 | f[1,0]/1: 2x1:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 3x2:1 | f[2,0]/1: 2x3:1",EXACT_DERIVED
9,"(3,2,1,1,1,1,0,0,0)",2520,73,4,23,3,3,False,True,73,"(3,2,1,1,1,1,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/2: 1x2:2 | f[0,2]/1: 1x2:1 | f[1,0]/1: 2x3:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 2x3:1",EXACT_DERIVED
9,"(3,2,2,1,1,0,0,0,0)",3780,114,5,22,4,3,False,True,114,"(3,2,2,1,1,0,0,0,0)","f[0,0]/3: 1x1:1; 2x1:2 | f[0,1]/2: 1x1:1; 1x2:1 | f[0,2]/2: 1x1:1; 3x2:1 | f[1,0]/1: 2x3:1 | f[1,1]/1: 2x3:1",EXACT_DERIVED
9,"(3,2,2,2,0,0,0,0,0)",504,17,6,21,5,3,False,True,17,"(3,2,2,2,0,0,0,0,0)","f[0,0]/3: 1x1:1; 2x1:2 | f[0,1]/2: 1x1:1; 1x2:1 | f[0,2]/2: 1x1:1; 3x2:1 | f[1,0]/2: 2x3:2",EXACT_DERIVED
9,"(3,3,1,1,1,0,0,0,0)",1260,43,6,21,4,3,False,True,43,"(3,3,1,1,1,0,0,0,0)","f[0,0]/3: 1x1:1; 2x1:2 | f[0,1]/3: 1x2:2; 3x1:1 | f[0,2]/1: 3x1:1 | f[1,0]/1: 2x3:1 | f[1,1]/1: 2x3:1",EXACT_DERIVED
9,"(3,3,2,1,0,0,0,0,0)",1512,45,7,20,5,3,False,True,45,"(3,3,2,1,0,0,0,0,0)","f[0,0]/3: 1x1:1; 3x1:2 | f[0,1]/3: 1x2:1; 3x1:2 | f[0,2]/2: 3x1:2 | f[1,0]/1: 2x3:1",EXACT_DERIVED
9,"(3,3,3,0,0,0,0,0,0)",84,6,9,18,6,3,False,True,6,"(3,3,3,0,0,0,0,0,0)","f[0,0]/3: 3x1:3 | f[0,1]/3: 3x1:3 | f[0,2]/3: 3x1:3",EXACT_DERIVED
9,"(4,1,1,1,1,1,0,0,0)",504,17,6,21,3,4,False,False,0,,,EXACT_DERIVED
9,"(4,2,1,1,1,0,0,0,0)",2520,73,7,20,4,4,False,False,0,,,EXACT_DERIVED
9,"(4,2,2,1,0,0,0,0,0)",1512,45,8,19,5,4,False,False,0,,,EXACT_DERIVED
9,"(4,3,1,1,0,0,0,0,0)",1512,45,9,18,5,4,False,False,0,,,EXACT_DERIVED
9,"(4,3,2,0,0,0,0,0,0)",504,15,10,17,6,4,False,False,0,,,EXACT_DERIVED
9,"(4,4,1,0,0,0,0,0,0)",252,10,12,15,6,4,False,False,0,,,EXACT_DERIVED
9,"(5,1,1,1,1,0,0,0,0)",630,22,10,17,4,5,False,False,0,,,EXACT_DERIVED
9,"(5,2,1,1,0,0,0,0,0)",1512,45,11,16,5,5,False,False,0,,,EXACT_DERIVED
9,"(5,2,2,0,0,0,0,0,0)",252,10,12,15,6,5,False,False,0,,,EXACT_DERIVED
9,"(5,3,1,0,0,0,0,0,0)",504,15,13,14,6,5,False,False,0,,,EXACT_DERIVED
9,"(5,4,0,0,0,0,0,0,0)",72,3,16,11,7,5,False,False,0,,,EXACT_DERIVED
9,"(6,1,1,1,0,0,0,0,0)",504,17,15,12,5,6,False,False,0,,,EXACT_DERIVED
9,"(6,2,1,0,0,0,0,0,0)",504,15,16,11,6,6,False,False,0,,,EXACT_DERIVED
9,"(6,3,0,0,0,0,0,0,0)",72,3,18,9,7,6,False,False,0,,,EXACT_DERIVED
9,"(7,1,1,0,0,0,0,0,0)",252,10,21,6,6,7,False,False,0,,,EXACT_DERIVED
9,"(7,2,0,0,0,0,0,0,0)",72,3,22,5,7,7,False,False,0,,,EXACT_DERIVED
9,"(8,1,0,0,0,0,0,0,0)",72,3,28,0,7,8,True,False,0,,,EXACT_DERIVED
9,"(9,0,0,0,0,0,0,0,0)",9,1,36,0,8,9,True,False,0,,,EXACT_DERIVED
10,"(10,0,0,0,0,0,0,0,0)",9,1,45,0,8,10,True,False,0,,,EXACT_DERIVED
10,"(2,1,1,1,1,1,1,1,1)",9,1,1,26,0,2,False,True,1,"(2,1,1,1,1,1,1,1,1)","f[0,0]/2: 1x1:2 | f[0,1]/1: 1x1:1 | f[0,2]/1: 1x1:1 | f[1,0]/1: 1x1:1 | f[1,1]/1: 1x1:1 | f[1,2]/1: 2x2:1 | f[2,0]/1: 1x2:1 | f[2,1]/1: 3x2:1 | f[2,2]/1: 3x3:1",EXACT_DERIVED
10,"(2,2,1,1,1,1,1,1,0)",252,10,2,25,1,2,False,True,10,"(2,2,1,1,1,1,1,1,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/1: 1x1:1 | f[1,0]/1: 2x1:1 | f[1,1]/1: 2x1:1 | f[1,2]/1: 3x1:1 | f[2,0]/1: 2x3:1 | f[2,1]/1: 3x3:1",EXACT_DERIVED
10,"(2,2,2,1,1,1,1,0,0)",1260,43,3,24,2,2,False,True,43,"(2,2,2,1,1,1,1,0,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/1: 2x1:1 | f[1,1]/1: 2x2:1 | f[1,2]/1: 2x3:1 | f[2,0]/1: 3x3:1",EXACT_DERIVED
10,"(2,2,2,2,1,1,0,0,0)",1260,43,4,23,3,2,False,True,43,"(2,2,2,2,1,1,0,0,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/2: 2x1:1; 2x3:1 | f[1,1]/1: 2x2:1 | f[1,2]/1: 3x3:1",EXACT_DERIVED
10,"(2,2,2,2,2,0,0,0,0)",126,7,5,22,4,2,False,True,7,"(2,2,2,2,2,0,0,0,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/2: 2x1:1; 2x3:1 | f[1,1]/2: 2x2:1; 3x3:1",EXACT_DERIVED
10,"(3,1,1,1,1,1,1,1,0)",72,3,3,24,1,3,False,True,3,"(3,1,1,1,1,1,1,1,0)","f[0,0]/3: 1x1:3 | f[0,1]/1: 1x1:1 | f[0,2]/1: 1x1:1 | f[1,0]/1: 2x1:1 | f[1,1]/1: 2x2:1 | f[1,2]/1: 3x2:1 | f[2,0]/1: 2x2:1 | f[2,1]/1: 3x2:1",EXACT_DERIVED
10,"(3,2,1,1,1,1,1,0,0)",1512,45,4,23,2,3,False,True,45,"(3,2,1,1,1,1,1,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/2: 1x1:1; 1x2:1 | f[0,2]/1: 1x1:1 | f[1,0]/1: 2x1:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 3x2:1 | f[2,0]/1: 2x3:1",EXACT_DERIVED
10,"(3,2,2,1,1,1,0,0,0)",5040,146,5,22,3,3,False,True,146,"(3,2,2,1,1,1,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/2: 1x1:1; 1x2:1 | f[0,2]/2: 1x1:1; 1x2:1 | f[1,0]/1: 2x3:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 2x3:1",EXACT_DERIVED
10,"(3,2,2,2,1,0,0,0,0)",2520,73,6,21,4,3,False,True,73,"(3,2,2,2,1,0,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/2: 1x1:1; 1x2:1 | f[0,2]/2: 1x1:1; 1x2:1 | f[1,0]/2: 2x3:2 | f[1,1]/1: 2x3:1",EXACT_DERIVED
10,"(3,3,1,1,1,1,0,0,0)",1260,43,6,21,3,3,False,True,43,"(3,3,1,1,1,1,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:1; 1x2:2 | f[0,2]/1: 1x1:1 | f[1,0]/1: 2x3:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 2x3:1",EXACT_DERIVED
