R,ordered_compositions,partition_types,symmetry_inequivalent_compositions,spreading_allowed_types,no_spreading_survivor_types,exact3_tiling_survivor_types,exact3_tiling_surviving_assignment_orbits,min_spreading_deficit,max_spreading_deficit,first_exact3_survivor_type,first_exact3_survivor_assignment,first_exact3_survivor_witness,provenance
9,24310,30,768,30,2,12,416,0,27,"(3,3,3,0,0,0,0,0,0)","(3,3,3,0,0,0,0,0,0)","f[0,0]/3: 3x1:3 | f[0,1]/3: 3x1:3 | f[0,2]/3: 3x1:3",EXACT_DERIVED
10,43758,41,1352,41,4,13,573,0,26,"(3,3,3,1,0,0,0,0,0)","(3,3,3,1,0,0,0,0,0)","f[0,0]/3: 1x1:1; 3x1:2 | f[0,1]/3: 1x1:1; 3x1:2 | f[0,2]/3: 1x1:1; 3x1:2 | f[1,0]/1: 2x3:1",EXACT_DERIVED
11,75582,54,2278,54,8,14,726,0,25,"(3,3,3,2,0,0,0,0,0)","(3,3,3,2,0,0,0,0,0)","f[0,0]/3: 1x1:1; 2x1:2 | f[0,1]/3: 1x1:1; 2x1:2 | f[0,2]/3: 1x1:1; 2x1:2 | f[1,0]/2: 2x3:2",EXACT_DERIVED
12,125970,73,3759,73,15,15,856,0,24,"(3,3,3,3,0,0,0,0,0)","(3,3,3,3,0,0,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:3 | f[0,2]/3: 1x1:3 | f[1,0]/3: 2x3:3",EXACT_DERIVED
13,203490,94,5978,94,25,15,922,0,23,"(3,3,3,3,1,0,0,0,0)","(3,3,3,3,1,0,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:3 | f[0,2]/3: 1x1:3 | f[1,0]/3: 2x1:1; 2x3:2 | f[1,1]/1: 2x2:1",EXACT_DERIVED
14,319770,123,9328,123,42,15,922,0,22,"(3,3,3,3,2,0,0,0,0)","(3,3,3,3,2,0,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:3 | f[0,2]/3: 1x1:3 | f[1,0]/3: 2x1:1; 2x2:2 | f[1,1]/2: 2x2:2",EXACT_DERIVED
15,490314,157,14181,157,66,15,856,0,21,"(3,3,3,3,3,0,0,0,0)","(3,3,3,3,3,0,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:3 | f[0,2]/3: 1x1:3 | f[1,0]/3: 2x1:3 | f[1,1]/3: 2x2:3",EXACT_DERIVED
16,735471,201,21164,201,102,14,726,0,20,"(3,3,3,3,3,1,0,0,0)","(3,3,3,3,3,1,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:3 | f[0,2]/3: 1x1:3 | f[1,0]/3: 2x1:3 | f[1,1]/3: 2x1:1; 2x2:2 | f[1,2]/1: 2x1:1",EXACT_DERIVED
17,1081575,252,30943,252,148,13,573,0,19,"(3,3,3,3,3,2,0,0,0)","(3,3,3,3,3,2,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:3 | f[0,2]/3: 1x1:3 | f[1,0]/3: 2x1:3 | f[1,1]/3: 2x1:2; 2x2:1 | f[1,2]/2: 2x1:2",EXACT_DERIVED
18,1562275,318,44560,318,213,12,416,0,18,"(3,3,3,3,3,3,0,0,0)","(3,3,3,3,3,3,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:3 | f[0,2]/3: 1x1:3 | f[1,0]/3: 2x1:3 | f[1,1]/3: 2x1:3 | f[1,2]/3: 2x1:3",EXACT_DERIVED
