R,selected_term,residual_l2_norm,max_abs_residual,live_target_failures,live_off_target_failures,dead_failures,total_failures,provenance
1,"fiber=(0,0),j=0",5.1854497287,1.0000000000,27,24,54,105,EXACT_DERIVED
2,"fiber=(0,0),j=1",5.1747248988,1.0000000000,27,24,54,105,EXACT_DERIVED
3,"fiber=(0,1),j=0",5.1639777949,1.0000000000,27,48,108,183,EXACT_DERIVED
4,"fiber=(0,1),j=1",5.1532082779,1.0000000000,27,48,108,183,EXACT_DERIVED
5,"fiber=(0,2),j=0",5.1424162068,1.0000000000,27,72,162,261,EXACT_DERIVED
6,"fiber=(0,2),j=1",5.1316014394,1.0000000000,27,72,162,261,EXACT_DERIVED
7,"fiber=(1,0),j=0",5.1207638319,1.0000000000,27,96,216,339,EXACT_DERIVED
8,"fiber=(1,0),j=1",5.1099032389,1.0000000000,27,96,216,339,EXACT_DERIVED
9,"fiber=(1,0),j=2",5.0990195136,1.0000000000,27,96,162,285,EXACT_DERIVED
10,"fiber=(1,1),j=0",5.0881125075,1.0000000000,27,120,216,363,EXACT_DERIVED
11,"fiber=(1,1),j=1",5.0771820706,1.0000000000,27,120,216,363,EXACT_DERIVED
12,"fiber=(1,1),j=2",5.0662280512,1.0000000000,27,120,162,309,EXACT_DERIVED
13,"fiber=(1,2),j=0",5.0552502960,1.0000000000,27,144,216,387,EXACT_DERIVED
14,"fiber=(1,2),j=1",5.0442486501,1.0000000000,27,144,216,387,EXACT_DERIVED
15,"fiber=(2,0),j=0",5.0332229568,1.0000000000,27,168,270,465,EXACT_DERIVED
16,"fiber=(2,0),j=1",5.0221730578,1.0000000000,27,168,270,465,EXACT_DERIVED
17,"fiber=(2,1),j=0",5.0110987928,1.0000000000,27,192,324,543,EXACT_DERIVED
18,"fiber=(2,1),j=1",5.0000000000,1.0000000000,27,192,324,543,EXACT_DERIVED
19,"fiber=(2,2),j=0",4.9888765157,0.9629629630,27,216,378,621,EXACT_DERIVED
20,"fiber=(2,2),j=1",4.9777281744,0.9259259259,27,216,378,621,EXACT_DERIVED
21,"fiber=(2,2),j=2",4.9665548086,0.9259259259,27,216,324,567,EXACT_DERIVED
22,"fiber=(1,2),j=2",4.9553562491,0.9259259259,27,216,270,513,EXACT_DERIVED
23,"fiber=(0,0),j=2",4.9441323247,0.9259259259,27,216,216,459,EXACT_DERIVED
24,"fiber=(0,1),j=2",4.9328828623,0.9259259259,27,216,162,405,EXACT_DERIVED
25,"fiber=(2,1),j=2",4.9216076867,0.9259259259,27,216,108,351,EXACT_DERIVED
26,"fiber=(2,0),j=2",4.9103066209,0.9259259259,27,216,54,297,EXACT_DERIVED
27,"fiber=(0,2),j=2",4.8989794856,0.8888888889,27,216,0,243,EXACT_DERIVED
