remaining_fiber_count,remaining_fibers,orbit_representative,row_profile,col_profile,is_rectangle,flattening_rank_A_BC,flattening_rank_B_AC,flattening_rank_C_AB,flattening_rank_max,available_spreaders_R19,available_spreaders_R20,available_spreaders_R21,available_spreaders_R22,available_spreaders_R23,flattening_rules_out_R19,flattening_rules_out_R20,flattening_rules_out_R21,flattening_rules_out_R22,flattening_rules_out_R23,exact_rank_if_known,exact_rank_source,exact_rank_rules_out_R19,exact_rank_rules_out_R20,exact_rank_rules_out_R21,exact_rank_rules_out_R22,exact_rank_rules_out_R23,provenance
1,"(0,0)","(0,0)","1,0,0","1,0,0",True,3,3,1,3,-5,-4,-3,-2,-1,True,True,True,True,True,3,"known_exact_rank_<1,3,1>",True,True,True,True,True,EXACT_DERIVED
1,"(0,1)","(0,0)","1,0,0","1,0,0",True,3,3,1,3,-5,-4,-3,-2,-1,True,True,True,True,True,3,"known_exact_rank_<1,3,1>",True,True,True,True,True,EXACT_DERIVED
1,"(0,2)","(0,0)","1,0,0","1,0,0",True,3,3,1,3,-5,-4,-3,-2,-1,True,True,True,True,True,3,"known_exact_rank_<1,3,1>",True,True,True,True,True,EXACT_DERIVED
1,"(1,0)","(0,0)","1,0,0","1,0,0",True,3,3,1,3,-5,-4,-3,-2,-1,True,True,True,True,True,3,"known_exact_rank_<1,3,1>",True,True,True,True,True,EXACT_DERIVED
1,"(1,1)","(0,0)","1,0,0","1,0,0",True,3,3,1,3,-5,-4,-3,-2,-1,True,True,True,True,True,3,"known_exact_rank_<1,3,1>",True,True,True,True,True,EXACT_DERIVED
1,"(1,2)","(0,0)","1,0,0","1,0,0",True,3,3,1,3,-5,-4,-3,-2,-1,True,True,True,True,True,3,"known_exact_rank_<1,3,1>",True,True,True,True,True,EXACT_DERIVED
1,"(2,0)","(0,0)","1,0,0","1,0,0",True,3,3,1,3,-5,-4,-3,-2,-1,True,True,True,True,True,3,"known_exact_rank_<1,3,1>",True,True,True,True,True,EXACT_DERIVED
1,"(2,1)","(0,0)","1,0,0","1,0,0",True,3,3,1,3,-5,-4,-3,-2,-1,True,True,True,True,True,3,"known_exact_rank_<1,3,1>",True,True,True,True,True,EXACT_DERIVED
1,"(2,2)","(0,0)","1,0,0","1,0,0",True,3,3,1,3,-5,-4,-3,-2,-1,True,True,True,True,True,3,"known_exact_rank_<1,3,1>",True,True,True,True,True,EXACT_DERIVED
2,"(0,0); (0,1)","(0,0); (0,1)","2,0,0","1,1,0",True,3,6,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<1,3,2>",True,True,True,True,True,EXACT_DERIVED
2,"(0,0); (0,2)","(0,0); (0,1)","2,0,0","1,1,0",True,3,6,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<1,3,2>",True,True,True,True,True,EXACT_DERIVED
2,"(0,0); (1,0)","(0,0); (1,0)","1,1,0","2,0,0",True,6,3,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<2,3,1>",True,True,True,True,True,EXACT_DERIVED
2,"(0,0); (1,1)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,0); (1,2)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,0); (2,0)","(0,0); (1,0)","1,1,0","2,0,0",True,6,3,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<2,3,1>",True,True,True,True,True,EXACT_DERIVED
2,"(0,0); (2,1)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,0); (2,2)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,1); (0,2)","(0,0); (0,1)","2,0,0","1,1,0",True,3,6,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<1,3,2>",True,True,True,True,True,EXACT_DERIVED
2,"(0,1); (1,0)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,1); (1,1)","(0,0); (1,0)","1,1,0","2,0,0",True,6,3,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<2,3,1>",True,True,True,True,True,EXACT_DERIVED
2,"(0,1); (1,2)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,1); (2,0)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,1); (2,1)","(0,0); (1,0)","1,1,0","2,0,0",True,6,3,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<2,3,1>",True,True,True,True,True,EXACT_DERIVED
2,"(0,1); (2,2)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,2); (1,0)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,2); (1,1)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,2); (1,2)","(0,0); (1,0)","1,1,0","2,0,0",True,6,3,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<2,3,1>",True,True,True,True,True,EXACT_DERIVED
2,"(0,2); (2,0)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,2); (2,1)","(0,0); (1,1)","1,1,0","1,1,0",False,6,6,2,6,-2,-1,0,1,2,True,True,True,True,True,,,False,False,False,False,False,EXACT_DERIVED
2,"(0,2); (2,2)","(0,0); (1,0)","1,1,0","2,0,0",True,6,3,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<2,3,1>",True,True,True,True,True,EXACT_DERIVED
2,"(1,0); (1,1)","(0,0); (0,1)","2,0,0","1,1,0",True,3,6,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<1,3,2>",True,True,True,True,True,EXACT_DERIVED
2,"(1,0); (1,2)","(0,0); (0,1)","2,0,0","1,1,0",True,3,6,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<1,3,2>",True,True,True,True,True,EXACT_DERIVED
2,"(1,0); (2,0)","(0,0); (1,0)","1,1,0","2,0,0",True,6,3,2,6,-2,-1,0,1,2,True,True,True,True,True,6,"known_exact_rank_<2,3,1>",True,True,True,True,True,EXACT_DERIVED
