R,gamma_rank,gamma_nullity,max_nuisance_rank,max_dead_rank,min_total_nuisance_dependencies,min_dead_dependencies,all_terms_deadfree_possible,all_terms_deadfree_ruled_out,provenance
9,9,0,0,0,72,54,False,True,EXACT_DERIVED
10,9,1,1,1,71,53,False,True,EXACT_DERIVED
11,9,2,2,2,70,52,False,True,EXACT_DERIVED
12,9,3,3,3,69,51,False,True,EXACT_DERIVED
13,9,4,4,4,68,50,False,True,EXACT_DERIVED
14,9,5,5,5,67,49,False,True,EXACT_DERIVED
15,9,6,6,6,66,48,False,True,EXACT_DERIVED
16,9,7,7,7,65,47,False,True,EXACT_DERIVED
17,9,8,8,8,64,46,False,True,EXACT_DERIVED
18,9,9,9,9,63,45,False,True,EXACT_DERIVED
19,9,10,10,10,62,44,False,True,EXACT_DERIVED
20,9,11,11,11,61,43,False,True,EXACT_DERIVED
21,9,12,12,12,60,42,False,True,EXACT_DERIVED
22,9,13,13,13,59,41,False,True,EXACT_DERIVED
23,9,14,14,14,58,40,False,True,EXACT_DERIVED
24,9,15,15,15,57,39,False,True,EXACT_DERIVED
25,9,16,16,16,56,38,False,True,EXACT_DERIVED
26,9,17,17,17,55,37,False,True,EXACT_DERIVED
27,9,18,18,18,54,36,True,False,EXACT_DERIVED
