pattern_id,rank_tested,restarts,success_count,best_verified_loss,best_max_abs_residual,best_restart,best_iterations,numerically_exact,provenance
P1,9,12,0,7.403952957992e+00,9.953127918307e-01,10,500,False,MEASURED_FROM_CODE
P1,10,12,0,6.006449290207e+00,1.000000411663e+00,8,500,False,MEASURED_FROM_CODE
P1,11,12,0,5.004976924661e+00,9.989774672617e-01,6,500,False,MEASURED_FROM_CODE
P1,12,12,0,3.019563629546e+00,9.797721347326e-01,11,500,False,MEASURED_FROM_CODE
P1,13,12,0,2.012618625422e+00,9.296053614899e-01,8,500,False,MEASURED_FROM_CODE
P1,14,12,0,1.007556492620e+00,5.730251413401e-01,3,500,False,MEASURED_FROM_CODE
P2,9,12,0,8.000000000015e+00,1.000000000000e+00,2,500,False,MEASURED_FROM_CODE
P2,10,12,0,6.009445728761e+00,8.423756136954e-01,1,500,False,MEASURED_FROM_CODE
P2,11,12,0,5.005625360591e+00,9.999976518431e-01,5,500,False,MEASURED_FROM_CODE
P2,12,12,0,4.002706226202e+00,7.122707048136e-01,10,500,False,MEASURED_FROM_CODE
P2,13,12,0,3.002561744222e+00,8.443725049499e-01,1,500,False,MEASURED_FROM_CODE
P2,14,12,0,1.049573765062e+00,8.305196807453e-01,8,500,False,MEASURED_FROM_CODE
P3,9,12,0,7.029708418584e+00,9.173508590616e-01,7,500,False,MEASURED_FROM_CODE
P3,10,12,0,6.007633991874e+00,9.457029056163e-01,1,500,False,MEASURED_FROM_CODE
P3,11,12,0,5.008397061344e+00,9.950318393125e-01,5,500,False,MEASURED_FROM_CODE
P3,12,12,0,4.010550261076e+00,7.172122427385e-01,5,500,False,MEASURED_FROM_CODE
P3,13,12,0,2.071395072827e+00,8.397560216202e-01,8,500,False,MEASURED_FROM_CODE
P3,14,12,0,1.011397192806e+00,5.475189850319e-01,7,500,False,MEASURED_FROM_CODE
P4,9,12,0,8.001604993510e+00,9.964876484473e-01,1,500,False,MEASURED_FROM_CODE
P4,10,12,0,7.001142208918e+00,9.924150095457e-01,0,500,False,MEASURED_FROM_CODE
P4,11,12,0,5.593109194052e+00,9.447796700356e-01,3,500,False,MEASURED_FROM_CODE
P4,12,12,0,4.006434616975e+00,5.334276575204e-01,7,500,False,MEASURED_FROM_CODE
P4,13,12,0,3.023111087915e+00,7.889632544974e-01,7,500,False,MEASURED_FROM_CODE
P4,14,12,0,2.006682842623e+00,7.456161614802e-01,2,500,False,MEASURED_FROM_CODE
P5,9,12,0,7.000880590815e+00,9.011396475194e-01,10,500,False,MEASURED_FROM_CODE
P5,10,12,0,6.004086462216e+00,8.774808497404e-01,6,500,False,MEASURED_FROM_CODE
P5,11,12,0,5.000000000000e+00,9.007641286109e-01,4,500,False,MEASURED_FROM_CODE
P5,12,12,0,3.048101166415e+00,7.822829775516e-01,10,500,False,MEASURED_FROM_CODE
P5,13,12,0,2.003634795393e+00,5.740761132651e-01,6,500,False,MEASURED_FROM_CODE
P5,14,12,0,1.000578290450e+00,2.786640771275e-01,1,500,False,MEASURED_FROM_CODE
P6,9,12,0,7.005103340381e+00,7.362406510265e-01,8,500,False,MEASURED_FROM_CODE
P6,10,12,0,6.000737805687e+00,6.584733407724e-01,0,500,False,MEASURED_FROM_CODE
P6,11,12,0,4.665549849724e+00,5.894597402134e-01,0,500,False,MEASURED_FROM_CODE
P6,12,12,0,3.797416873021e+00,7.246937806689e-01,11,500,False,MEASURED_FROM_CODE
P6,13,12,0,2.003388129995e+00,5.219360890869e-01,5,500,False,MEASURED_FROM_CODE
P6,14,12,0,1.001606838715e+00,2.933560697853e-01,2,500,False,MEASURED_FROM_CODE
