pattern_id,kind,label,restricted_shape,flattening_rank_A_BC,flattening_rank_B_AC,flattening_rank_C_AB,lower_bound,provenance
P1,none,no_substitution,9x9x6,9,9,6,9,EXACT_DERIVED
P1,A_row_zero,A_row_0=0,6x9x6,6,6,3,6,EXACT_DERIVED
P1,A_row_zero,A_row_1=0,6x9x6,6,9,4,9,EXACT_DERIVED
P1,A_row_zero,A_row_2=0,6x9x6,6,9,5,9,EXACT_DERIVED
P1,A_column_zero,A_column_0=0,6x9x6,6,6,6,6,EXACT_DERIVED
P1,A_column_zero,A_column_1=0,6x9x6,6,6,6,6,EXACT_DERIVED
P1,A_column_zero,A_column_2=0,6x9x6,6,6,6,6,EXACT_DERIVED
P1,B_row_zero,B_row_0=0,9x6x6,6,6,6,6,EXACT_DERIVED
P1,B_row_zero,B_row_1=0,9x6x6,6,6,6,6,EXACT_DERIVED
P1,B_row_zero,B_row_2=0,9x6x6,6,6,6,6,EXACT_DERIVED
P1,B_column_zero,B_column_0=0,9x6x6,6,6,3,6,EXACT_DERIVED
P1,B_column_zero,B_column_1=0,9x6x6,9,6,4,9,EXACT_DERIVED
P1,B_column_zero,B_column_2=0,9x6x6,9,6,5,9,EXACT_DERIVED
P1,Gamma_row_zero,Gamma_row_0=0,9x9x3,6,6,3,6,EXACT_DERIVED
P1,Gamma_row_zero,Gamma_row_1=0,9x9x4,6,9,4,9,EXACT_DERIVED
P1,Gamma_row_zero,Gamma_row_2=0,9x9x5,6,9,5,9,EXACT_DERIVED
P1,Gamma_column_zero,Gamma_col_0=0,9x9x3,6,6,3,6,EXACT_DERIVED
P1,Gamma_column_zero,Gamma_col_1=0,9x9x4,9,6,4,9,EXACT_DERIVED
P1,Gamma_column_zero,Gamma_col_2=0,9x9x5,9,6,5,9,EXACT_DERIVED
P2,none,no_substitution,9x9x6,9,9,6,9,EXACT_DERIVED
P2,A_row_zero,A_row_0=0,6x9x6,6,9,3,9,EXACT_DERIVED
P2,A_row_zero,A_row_1=0,6x9x6,6,9,4,9,EXACT_DERIVED
P2,A_row_zero,A_row_2=0,6x9x6,6,9,5,9,EXACT_DERIVED
P2,A_column_zero,A_column_0=0,6x9x6,6,6,6,6,EXACT_DERIVED
P2,A_column_zero,A_column_1=0,6x9x6,6,6,6,6,EXACT_DERIVED
P2,A_column_zero,A_column_2=0,6x9x6,6,6,6,6,EXACT_DERIVED
P2,B_row_zero,B_row_0=0,9x6x6,6,6,6,6,EXACT_DERIVED
P2,B_row_zero,B_row_1=0,9x6x6,6,6,6,6,EXACT_DERIVED
P2,B_row_zero,B_row_2=0,9x6x6,6,6,6,6,EXACT_DERIVED
P2,B_column_zero,B_column_0=0,9x6x6,9,6,4,9,EXACT_DERIVED
P2,B_column_zero,B_column_1=0,9x6x6,9,6,4,9,EXACT_DERIVED
P2,B_column_zero,B_column_2=0,9x6x6,6,6,4,6,EXACT_DERIVED
P2,Gamma_row_zero,Gamma_row_0=0,9x9x3,6,9,3,9,EXACT_DERIVED
P2,Gamma_row_zero,Gamma_row_1=0,9x9x4,6,9,4,9,EXACT_DERIVED
P2,Gamma_row_zero,Gamma_row_2=0,9x9x5,6,9,5,9,EXACT_DERIVED
P2,Gamma_column_zero,Gamma_col_0=0,9x9x4,9,6,4,9,EXACT_DERIVED
P2,Gamma_column_zero,Gamma_col_1=0,9x9x4,9,6,4,9,EXACT_DERIVED
P2,Gamma_column_zero,Gamma_col_2=0,9x9x4,6,6,4,6,EXACT_DERIVED
P3,none,no_substitution,9x9x6,9,9,6,9,EXACT_DERIVED
P3,A_row_zero,A_row_0=0,6x9x6,6,9,4,9,EXACT_DERIVED
