x_cell,output_cell,positive_terms,negative_terms,positive_sum,negative_sum,total,balance_status,provenance
"X[0,0|1,1]","C[0,1]",t01,t02,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,0|1,1]","C[0,2]",t01,t02,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,0|1,1]","C[1,1]",t02,t06,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,0|2,1]","C[0,1]",t01,t02,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,0|2,1]","C[0,2]",t01,t02,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,0|2,1]","C[1,1]",t02,t03,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|0,1]","C[0,0]",t08,t07,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|0,1]","C[0,1]",t02,t08,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|0,1]","C[0,2]",t02,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|0,1]","C[1,1]",t08,t02,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|0,1]","C[2,1]",t07,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|0,2]","C[0,0]",t07,t08,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|0,2]","C[0,1]",t08,t02,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|0,2]","C[0,2]",t05,t02,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|0,2]","C[1,1]",t02,t08,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|0,2]","C[2,1]",t05,t07,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|2,1]","C[0,1]",t02,t04,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|2,1]","C[0,2]",t02,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|2,1]","C[1,1]",t04,t02,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,1|2,1]","C[2,1]",t04,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|0,1]","C[0,0]",t07,t12,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|0,1]","C[0,2]",t05,t10,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|0,1]","C[2,1]",t05,t07,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|0,2]","C[0,0]",t12,t07,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|0,2]","C[0,2]",t10,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|0,2]","C[2,1]",t07,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|1,0]","C[0,0]",t12,t07,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|1,0]","C[2,1]",t07,t11,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|1,1]","C[0,2]",t05,t10,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|1,1]","C[2,1]",t05,t11,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|1,2]","C[0,2]",t10,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[0,2|1,2]","C[2,1]",t11,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[1,0|1,1]","C[0,1]",t01,t02,1,-1,0,perfect_balanced,EXACT_DERIVED
