left_term,right_term,shared_dead_cells,shared_dead_equations,provenance
t05,t10,8,8,EXACT_DERIVED
t14,t15,7,7,EXACT_DERIVED
t14,t21,6,12,EXACT_DERIVED
t05,t07,6,6,EXACT_DERIVED
t07,t12,6,6,EXACT_DERIVED
t15,t21,6,0,EXACT_DERIVED
t01,t02,4,8,EXACT_DERIVED
t05,t11,4,4,EXACT_DERIVED
t05,t12,4,0,EXACT_DERIVED
t07,t10,4,0,EXACT_DERIVED
t10,t11,4,0,EXACT_DERIVED
t10,t12,4,0,EXACT_DERIVED
t02,t05,3,3,EXACT_DERIVED
t02,t08,2,4,EXACT_DERIVED
t13,t14,2,4,EXACT_DERIVED
t02,t03,2,2,EXACT_DERIVED
t02,t06,2,2,EXACT_DERIVED
t07,t08,2,2,EXACT_DERIVED
t07,t11,2,2,EXACT_DERIVED
t01,t03,2,0,EXACT_DERIVED
t01,t06,2,0,EXACT_DERIVED
t02,t07,2,0,EXACT_DERIVED
t05,t08,2,0,EXACT_DERIVED
t11,t12,2,0,EXACT_DERIVED
t02,t04,1,2,EXACT_DERIVED
t07,t13,1,2,EXACT_DERIVED
t13,t19,1,2,EXACT_DERIVED
t13,t23,1,2,EXACT_DERIVED
t14,t23,1,2,EXACT_DERIVED
t04,t05,1,1,EXACT_DERIVED
t07,t14,1,1,EXACT_DERIVED
t07,t23,1,1,EXACT_DERIVED
t15,t17,1,1,EXACT_DERIVED
t13,t15,1,0,EXACT_DERIVED
t14,t19,1,0,EXACT_DERIVED
t15,t19,1,0,EXACT_DERIVED
