x_cell,target_output_cell,positive_terms,negative_terms,total,target_rhs,provenance
"X[0,0|0,0]","C[0,0]",t09,,1,1,EXACT_DERIVED
"X[0,0|0,1]","C[0,1]","t01,t08",t02,1,1,EXACT_DERIVED
"X[0,0|0,2]","C[0,2]",t02,,1,1,EXACT_DERIVED
"X[0,1|1,0]","C[0,0]",t07,,1,1,EXACT_DERIVED
"X[0,1|1,1]","C[0,1]",t02,,1,1,EXACT_DERIVED
"X[0,1|1,2]","C[0,2]",t05,,1,1,EXACT_DERIVED
"X[0,2|2,0]","C[0,0]",t12,,1,1,EXACT_DERIVED
"X[0,2|2,1]","C[0,1]",t04,,1,1,EXACT_DERIVED
"X[0,2|2,2]","C[0,2]",t10,,1,1,EXACT_DERIVED
"X[1,0|0,0]","C[1,0]",t15,,1,1,EXACT_DERIVED
"X[1,0|0,1]","C[1,1]",t02,,1,1,EXACT_DERIVED
"X[1,0|0,2]","C[1,2]",t20,,1,1,EXACT_DERIVED
"X[1,1|1,0]","C[1,0]",t14,,1,1,EXACT_DERIVED
"X[1,1|1,1]","C[1,1]",t06,,1,1,EXACT_DERIVED
"X[1,1|1,2]","C[1,2]",t18,,1,1,EXACT_DERIVED
"X[1,2|2,0]","C[1,0]",t17,,1,1,EXACT_DERIVED
"X[1,2|2,1]","C[1,1]",t03,,1,1,EXACT_DERIVED
"X[1,2|2,2]","C[1,2]",t22,,1,1,EXACT_DERIVED
"X[2,0|0,0]","C[2,0]",t13,,1,1,EXACT_DERIVED
"X[2,0|0,1]","C[2,1]",t07,,1,1,EXACT_DERIVED
"X[2,0|0,2]","C[2,2]",t14,,1,1,EXACT_DERIVED
"X[2,1|1,0]","C[2,0]",t23,,1,1,EXACT_DERIVED
"X[2,1|1,1]","C[2,1]",t11,,1,1,EXACT_DERIVED
"X[2,1|1,2]","C[2,2]",t21,,1,1,EXACT_DERIVED
"X[2,2|2,0]","C[2,0]",t19,,1,1,EXACT_DERIVED
"X[2,2|2,1]","C[2,1]",t05,,1,1,EXACT_DERIVED
"X[2,2|2,2]","C[2,2]",t16,,1,1,EXACT_DERIVED
