removed_terms,remaining_R,nuisance_rank,augmented_rank,quotient_gain,gamma_reweight_feasible,sigma_verification_if_feasible,nuisance_verification_if_feasible,provenance
t01,22,14,22,8,False,False,False,EXACT_DERIVED
t02,22,14,22,8,False,False,False,EXACT_DERIVED
t03,22,14,22,8,False,False,False,EXACT_DERIVED
t04,22,14,22,8,False,False,False,EXACT_DERIVED
t05,22,14,22,8,False,False,False,EXACT_DERIVED
t06,22,14,22,8,False,False,False,EXACT_DERIVED
t07,22,14,22,8,False,False,False,EXACT_DERIVED
t08,22,14,22,8,False,False,False,EXACT_DERIVED
t09,22,14,22,8,False,False,False,EXACT_DERIVED
t10,22,14,22,8,False,False,False,EXACT_DERIVED
t11,22,14,22,8,False,False,False,EXACT_DERIVED
t12,22,14,22,8,False,False,False,EXACT_DERIVED
t13,22,14,22,8,False,False,False,EXACT_DERIVED
t14,22,14,22,8,False,False,False,EXACT_DERIVED
t15,22,14,22,8,False,False,False,EXACT_DERIVED
t16,22,14,22,8,False,False,False,EXACT_DERIVED
t17,22,14,22,8,False,False,False,EXACT_DERIVED
t18,22,14,22,8,False,False,False,EXACT_DERIVED
t19,22,14,22,8,False,False,False,EXACT_DERIVED
t20,22,14,22,8,False,False,False,EXACT_DERIVED
t21,22,14,22,8,False,False,False,EXACT_DERIVED
t22,22,14,22,8,False,False,False,EXACT_DERIVED
t23,22,14,22,8,False,False,False,EXACT_DERIVED
