term_id,source_label,alpha,beta,gamma,alpha_nonzero,beta_nonzero,gamma_nonzero,provenance
t01,alpha_tensor_rank23_1,"[[1,0,0],[1,0,0],[0,0,0]]","[[0,-1,0],[0,-1,0],[0,-1,0]]","[[0,-1,-1],[0,0,0],[0,0,0]]",2,3,2,EXACT_DERIVED
t02,alpha_tensor_rank23_2,"[[1,-1,0],[1,0,0],[0,0,0]]","[[0,-1,1],[0,-1,0],[0,-1,0]]","[[0,1,1],[0,-1,0],[0,0,0]]",3,4,3,EXACT_DERIVED
t03,alpha_tensor_rank23_3,"[[1,0,-1],[1,0,-1],[0,0,0]]","[[0,0,0],[0,0,0],[0,-1,0]]","[[0,0,0],[0,1,0],[0,0,0]]",4,1,1,EXACT_DERIVED
t04,alpha_tensor_rank23_4,"[[0,-1,1],[0,0,0],[0,0,0]]","[[0,0,0],[0,0,0],[0,-1,0]]","[[0,-1,0],[0,1,0],[0,1,0]]",2,1,3,EXACT_DERIVED
t05,alpha_tensor_rank23_5,"[[0,-1,1],[0,0,0],[0,0,1]]","[[0,-1,1],[0,-1,1],[0,-1,0]]","[[0,0,-1],[0,0,0],[0,-1,0]]",3,5,2,EXACT_DERIVED
t06,alpha_tensor_rank23_6,"[[1,-1,0],[1,-1,0],[0,0,0]]","[[0,0,0],[0,1,0],[0,0,0]]","[[0,0,0],[0,-1,0],[0,0,0]]",4,1,1,EXACT_DERIVED
t07,alpha_tensor_rank23_7,"[[0,-1,1],[0,0,0],[-1,0,1]]","[[0,-1,1],[1,0,0],[0,0,0]]","[[-1,0,0],[0,0,0],[0,1,0]]",4,3,2,EXACT_DERIVED
t08,alpha_tensor_rank23_8,"[[1,-1,0],[0,0,0],[0,0,0]]","[[0,-1,1],[0,0,0],[0,0,0]]","[[1,-1,0],[0,1,0],[0,0,0]]",2,2,3,EXACT_DERIVED
t09,alpha_tensor_rank23_9,"[[1,0,0],[0,0,0],[1,0,0]]","[[1,1,-1],[0,0,0],[0,0,0]]","[[1,0,0],[0,0,0],[0,0,0]]",2,3,1,EXACT_DERIVED
t10,alpha_tensor_rank23_10,"[[0,0,-1],[0,0,0],[0,0,-1]]","[[0,-1,1],[0,-1,1],[0,-1,1]]","[[0,0,-1],[0,0,0],[0,0,0]]",2,6,1,EXACT_DERIVED
t11,alpha_tensor_rank23_11,"[[0,-1,1],[0,0,0],[0,-1,1]]","[[0,0,0],[1,1,-1],[0,0,0]]","[[0,0,0],[0,0,0],[0,-1,0]]",4,3,1,EXACT_DERIVED
t12,alpha_tensor_rank23_12,"[[0,0,-1],[0,0,0],[0,0,-1]]","[[0,-1,1],[1,0,0],[1,0,0]]","[[-1,0,0],[0,0,0],[0,0,0]]",2,4,1,EXACT_DERIVED
t13,alpha_tensor_rank23_13,"[[0,0,0],[0,0,0],[1,0,0]]","[[1,0,0],[1,0,0],[-1,0,0]]","[[-1,0,0],[0,0,0],[1,-1,-1]]",1,3,4,EXACT_DERIVED
t14,alpha_tensor_rank23_14,"[[0,0,0],[0,-1,0],[1,-1,0]]","[[1,0,1],[1,0,0],[-1,0,0]]","[[0,0,0],[-1,0,0],[0,1,1]]",3,4,3,EXACT_DERIVED
t15,alpha_tensor_rank23_15,"[[0,0,0],[1,-1,0],[1,-1,0]]","[[1,0,1],[0,0,0],[-1,0,0]]","[[0,0,0],[1,0,0],[0,0,0]]",4,3,1,EXACT_DERIVED
t16,alpha_tensor_rank23_16,"[[0,0,0],[0,0,0],[0,0,1]]","[[0,0,0],[0,0,0],[0,0,1]]","[[0,0,-1],[0,0,0],[0,0,1]]",1,1,2,EXACT_DERIVED
t17,alpha_tensor_rank23_17,"[[0,0,0],[1,0,1],[0,0,0]]","[[0,0,0],[0,0,0],[1,0,0]]","[[0,0,0],[1,0,0],[0,0,0]]",2,1,1,EXACT_DERIVED
t18,alpha_tensor_rank23_18,"[[0,0,0],[0,1,0],[0,0,0]]","[[0,0,0],[0,0,1],[0,0,0]]","[[0,0,0],[0,0,1],[0,-1,-1]]",1,1,3,EXACT_DERIVED
t19,alpha_tensor_rank23_19,"[[0,0,0],[0,0,0],[1,0,1]]","[[0,0,0],[0,0,0],[1,0,0]]","[[-1,0,0],[0,0,0],[1,0,0]]",2,1,2,EXACT_DERIVED
t20,alpha_tensor_rank23_20,"[[0,0,0],[1,0,0],[0,0,0]]","[[0,0,-1],[0,0,0],[0,0,0]]","[[0,1,1],[1,-1,-1],[0,0,0]]",1,1,5,EXACT_DERIVED
t21,alpha_tensor_rank23_21,"[[0,0,0],[0,-1,0],[0,-1,0]]","[[1,0,1],[1,0,1],[-1,0,0]]","[[0,0,0],[0,0,0],[0,-1,-1]]",2,5,2,EXACT_DERIVED
t22,alpha_tensor_rank23_22,"[[0,0,0],[0,0,1],[0,0,0]]","[[0,0,0],[0,0,0],[0,0,1]]","[[0,0,0],[0,0,1],[0,0,0]]",1,1,1,EXACT_DERIVED
t23,alpha_tensor_rank23_23,"[[0,0,0],[0,0,0],[1,-1,0]]","[[0,0,0],[1,0,0],[0,0,0]]","[[0,0,0],[1,0,0],[-1,1,0]]",2,1,3,EXACT_DERIVED
