term_id,frobenius_norm_squared,frobenius_norm,nonzero_equation_count,affected_equation_types,affected_live_fibers,provenance,E0_count,E1_count,E2_count,E3_count,E4_count,E5_count,E6_count,E7_count,importance_rank
t02,36,6.0,36,"E0,E1,E2,E3,E4,E5,E6,E7","(0,1);(0,2);(1,1);(1,2)",EXACT_DERIVED,4,4,4,3,7,5,6,3,1
t14,36,6.0,36,"E0,E1,E2,E3,E4,E5,E6,E7","(1,0);(2,0);(2,2)",EXACT_DERIVED,2,5,2,3,3,10,5,6,2
t05,30,5.477225575051661,30,"E0,E1,E2,E3,E4,E5,E6,E7","(0,1);(0,2);(2,1)",EXACT_DERIVED,2,2,2,2,5,6,6,5,3
t07,24,4.898979485566356,24,"E0,E1,E3,E4,E5,E6,E7","(0,0);(2,1);(2,2)",EXACT_DERIVED,2,1,0,3,2,7,4,5,4
t21,20,4.47213595499958,20,"E0,E1,E2,E3,E4,E5,E6,E7","(1,0);(1,2);(2,0);(2,2)",EXACT_DERIVED,1,3,1,3,1,5,1,5,5
t01,12,3.4641016151377544,12,"E0,E1,E2,E3,E4,E5,E6,E7","(0,1);(1,1)",EXACT_DERIVED,1,1,1,1,2,2,2,2,6
t08,12,3.4641016151377544,12,"E0,E1,E2,E3,E4,E5,E6,E7","(0,1);(0,2)",EXACT_DERIVED,1,3,1,1,1,3,1,1,7
t10,12,3.4641016151377544,12,"E0,E1,E2,E3,E4,E5,E6,E7","(0,1);(0,2);(2,1);(2,2)",EXACT_DERIVED,1,1,1,1,2,2,2,2,8
t11,12,3.4641016151377544,12,"E0,E1,E2,E3,E4,E5,E6,E7","(0,0);(0,1);(0,2);(2,0);(2,1);(2,2)",EXACT_DERIVED,1,2,1,2,1,2,1,2,9
t13,12,3.4641016151377544,12,"E0,E1,E2,E4,E5,E6","(2,0)",EXACT_DERIVED,1,2,1,0,2,4,2,0,10
t15,12,3.4641016151377544,12,"E0,E1,E2,E3,E4,E5,E6,E7","(1,0);(1,2);(2,0);(2,2)",EXACT_DERIVED,1,1,1,1,3,1,3,1,11
t12,8,2.8284271247461903,8,"E0,E2,E4,E5,E6,E7","(0,0);(2,0)",EXACT_DERIVED,1,0,1,0,1,2,1,2,12
t04,6,2.449489742783178,6,"E0,E2,E4,E6","(0,1)",EXACT_DERIVED,1,0,2,0,1,0,2,0,13
t09,6,2.449489742783178,6,"E0,E1,E2,E3","(0,0);(0,1);(0,2);(2,0);(2,1);(2,2)",EXACT_DERIVED,1,2,1,2,0,0,0,0,14
t23,6,2.449489742783178,6,"E0,E1,E2,E4,E5,E6","(2,0)",EXACT_DERIVED,1,1,1,0,1,1,1,0,15
t20,5,2.23606797749979,5,"E0,E1,E2,E3","(1,2)",EXACT_DERIVED,1,2,1,1,0,0,0,0,16
t03,4,2.0,4,"E0,E2,E4,E6","(0,1);(1,1)",EXACT_DERIVED,1,0,1,0,1,0,1,0,17
t06,4,2.0,4,"E0,E2,E4,E6","(0,1);(1,1)",EXACT_DERIVED,1,0,1,0,1,0,1,0,18
t19,4,2.0,4,"E0,E2,E4,E6","(2,0)",EXACT_DERIVED,1,0,1,0,1,0,1,0,19
t18,3,1.7320508075688772,3,"E0,E2,E3","(1,2)",EXACT_DERIVED,1,0,1,1,0,0,0,0,20
t16,2,1.4142135623730951,2,"E0,E2","(2,2)",EXACT_DERIVED,1,0,1,0,0,0,0,0,21
t17,2,1.4142135623730951,2,"E0,E4","(1,0)",EXACT_DERIVED,1,0,0,0,1,0,0,0,22
t22,1,1.0,1,E0,"(1,2)",EXACT_DERIVED,1,0,0,0,0,0,0,0,23
