term_id,x_cell,output_cell,equation_type,is_live,coefficient,provenance
t01,"X[0,0|0,1]","C[0,1]",E0,True,1,EXACT_DERIVED
t01,"X[0,0|0,1]","C[0,2]",E1,True,1,EXACT_DERIVED
t01,"X[0,0|1,1]","C[0,1]",E4,False,1,EXACT_DERIVED
t01,"X[0,0|1,1]","C[0,2]",E5,False,1,EXACT_DERIVED
t01,"X[0,0|2,1]","C[0,1]",E4,False,1,EXACT_DERIVED
t01,"X[0,0|2,1]","C[0,2]",E5,False,1,EXACT_DERIVED
t01,"X[1,0|0,1]","C[0,1]",E2,True,1,EXACT_DERIVED
t01,"X[1,0|0,1]","C[0,2]",E3,True,1,EXACT_DERIVED
t01,"X[1,0|1,1]","C[0,1]",E6,False,1,EXACT_DERIVED
t01,"X[1,0|1,1]","C[0,2]",E7,False,1,EXACT_DERIVED
t01,"X[1,0|2,1]","C[0,1]",E6,False,1,EXACT_DERIVED
t01,"X[1,0|2,1]","C[0,2]",E7,False,1,EXACT_DERIVED
t02,"X[0,0|0,1]","C[0,1]",E0,True,-1,EXACT_DERIVED
t02,"X[0,0|0,1]","C[0,2]",E1,True,-1,EXACT_DERIVED
t02,"X[0,0|0,1]","C[1,1]",E2,True,1,EXACT_DERIVED
t02,"X[0,0|0,2]","C[0,1]",E1,True,1,EXACT_DERIVED
t02,"X[0,0|0,2]","C[0,2]",E0,True,1,EXACT_DERIVED
t02,"X[0,0|0,2]","C[1,1]",E3,True,-1,EXACT_DERIVED
t02,"X[0,0|1,1]","C[0,1]",E4,False,-1,EXACT_DERIVED
t02,"X[0,0|1,1]","C[0,2]",E5,False,-1,EXACT_DERIVED
t02,"X[0,0|1,1]","C[1,1]",E6,False,1,EXACT_DERIVED
t02,"X[0,0|2,1]","C[0,1]",E4,False,-1,EXACT_DERIVED
t02,"X[0,0|2,1]","C[0,2]",E5,False,-1,EXACT_DERIVED
t02,"X[0,0|2,1]","C[1,1]",E6,False,1,EXACT_DERIVED
t02,"X[0,1|0,1]","C[0,1]",E4,False,1,EXACT_DERIVED
t02,"X[0,1|0,1]","C[0,2]",E5,False,1,EXACT_DERIVED
t02,"X[0,1|0,1]","C[1,1]",E6,False,-1,EXACT_DERIVED
t02,"X[0,1|0,2]","C[0,1]",E5,False,-1,EXACT_DERIVED
t02,"X[0,1|0,2]","C[0,2]",E4,False,-1,EXACT_DERIVED
t02,"X[0,1|0,2]","C[1,1]",E7,False,1,EXACT_DERIVED
t02,"X[0,1|1,1]","C[0,1]",E0,True,1,EXACT_DERIVED
t02,"X[0,1|1,1]","C[0,2]",E1,True,1,EXACT_DERIVED
t02,"X[0,1|1,1]","C[1,1]",E2,True,-1,EXACT_DERIVED
t02,"X[0,1|2,1]","C[0,1]",E4,False,1,EXACT_DERIVED
t02,"X[0,1|2,1]","C[0,2]",E5,False,1,EXACT_DERIVED
t02,"X[0,1|2,1]","C[1,1]",E6,False,-1,EXACT_DERIVED
t02,"X[1,0|0,1]","C[0,1]",E2,True,-1,EXACT_DERIVED
t02,"X[1,0|0,1]","C[0,2]",E3,True,-1,EXACT_DERIVED
