profile_id,alpha,beta,profile,provenance
0,"[[-1, -1], [-1, -1]]","[[-1, -1], [-1, -1]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",EXACT_DERIVED
1,"[[-1, -1], [-1, -1]]","[[-1, -1], [-1, 0]]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0]",EXACT_DERIVED
2,"[[-1, -1], [-1, -1]]","[[-1, -1], [-1, 1]]","[1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1]",EXACT_DERIVED
3,"[[-1, -1], [-1, -1]]","[[-1, -1], [0, -1]]","[1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1]",EXACT_DERIVED
4,"[[-1, -1], [-1, -1]]","[[-1, -1], [0, 0]]","[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",EXACT_DERIVED
5,"[[-1, -1], [-1, -1]]","[[-1, -1], [0, 1]]","[1, 1, 0, -1, 1, 1, 0, -1, 1, 1, 0, -1, 1, 1, 0, -1]",EXACT_DERIVED
6,"[[-1, -1], [-1, -1]]","[[-1, -1], [1, -1]]","[1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1]",EXACT_DERIVED
7,"[[-1, -1], [-1, -1]]","[[-1, -1], [1, 0]]","[1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0]",EXACT_DERIVED
8,"[[-1, -1], [-1, -1]]","[[-1, -1], [1, 1]]","[1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1]",EXACT_DERIVED
9,"[[-1, -1], [-1, -1]]","[[-1, 0], [-1, -1]]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1]",EXACT_DERIVED
10,"[[-1, -1], [-1, -1]]","[[-1, 0], [-1, 0]]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",EXACT_DERIVED
