rank_step,alpha,beta,weight,score_drop,residual_norm_squared,exact_zero,provenance
1,"[[1, 0, 0], [1, 0, 0], [1, 0, 0]]","[[1, 1, 1], [0, 0, 0], [0, 0, 0]]",1.0,9.0,18.0,False,MEASURED_FROM_CODE
2,"[[0, 1, 0], [0, 1, 0], [0, 1, 0]]","[[0, 0, 0], [1, 1, 1], [0, 0, 0]]",1.0,9.0,9.0,False,MEASURED_FROM_CODE
3,"[[0, 0, 1], [0, 0, 1], [0, 0, 1]]","[[0, 0, 0], [0, 0, 0], [1, 1, 1]]",1.0,9.0,0.0,True,MEASURED_FROM_CODE
4,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
5,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
6,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
7,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
8,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
9,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
10,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
11,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
12,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
13,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
14,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
15,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
16,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
17,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
18,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
19,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
20,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
21,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
22,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
23,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
24,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
25,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
26,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
27,,,0.0,0.0,0.0,True,MEASURED_FROM_CODE
