action_id,pi_rA,pi_shared,pi_cB,alpha_cycle_lengths,beta_cycle_lengths,fixed_projective_alpha_lines,fixed_projective_beta_lines,fixed_profile_classes,provenance
0,"(0, 1, 2)","(0, 1, 2)","(0, 1, 2)","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",9841,9841,96845281,EXACT_DERIVED
1,"(0, 1, 2)","(0, 1, 2)","(0, 2, 1)","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 2, 1, 2, 1, 2]",9841,377,3710057,EXACT_DERIVED
2,"(0, 1, 2)","(0, 1, 2)","(1, 0, 2)","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 1, 2, 1, 2, 1]",9841,377,3710057,EXACT_DERIVED
3,"(0, 1, 2)","(0, 1, 2)","(1, 2, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 3]",9841,13,127933,EXACT_DERIVED
4,"(0, 1, 2)","(0, 1, 2)","(2, 0, 1)","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 3]",9841,13,127933,EXACT_DERIVED
5,"(0, 1, 2)","(0, 1, 2)","(2, 1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 1, 2, 1, 2, 1]",9841,377,3710057,EXACT_DERIVED
6,"(0, 1, 2)","(0, 2, 1)","(0, 1, 2)","[1, 2, 1, 2, 1, 2]","[1, 1, 1, 2, 2, 2]",377,377,142129,EXACT_DERIVED
7,"(0, 1, 2)","(0, 2, 1)","(0, 2, 1)","[1, 2, 1, 2, 1, 2]","[1, 2, 2, 2, 2]",377,161,60697,EXACT_DERIVED
8,"(0, 1, 2)","(0, 2, 1)","(1, 0, 2)","[1, 2, 1, 2, 1, 2]","[2, 1, 2, 2, 2]",377,161,60697,EXACT_DERIVED
9,"(0, 1, 2)","(0, 2, 1)","(1, 2, 0)","[1, 2, 1, 2, 1, 2]","[3, 6]",377,5,1885,EXACT_DERIVED
10,"(0, 1, 2)","(0, 2, 1)","(2, 0, 1)","[1, 2, 1, 2, 1, 2]","[3, 6]",377,5,1885,EXACT_DERIVED
