rank,alpha_index,beta_index,alpha,beta,projection_onto_tensor,nuisance_magnitude_squared,usefulness_score,dead_free,provenance
1,6056,728,"[[1, -1, -1], [1, -1, -1], [1, -1, -1]]","[[1, 1, 1], [-1, -1, -1], [-1, -1, -1]]",27,54,3.674234614174767,False,EXACT_DERIVED
2,4542,702,"[[1, -1, 1], [1, -1, 1], [1, -1, 1]]","[[1, 1, 1], [-1, -1, -1], [1, 1, 1]]",27,54,3.674234614174767,False,EXACT_DERIVED
3,1514,26,"[[1, 1, -1], [1, 1, -1], [1, 1, -1]]","[[1, 1, 1], [1, 1, 1], [-1, -1, -1]]",27,54,3.674234614174767,False,EXACT_DERIVED
4,0,0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]","[[1, 1, 1], [1, 1, 1], [1, 1, 1]]",27,54,3.674234614174767,False,EXACT_DERIVED
5,8327,9503,"[[0, 1, -1], [0, 1, -1], [0, 1, -1]]","[[0, 0, 0], [1, 1, 1], [-1, -1, -1]]",18,27,3.4641016151377544,False,EXACT_DERIVED
6,6813,9477,"[[0, 1, 1], [0, 1, 1], [0, 1, 1]]","[[0, 0, 0], [1, 1, 1], [1, 1, 1]]",18,27,3.4641016151377544,False,EXACT_DERIVED
7,5299,715,"[[1, -1, 0], [1, -1, 0], [1, -1, 0]]","[[1, 1, 1], [-1, -1, -1], [0, 0, 0]]",18,27,3.4641016151377544,False,EXACT_DERIVED
8,757,13,"[[1, 1, 0], [1, 1, 0], [1, 1, 0]]","[[1, 1, 1], [1, 1, 1], [0, 0, 0]]",18,27,3.4641016151377544,False,EXACT_DERIVED
9,8579,702,"[[0, 1, -1], [-1, 1, -1], [-1, 1, -1]]","[[1, 1, 1], [-1, -1, -1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
10,8075,26,"[[0, 1, -1], [1, 1, -1], [1, 1, -1]]","[[1, 1, 1], [1, 1, 1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
11,7065,728,"[[0, 1, 1], [-1, 1, 1], [-1, 1, 1]]","[[1, 1, 1], [-1, -1, -1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
12,6561,0,"[[0, 1, 1], [1, 1, 1], [1, 1, 1]]","[[1, 1, 1], [1, 1, 1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
13,6299,728,"[[1, -1, -1], [0, -1, -1], [1, -1, -1]]","[[1, 1, 1], [-1, -1, -1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
14,6065,728,"[[1, -1, -1], [1, -1, -1], [0, -1, -1]]","[[1, 1, 1], [-1, -1, -1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
15,6056,7289,"[[1, -1, -1], [1, -1, -1], [1, -1, -1]]","[[0, 1, 1], [-1, -1, -1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
16,6056,2915,"[[1, -1, -1], [1, -1, -1], [1, -1, -1]]","[[1, 0, 1], [-1, -1, -1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
17,6056,1457,"[[1, -1, -1], [1, -1, -1], [1, -1, -1]]","[[1, 1, 0], [-1, -1, -1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
18,6056,727,"[[1, -1, -1], [1, -1, -1], [1, -1, -1]]","[[1, 1, 1], [-1, -1, -1], [-1, -1, 0]]",24,51,3.3606722016672235,False,EXACT_DERIVED
19,6056,725,"[[1, -1, -1], [1, -1, -1], [1, -1, -1]]","[[1, 1, 1], [-1, -1, -1], [-1, 0, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
20,6056,719,"[[1, -1, -1], [1, -1, -1], [1, -1, -1]]","[[1, 1, 1], [-1, -1, -1], [0, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
21,6055,728,"[[1, -1, -1], [1, -1, -1], [1, -1, 0]]","[[1, 1, 1], [-1, -1, -1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
22,6029,728,"[[1, -1, -1], [1, -1, 0], [1, -1, -1]]","[[1, 1, 1], [-1, -1, -1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
23,5327,728,"[[1, -1, 0], [1, -1, -1], [1, -1, -1]]","[[1, 1, 1], [-1, -1, -1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
24,5271,702,"[[1, -1, 0], [1, -1, 1], [1, -1, 1]]","[[1, 1, 1], [-1, -1, -1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
25,4785,702,"[[1, -1, 1], [0, -1, 1], [1, -1, 1]]","[[1, 1, 1], [-1, -1, -1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
26,4569,702,"[[1, -1, 1], [1, -1, 0], [1, -1, 1]]","[[1, 1, 1], [-1, -1, -1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
27,4551,702,"[[1, -1, 1], [1, -1, 1], [0, -1, 1]]","[[1, 1, 1], [-1, -1, -1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
28,4543,702,"[[1, -1, 1], [1, -1, 1], [1, -1, 0]]","[[1, 1, 1], [-1, -1, -1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
29,4542,7263,"[[1, -1, 1], [1, -1, 1], [1, -1, 1]]","[[0, 1, 1], [-1, -1, -1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
30,4542,2889,"[[1, -1, 1], [1, -1, 1], [1, -1, 1]]","[[1, 0, 1], [-1, -1, -1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
31,4542,1431,"[[1, -1, 1], [1, -1, 1], [1, -1, 1]]","[[1, 1, 0], [-1, -1, -1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
32,4542,711,"[[1, -1, 1], [1, -1, 1], [1, -1, 1]]","[[1, 1, 1], [-1, -1, -1], [0, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
33,4542,705,"[[1, -1, 1], [1, -1, 1], [1, -1, 1]]","[[1, 1, 1], [-1, -1, -1], [1, 0, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
34,4542,703,"[[1, -1, 1], [1, -1, 1], [1, -1, 1]]","[[1, 1, 1], [-1, -1, -1], [1, 1, 0]]",24,51,3.3606722016672235,False,EXACT_DERIVED
35,1757,26,"[[1, 1, -1], [0, 1, -1], [1, 1, -1]]","[[1, 1, 1], [1, 1, 1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
36,1523,26,"[[1, 1, -1], [1, 1, -1], [0, 1, -1]]","[[1, 1, 1], [1, 1, 1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
37,1514,6587,"[[1, 1, -1], [1, 1, -1], [1, 1, -1]]","[[0, 1, 1], [1, 1, 1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
38,1514,2213,"[[1, 1, -1], [1, 1, -1], [1, 1, -1]]","[[1, 0, 1], [1, 1, 1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
39,1514,755,"[[1, 1, -1], [1, 1, -1], [1, 1, -1]]","[[1, 1, 0], [1, 1, 1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
40,1514,25,"[[1, 1, -1], [1, 1, -1], [1, 1, -1]]","[[1, 1, 1], [1, 1, 1], [-1, -1, 0]]",24,51,3.3606722016672235,False,EXACT_DERIVED
41,1514,23,"[[1, 1, -1], [1, 1, -1], [1, 1, -1]]","[[1, 1, 1], [1, 1, 1], [-1, 0, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
42,1514,17,"[[1, 1, -1], [1, 1, -1], [1, 1, -1]]","[[1, 1, 1], [1, 1, 1], [0, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
43,1513,26,"[[1, 1, -1], [1, 1, -1], [1, 1, 0]]","[[1, 1, 1], [1, 1, 1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
44,1487,26,"[[1, 1, -1], [1, 1, 0], [1, 1, -1]]","[[1, 1, 1], [1, 1, 1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
45,785,26,"[[1, 1, 0], [1, 1, -1], [1, 1, -1]]","[[1, 1, 1], [1, 1, 1], [-1, -1, -1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
46,729,0,"[[1, 1, 0], [1, 1, 1], [1, 1, 1]]","[[1, 1, 1], [1, 1, 1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
47,243,0,"[[1, 1, 1], [0, 1, 1], [1, 1, 1]]","[[1, 1, 1], [1, 1, 1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
48,27,0,"[[1, 1, 1], [1, 1, 0], [1, 1, 1]]","[[1, 1, 1], [1, 1, 1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
49,9,0,"[[1, 1, 1], [1, 1, 1], [0, 1, 1]]","[[1, 1, 1], [1, 1, 1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
50,1,0,"[[1, 1, 1], [1, 1, 1], [1, 1, 0]]","[[1, 1, 1], [1, 1, 1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
51,0,6561,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]","[[0, 1, 1], [1, 1, 1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
52,0,2187,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]","[[1, 0, 1], [1, 1, 1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
53,0,729,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]","[[1, 1, 0], [1, 1, 1], [1, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
54,0,9,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]","[[1, 1, 1], [1, 1, 1], [0, 1, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
55,0,3,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]","[[1, 1, 1], [1, 1, 1], [1, 0, 1]]",24,51,3.3606722016672235,False,EXACT_DERIVED
56,0,1,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]","[[1, 1, 1], [1, 1, 1], [1, 1, 0]]",24,51,3.3606722016672235,False,EXACT_DERIVED
57,6056,701,"[[1, -1, -1], [1, -1, -1], [1, -1, -1]]","[[1, 1, 1], [-1, -1, 0], [-1, -1, -1]]",24,54,3.265986323710904,False,EXACT_DERIVED
58,6056,647,"[[1, -1, -1], [1, -1, -1], [1, -1, -1]]","[[1, 1, 1], [-1, 0, -1], [-1, -1, -1]]",24,54,3.265986323710904,False,EXACT_DERIVED
59,6056,485,"[[1, -1, -1], [1, -1, -1], [1, -1, -1]]","[[1, 1, 1], [0, -1, -1], [-1, -1, -1]]",24,54,3.265986323710904,False,EXACT_DERIVED
60,6053,728,"[[1, -1, -1], [1, -1, -1], [1, 0, -1]]","[[1, 1, 1], [-1, -1, -1], [-1, -1, -1]]",24,54,3.265986323710904,False,EXACT_DERIVED
61,5975,728,"[[1, -1, -1], [1, 0, -1], [1, -1, -1]]","[[1, 1, 1], [-1, -1, -1], [-1, -1, -1]]",24,54,3.265986323710904,False,EXACT_DERIVED
62,4542,675,"[[1, -1, 1], [1, -1, 1], [1, -1, 1]]","[[1, 1, 1], [-1, -1, 0], [1, 1, 1]]",24,54,3.265986323710904,False,EXACT_DERIVED
63,4542,621,"[[1, -1, 1], [1, -1, 1], [1, -1, 1]]","[[1, 1, 1], [-1, 0, -1], [1, 1, 1]]",24,54,3.265986323710904,False,EXACT_DERIVED
64,4542,459,"[[1, -1, 1], [1, -1, 1], [1, -1, 1]]","[[1, 1, 1], [0, -1, -1], [1, 1, 1]]",24,54,3.265986323710904,False,EXACT_DERIVED
65,4539,702,"[[1, -1, 1], [1, -1, 1], [1, 0, 1]]","[[1, 1, 1], [-1, -1, -1], [1, 1, 1]]",24,54,3.265986323710904,False,EXACT_DERIVED
