family,class_id,representative_entries,alpha_tensor_intersecting_terms,dedicated_terms,dedicated_term_count,shared_terms,shared_term_count,provenance
L_tetromino,L_tetromino_class_01,"(0,0); (0,1); (0,2); (1,0)",17,t01;t09;t10;t12;t15;t17,6,t02;t04;t05;t07;t08;t13;t14;t16;t19;t20;t23,11,EXACT_DERIVED
L_tetromino,L_tetromino_class_02,"(0,0); (0,1); (1,0); (2,0)",14,t09;t12;t15;t17;t19,5,t01;t02;t04;t07;t08;t13;t14;t20;t23,9,EXACT_DERIVED
L_tromino,L_tromino_class_01,"(0,0); (0,1); (1,0)",14,t09;t12;t15;t17,4,t01;t02;t04;t07;t08;t13;t14;t19;t20;t23,10,EXACT_DERIVED
P4_anti_diagonal_missing,P4_anti_diagonal_missing_class_01,"(0,0); (0,1); (1,0); (1,2); (2,1); (2,2)",20,t07;t09;t11;t12;t14;t15;t17;t18;t21;t22,10,t01;t02;t04;t05;t08;t13;t16;t19;t20;t23,10,EXACT_DERIVED
S_Z_tetromino,S_Z_tetromino_class_01,"(0,0); (0,1); (1,0); (1,2)",16,t09;t12;t15;t17;t22,5,t01;t02;t04;t07;t08;t13;t14;t18;t19;t20;t23,11,EXACT_DERIVED
S_Z_tetromino,S_Z_tetromino_class_02,"(0,0); (0,1); (1,0); (2,1)",18,t07;t09;t11;t12;t15;t17,6,t01;t02;t04;t05;t08;t13;t14;t18;t19;t20;t21;t23,12,EXACT_DERIVED
T_tetromino,T_tetromino_class_01,"(0,0); (0,1); (0,2); (1,0)",17,t01;t09;t10;t12;t15;t17,6,t02;t04;t05;t07;t08;t13;t14;t16;t19;t20;t23,11,EXACT_DERIVED
T_tetromino,T_tetromino_class_02,"(0,0); (0,1); (1,0); (2,0)",14,t09;t12;t15;t17;t19,5,t01;t02;t04;t07;t08;t13;t14;t20;t23,9,EXACT_DERIVED
domino_col,domino_col_class_01,"(0,0); (1,0)",11,t09;t12;t15;t17,4,t07;t08;t13;t14;t19;t20;t23,7,EXACT_DERIVED
domino_row,domino_row_class_01,"(0,0); (0,1)",10,t09;t12,2,t01;t02;t04;t07;t08;t13;t19;t20,8,EXACT_DERIVED
monomino,monomino_class_01,"(0,0)",6,t09;t12,2,t07;t08;t13;t19,4,EXACT_DERIVED
square_tetromino,square_tetromino_class_01,"(0,0); (0,1); (1,0); (1,1)",16,t03;t06;t08;t09;t12;t15;t17,7,t01;t02;t04;t07;t13;t14;t19;t20;t23,9,EXACT_DERIVED
tromino_col,tromino_col_class_01,"(0,0); (1,0); (2,0)",11,t09;t12;t15;t17;t19,5,t07;t08;t13;t14;t20;t23,6,EXACT_DERIVED
tromino_row,tromino_row_class_01,"(0,0); (0,1); (0,2)",13,t01;t09;t10;t12,4,t02;t04;t05;t07;t08;t13;t16;t19;t20,9,EXACT_DERIVED
