term_id,nonzero_gamma_entries,entry_count,shape_label,gamma,provenance
t01,"(0,1); (0,2)",2,domino_row,"[[0,-1,-1],[0,0,0],[0,0,0]]",EXACT_DERIVED
t02,"(0,1); (0,2); (1,1)",3,L_tromino,"[[0,1,1],[0,-1,0],[0,0,0]]",EXACT_DERIVED
t03,"(1,1)",1,monomino,"[[0,0,0],[0,1,0],[0,0,0]]",EXACT_DERIVED
t04,"(0,1); (1,1); (2,1)",3,tromino_col,"[[0,-1,0],[0,1,0],[0,1,0]]",EXACT_DERIVED
t05,"(0,2); (2,1)",2,disconnected_size_2,"[[0,0,-1],[0,0,0],[0,-1,0]]",EXACT_DERIVED
t06,"(1,1)",1,monomino,"[[0,0,0],[0,-1,0],[0,0,0]]",EXACT_DERIVED
t07,"(0,0); (2,1)",2,disconnected_size_2,"[[-1,0,0],[0,0,0],[0,1,0]]",EXACT_DERIVED
t08,"(0,0); (0,1); (1,1)",3,L_tromino,"[[1,-1,0],[0,1,0],[0,0,0]]",EXACT_DERIVED
t09,"(0,0)",1,monomino,"[[1,0,0],[0,0,0],[0,0,0]]",EXACT_DERIVED
t10,"(0,2)",1,monomino,"[[0,0,-1],[0,0,0],[0,0,0]]",EXACT_DERIVED
t11,"(2,1)",1,monomino,"[[0,0,0],[0,0,0],[0,-1,0]]",EXACT_DERIVED
t12,"(0,0)",1,monomino,"[[-1,0,0],[0,0,0],[0,0,0]]",EXACT_DERIVED
t13,"(0,0); (2,0); (2,1); (2,2)",4,disconnected_size_4,"[[-1,0,0],[0,0,0],[1,-1,-1]]",EXACT_DERIVED
t14,"(1,0); (2,1); (2,2)",3,disconnected_size_3,"[[0,0,0],[-1,0,0],[0,1,1]]",EXACT_DERIVED
t15,"(1,0)",1,monomino,"[[0,0,0],[1,0,0],[0,0,0]]",EXACT_DERIVED
t16,"(0,2); (2,2)",2,disconnected_size_2,"[[0,0,-1],[0,0,0],[0,0,1]]",EXACT_DERIVED
t17,"(1,0)",1,monomino,"[[0,0,0],[1,0,0],[0,0,0]]",EXACT_DERIVED
t18,"(1,2); (2,1); (2,2)",3,L_tromino,"[[0,0,0],[0,0,1],[0,-1,-1]]",EXACT_DERIVED
t19,"(0,0); (2,0)",2,disconnected_size_2,"[[-1,0,0],[0,0,0],[1,0,0]]",EXACT_DERIVED
t20,"(0,1); (0,2); (1,0); (1,1); (1,2)",5,connected_size_5,"[[0,1,1],[1,-1,-1],[0,0,0]]",EXACT_DERIVED
t21,"(2,1); (2,2)",2,domino_row,"[[0,0,0],[0,0,0],[0,-1,-1]]",EXACT_DERIVED
t22,"(1,2)",1,monomino,"[[0,0,0],[0,0,1],[0,0,0]]",EXACT_DERIVED
t23,"(1,0); (2,0); (2,1)",3,L_tromino,"[[0,0,0],[1,0,0],[-1,1,0]]",EXACT_DERIVED
