object_id,rank_tested,restarts,success_count,best_verified_loss,best_max_abs_residual,numerically_exact,provenance
L_tetromino_class_01,3,200,0,8.998018774659e+00,8.584330810680e-01,False,MEASURED_FROM_CODE
L_tetromino_class_01,4,200,0,7.586048717182e+00,8.236223809385e-01,False,MEASURED_FROM_CODE
L_tetromino_class_01,5,200,0,6.000729364295e+00,7.276093296629e-01,False,MEASURED_FROM_CODE
L_tetromino_class_01,6,200,0,4.803221131404e+00,5.931897840333e-01,False,MEASURED_FROM_CODE
L_tetromino_class_01,7,200,0,3.594073340933e+00,5.887198376503e-01,False,MEASURED_FROM_CODE
L_tetromino_class_01,8,200,0,2.003007205461e+00,3.906946494351e-01,False,MEASURED_FROM_CODE
L_tetromino_class_01,9,200,0,1.004785660394e+00,2.384511738052e-01,False,MEASURED_FROM_CODE
L_tetromino_class_01,10,200,0,4.680884295715e-03,1.796155320656e-02,False,MEASURED_FROM_CODE
L_tetromino_class_01,11,200,0,2.320613487524e-03,1.333599808991e-02,False,MEASURED_FROM_CODE
L_tetromino_class_01,12,200,0,8.475482338145e-19,3.139604930202e-10,False,MEASURED_FROM_CODE
L_tetromino_class_02,3,200,0,8.999906010141e+00,8.914535724721e-01,False,MEASURED_FROM_CODE
L_tetromino_class_02,4,200,0,7.585994211882e+00,8.099480462822e-01,False,MEASURED_FROM_CODE
L_tetromino_class_02,5,200,0,6.001217358436e+00,6.502443883883e-01,False,MEASURED_FROM_CODE
L_tetromino_class_02,6,200,0,4.836828692037e+00,5.969290789510e-01,False,MEASURED_FROM_CODE
L_tetromino_class_02,7,200,0,3.593823059563e+00,5.026945787846e-01,False,MEASURED_FROM_CODE
L_tetromino_class_02,8,200,0,2.008246953406e+00,4.251855627786e-01,False,MEASURED_FROM_CODE
L_tetromino_class_02,9,200,0,1.006537951301e+00,2.830764121841e-01,False,MEASURED_FROM_CODE
L_tetromino_class_02,10,200,0,5.305613727482e-03,1.898635843652e-02,False,MEASURED_FROM_CODE
L_tetromino_class_02,11,200,0,2.061630608546e-03,1.089250808973e-02,False,MEASURED_FROM_CODE
L_tetromino_class_02,12,200,0,1.258415406708e-18,2.181930615914e-10,False,MEASURED_FROM_CODE
L_tromino_class_01,3,200,0,5.998018774659e+00,8.520884594093e-01,False,MEASURED_FROM_CODE
L_tromino_class_01,4,200,0,4.586009786904e+00,6.714438942689e-01,False,MEASURED_FROM_CODE
L_tromino_class_01,5,200,0,3.000744971497e+00,3.856258639213e-01,False,MEASURED_FROM_CODE
L_tromino_class_01,6,200,0,2.000826199057e+00,3.711847543343e-01,False,MEASURED_FROM_CODE
L_tromino_class_01,7,200,0,8.717637447415e-01,2.310477644179e-01,False,MEASURED_FROM_CODE
L_tromino_class_01,8,200,0,1.314083792369e-03,1.068945440787e-02,False,MEASURED_FROM_CODE
L_tromino_class_01,9,200,0,1.156179718345e-18,2.785001478015e-10,False,MEASURED_FROM_CODE
L_tromino_class_01,10,200,0,2.313876069133e-18,4.870375686680e-10,False,MEASURED_FROM_CODE
L_tromino_class_01,11,200,0,7.358759802264e-18,1.309506752166e-09,False,MEASURED_FROM_CODE
L_tromino_class_01,12,200,0,8.437882898326e-18,9.765274305868e-10,False,MEASURED_FROM_CODE
P4_anti_diagonal_missing_class_01,3,200,0,1.500000000000e+01,9.861832449107e-01,False,MEASURED_FROM_CODE
P4_anti_diagonal_missing_class_01,4,200,0,1.386511784728e+01,9.738366714212e-01,False,MEASURED_FROM_CODE
P4_anti_diagonal_missing_class_01,5,200,0,1.258654479665e+01,9.477608404020e-01,False,MEASURED_FROM_CODE
P4_anti_diagonal_missing_class_01,6,200,0,1.100265428587e+01,9.319775180388e-01,False,MEASURED_FROM_CODE
P4_anti_diagonal_missing_class_01,7,200,0,1.000165593522e+01,8.738730306826e-01,False,MEASURED_FROM_CODE
P4_anti_diagonal_missing_class_01,8,200,0,8.888722047104e+00,8.870435049154e-01,False,MEASURED_FROM_CODE
P4_anti_diagonal_missing_class_01,9,200,0,7.887249543467e+00,8.184518271791e-01,False,MEASURED_FROM_CODE
P4_anti_diagonal_missing_class_01,10,200,0,6.040861682180e+00,6.680809357731e-01,False,MEASURED_FROM_CODE
P4_anti_diagonal_missing_class_01,11,200,0,5.006985964833e+00,5.987924677982e-01,False,MEASURED_FROM_CODE
P4_anti_diagonal_missing_class_01,12,200,0,3.986758702054e+00,5.514842886444e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_01,3,200,0,8.998018774659e+00,9.102498425723e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_01,4,200,0,7.586194382369e+00,8.990929402282e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_01,5,200,0,6.000807980732e+00,8.175866487925e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_01,6,200,0,5.000880886481e+00,7.570590379050e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_01,7,200,0,4.002026130846e+00,4.670266167615e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_01,8,200,0,2.870579709653e+00,3.923939127042e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_01,9,200,0,1.913315766490e+00,4.072973988549e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_01,10,200,0,8.720335098186e-01,2.323270968523e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_01,11,200,0,1.731220619764e-03,1.427319813161e-02,False,MEASURED_FROM_CODE
S_Z_tetromino_class_01,12,200,0,9.275490160717e-19,2.494336392413e-10,False,MEASURED_FROM_CODE
S_Z_tetromino_class_02,3,200,0,9.000000000000e+00,9.197320732017e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_02,4,200,0,7.586102329968e+00,8.516287318919e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_02,5,200,0,6.001408721483e+00,8.207206480641e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_02,6,200,0,5.002098922586e+00,6.185034402618e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_02,7,200,0,3.875993595070e+00,5.513513970072e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_02,8,200,0,2.869519730079e+00,4.646309609534e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_02,9,200,0,1.910910178066e+00,4.631419468442e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_02,10,200,0,9.803549750551e-01,3.271355768290e-01,False,MEASURED_FROM_CODE
S_Z_tetromino_class_02,11,200,0,1.775718394419e-03,1.403181936130e-02,False,MEASURED_FROM_CODE
S_Z_tetromino_class_02,12,200,0,9.232719065667e-19,1.892839853156e-10,False,MEASURED_FROM_CODE
T_tetromino_class_01,3,200,0,9.000000000000e+00,9.222570508394e-01,False,MEASURED_FROM_CODE
T_tetromino_class_01,4,200,0,7.585967644162e+00,8.435527909716e-01,False,MEASURED_FROM_CODE
T_tetromino_class_01,5,200,0,6.000913674021e+00,7.716625715654e-01,False,MEASURED_FROM_CODE
T_tetromino_class_01,6,200,0,5.000927885047e+00,5.802633098992e-01,False,MEASURED_FROM_CODE
T_tetromino_class_01,7,200,0,3.591722010237e+00,5.263969073357e-01,False,MEASURED_FROM_CODE
T_tetromino_class_01,8,200,0,2.005519788137e+00,3.970856403587e-01,False,MEASURED_FROM_CODE
T_tetromino_class_01,9,200,0,1.004671442693e+00,2.862284708531e-01,False,MEASURED_FROM_CODE
T_tetromino_class_01,10,200,0,5.266199628125e-03,1.966735258730e-02,False,MEASURED_FROM_CODE
T_tetromino_class_01,11,200,0,1.910998757753e-03,1.214785679662e-02,False,MEASURED_FROM_CODE
T_tetromino_class_01,12,200,0,7.200488738166e-19,1.838651109002e-10,False,MEASURED_FROM_CODE
T_tetromino_class_02,3,200,0,9.000000000000e+00,8.654167684538e-01,False,MEASURED_FROM_CODE
T_tetromino_class_02,4,200,0,7.586234909521e+00,8.485906826143e-01,False,MEASURED_FROM_CODE
T_tetromino_class_02,5,200,0,6.000661389539e+00,7.215161295477e-01,False,MEASURED_FROM_CODE
T_tetromino_class_02,6,200,0,4.798985312818e+00,5.957196592317e-01,False,MEASURED_FROM_CODE
T_tetromino_class_02,7,200,0,3.591770320248e+00,5.046614553155e-01,False,MEASURED_FROM_CODE
T_tetromino_class_02,8,200,0,2.008216535689e+00,4.285930628823e-01,False,MEASURED_FROM_CODE
T_tetromino_class_02,9,200,0,1.004515921799e+00,2.871739867881e-01,False,MEASURED_FROM_CODE
T_tetromino_class_02,10,200,0,5.157847705413e-03,2.274236325568e-02,False,MEASURED_FROM_CODE
T_tetromino_class_02,11,200,0,1.762170603688e-03,1.306810108288e-02,False,MEASURED_FROM_CODE
T_tetromino_class_02,12,200,0,9.787281270443e-19,2.552200426735e-10,False,MEASURED_FROM_CODE
