tiling_id,piece_count,tiling_signature,pieces,class_ids,total_rank_upper_bound,canonical_class,provenance
1,9,9x monomino,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2) | (2,0) | (2,1) | (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01,27,"(0,0) || (0,1) || (0,2) || (1,0) || (1,1) || (1,2) || (2,0) || (2,1) || (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
2,8,1x domino_row + 7x monomino,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2) | (2,0) | (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;domino_row_class_01,27,"(0,0) || (0,1) || (0,2) || (1,0) || (1,1) || (1,2) || (2,0) || (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
3,7,6x monomino + 1x tromino_row,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2) | (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;tromino_row_class_01,27,"(0,0) || (0,1) || (0,2) || (1,0) || (1,1) || (1,2) || (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
4,7,1x domino_col + 1x domino_row + 5x monomino,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2); (2,2) | (2,0); (2,1)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;domino_col_class_01;domino_row_class_01,27,"(0,0) || (0,1) || (0,2) || (1,0) || (1,1) || (1,2); (2,2) || (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
5,6,1x L_tetromino + 5x monomino,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2); (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;T_tetromino_class_01,32,"(0,0) || (0,1) || (0,2) || (1,0) || (1,1) || (1,2); (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
6,6,1x domino_row + 4x monomino + 1x tromino_row,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1); (1,2) | (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;domino_row_class_01;tromino_row_class_01,27,"(0,0) || (0,1) || (0,2) || (1,0) || (1,1); (1,2) || (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
7,6,1x domino_col + 2x domino_row + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (1,1) | (1,2); (2,2) | (2,0); (2,1)",monomino_class_01;monomino_class_01;monomino_class_01;domino_row_class_01;domino_col_class_01;domino_row_class_01,27,"(0,0) || (0,1) || (0,2) || (1,0); (1,1) || (1,2); (2,2) || (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
8,5,1x L_tetromino + 1x domino_row + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (1,1) | (1,2); (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;domino_row_class_01;T_tetromino_class_01,32,"(0,0) || (0,1) || (0,2) || (1,0); (1,1) || (1,2); (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
9,6,1x domino_col + 2x domino_row + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (2,0) | (1,1); (1,2) | (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;domino_col_class_01;domino_row_class_01;domino_row_class_01,27,"(0,0) || (0,1) || (0,2) || (1,0); (1,1) || (1,2); (2,2) || (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
10,6,3x domino_col + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (2,0) | (1,1); (2,1) | (1,2); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;domino_col_class_01;domino_col_class_01;domino_col_class_01,27,"(0,0) || (0,1) || (0,2) || (1,0); (2,0) || (1,1); (2,1) || (1,2); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
11,5,1x domino_col + 3x monomino + 1x square_tetromino,"(0,0) | (0,1) | (0,2) | (1,0); (2,0) | (1,1); (1,2); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;domino_col_class_01;square_tetromino_class_01,26,"(0,0) || (0,1) || (0,2) || (1,0); (1,1); (2,0); (2,1) || (1,2); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
12,5,3x monomino + 2x tromino_row,"(0,0) | (0,1) | (0,2) | (1,0); (1,1); (1,2) | (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;tromino_row_class_01;tromino_row_class_01,27,"(0,0) || (0,1) || (0,2) || (1,0); (1,1); (1,2) || (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
13,5,2x L_tromino + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (1,1); (2,0) | (1,2); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;L_tromino_class_01;L_tromino_class_01,37,"(0,0) || (0,1) || (0,2) || (1,0); (1,1); (2,0) || (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
14,5,2x L_tromino + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (2,0); (2,1) | (1,1); (1,2); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;L_tromino_class_01;L_tromino_class_01,37,"(0,0) || (0,1) || (0,2) || (1,0); (1,1); (2,0) || (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
15,5,1x domino_col + 1x domino_row + 2x monomino + 1x tromino_row,"(0,0) | (0,1) | (0,2); (1,2) | (1,0); (1,1) | (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;domino_col_class_01;domino_row_class_01;tromino_row_class_01,27,"(0,0) || (0,1) || (0,2); (1,2) || (1,0); (1,1) || (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
16,5,1x L_tromino + 2x domino_col + 2x monomino,"(0,0) | (0,1) | (0,2); (1,2) | (1,0); (2,0) | (1,1); (2,1); (2,2)",monomino_class_01;monomino_class_01;domino_col_class_01;domino_col_class_01;L_tromino_class_01,32,"(0,0) || (0,1) || (0,2); (1,2) || (1,0); (2,0) || (1,1); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
17,4,1x L_tetromino + 1x L_tromino + 2x monomino,"(0,0) | (0,1) | (0,2); (1,1); (1,2) | (1,0); (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;L_tromino_class_01;T_tetromino_class_01,37,"(0,0) || (0,1) || (0,2); (1,0); (1,2) || (1,1); (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
18,4,2x monomino + 1x square_tetromino + 1x tromino_col,"(0,0) | (0,1) | (0,2); (1,2); (2,2) | (1,0); (1,1); (2,0); (2,1)",monomino_class_01;monomino_class_01;tromino_col_class_01;square_tetromino_class_01,26,"(0,0) || (0,1) || (0,2); (1,2); (2,2) || (1,0); (1,1); (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
19,5,1x domino_col + 3x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (1,1) | (1,2); (2,2) | (2,0); (2,1)",monomino_class_01;domino_row_class_01;domino_row_class_01;domino_col_class_01;domino_row_class_01,27,"(0,0) || (0,1); (0,2) || (1,0); (1,1) || (1,2); (2,2) || (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
20,4,1x L_tetromino + 2x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (1,1) | (1,2); (2,0); (2,1); (2,2)",monomino_class_01;domino_row_class_01;domino_row_class_01;T_tetromino_class_01,32,"(0,0) || (0,1); (0,2) || (1,0); (1,1) || (1,2); (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
21,5,1x domino_col + 3x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (2,0) | (1,1); (1,2) | (2,1); (2,2)",monomino_class_01;domino_row_class_01;domino_col_class_01;domino_row_class_01;domino_row_class_01,27,"(0,0) || (0,1); (0,2) || (1,0); (2,0) || (1,1); (1,2) || (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
22,5,3x domino_col + 1x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (2,0) | (1,1); (2,1) | (1,2); (2,2)",monomino_class_01;domino_row_class_01;domino_col_class_01;domino_col_class_01;domino_col_class_01,27,"(0,0) || (0,1); (0,2) || (1,0); (2,0) || (1,1); (2,1) || (1,2); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
23,4,1x domino_col + 1x domino_row + 1x monomino + 1x square_tetromino,"(0,0) | (0,1); (0,2) | (1,0); (2,0) | (1,1); (1,2); (2,1); (2,2)",monomino_class_01;domino_row_class_01;domino_col_class_01;square_tetromino_class_01,26,"(0,0) || (0,1); (0,2) || (1,0); (2,0) || (1,1); (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
24,4,1x domino_row + 1x monomino + 2x tromino_row,"(0,0) | (0,1); (0,2) | (1,0); (1,1); (1,2) | (2,0); (2,1); (2,2)",monomino_class_01;domino_row_class_01;tromino_row_class_01;tromino_row_class_01,27,"(0,0) || (0,1); (0,2) || (1,0); (1,1); (1,2) || (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
25,4,2x L_tromino + 1x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (1,1); (2,0) | (1,2); (2,1); (2,2)",monomino_class_01;domino_row_class_01;L_tromino_class_01;L_tromino_class_01,37,"(0,0) || (0,1); (0,2) || (1,0); (1,1); (2,0) || (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
26,4,2x L_tromino + 1x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (2,0); (2,1) | (1,1); (1,2); (2,2)",monomino_class_01;domino_row_class_01;L_tromino_class_01;L_tromino_class_01,37,"(0,0) || (0,1); (0,2) || (1,0); (1,1); (2,0) || (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
27,5,3x domino_col + 1x domino_row + 1x monomino,"(0,0) | (0,1); (1,1) | (0,2); (1,2) | (1,0); (2,0) | (2,1); (2,2)",monomino_class_01;domino_col_class_01;domino_col_class_01;domino_col_class_01;domino_row_class_01,27,"(0,0) || (0,1); (1,1) || (0,2); (1,2) || (1,0); (2,0) || (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
