family,class_id,representative_entries,size,count_on_3x3,symmetry_class_size,row_profile,col_profile,flattening_rank_A_BC,flattening_rank_B_AC,flattening_rank_C_AB,flattening_lower_bound,numerical_rank_upper_bound,alpha_tensor_upper_bound,exact_rank_if_determined,best_verified_loss,note,provenance
L_tetromino,L_tetromino_class_01,"(0,0); (0,1); (0,2); (1,0)",4,16,8,"3,1","2,1,1",6,9,4,9,,17,,8.475482338145e-19,,EXACT_DERIVED + MEASURED_FROM_CODE
L_tetromino,L_tetromino_class_02,"(0,0); (0,1); (1,0); (2,0)",4,16,8,"2,1,1","3,1",9,6,4,9,,14,,1.258415406708e-18,,EXACT_DERIVED + MEASURED_FROM_CODE
L_tromino,L_tromino_class_01,"(0,0); (0,1); (1,0)",3,16,16,"2,1","2,1",6,6,3,6,,14,,1.156179718345e-18,,EXACT_DERIVED + MEASURED_FROM_CODE
P4_anti_diagonal_missing,P4_anti_diagonal_missing_class_01,"(0,0); (0,1); (1,0); (1,2); (2,1); (2,2)",6,6,6,"2,2,2","2,2,2",9,9,6,9,,20,,3.986758702054e+00,Step 62 gives an exact upper bound 18 from the fiber-local construction.,EXACT_DERIVED + MEASURED_FROM_CODE
S_Z_tetromino,S_Z_tetromino_class_01,"(0,0); (0,1); (1,0); (1,2)",4,8,4,"2,2","2,1,1",6,9,4,9,,16,,9.275490160717e-19,,EXACT_DERIVED + MEASURED_FROM_CODE
S_Z_tetromino,S_Z_tetromino_class_02,"(0,0); (0,1); (1,0); (2,1)",4,8,4,"2,1,1","2,2",9,6,4,9,,18,,9.232719065667e-19,,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino,T_tetromino_class_01,"(0,0); (0,1); (0,2); (1,0)",4,8,4,"3,1","2,1,1",6,9,4,9,,17,,7.200488738166e-19,,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino,T_tetromino_class_02,"(0,0); (0,1); (1,0); (2,0)",4,8,4,"2,1,1","3,1",9,6,4,9,,14,,9.787281270443e-19,,EXACT_DERIVED + MEASURED_FROM_CODE
domino_col,domino_col_class_01,"(0,0); (1,0)",2,6,6,"1,1",2,6,3,2,6,6,11,6,known_exact,"Exact rank 6 for <2,3,1>.",EXACT_DERIVED
domino_row,domino_row_class_01,"(0,0); (0,1)",2,6,6,2,"1,1",3,6,2,6,6,10,6,known_exact,"Exact rank 6 for <1,3,2>.",EXACT_DERIVED
monomino,monomino_class_01,"(0,0)",1,9,9,1,1,3,3,1,3,3,6,3,known_exact,"Exact rank 3 for <1,3,1>.",EXACT_DERIVED
square_tetromino,square_tetromino_class_01,"(0,0); (0,1); (1,0); (1,1)",4,4,4,"2,2","2,2",6,6,4,6,11,16,11,known_exact,"Exact rank 11 for <2,3,2>.",EXACT_DERIVED
tromino_col,tromino_col_class_01,"(0,0); (1,0); (2,0)",3,3,3,"1,1,1",3,9,3,3,9,9,11,9,known_exact,"Exact rank 9 for <3,3,1>.",EXACT_DERIVED
tromino_row,tromino_row_class_01,"(0,0); (0,1); (0,2)",3,3,3,3,"1,1,1",3,9,3,9,9,13,9,known_exact,"Exact rank 9 for <1,3,3>.",EXACT_DERIVED
