shape,size,count_on_3x3,symmetry_classes,flattening_lower_bound,numerical_rank_upper_bound,alpha_tensor_upper_bound,exact_rank_if_determined,notes,provenance
L_tetromino,4,16,2,9,,14,,,EXACT_DERIVED + MEASURED_FROM_CODE
L_tromino,3,16,1,6,,14,,,EXACT_DERIVED + MEASURED_FROM_CODE
P4_anti_diagonal_missing,6,6,1,9,,20,,Step 62 gives an exact upper bound 18 from the fiber-local construction.,EXACT_DERIVED + MEASURED_FROM_CODE
S_Z_tetromino,4,8,2,9,,18,,,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino,4,8,2,9,,14,,,EXACT_DERIVED + MEASURED_FROM_CODE
domino_col,2,6,1,6,6,11,6,"Exact rank 6 for <2,3,1>.",EXACT_DERIVED
domino_row,2,6,1,6,6,10,6,"Exact rank 6 for <1,3,2>.",EXACT_DERIVED
monomino,1,9,1,3,3,6,3,"Exact rank 3 for <1,3,1>.",EXACT_DERIVED
square_tetromino,4,4,1,6,11,16,11,"Exact rank 11 for <2,3,2>.",EXACT_DERIVED
tromino_col,3,3,1,9,9,11,9,"Exact rank 9 for <3,3,1>.",EXACT_DERIVED
tromino_row,3,3,1,9,9,13,9,"Exact rank 9 for <1,3,3>.",EXACT_DERIVED
