term_id,gamma_support,gamma_support_shape,nuisance_output_support,nuisance_output_support_shape,sigma_norm_sq,anisotropy_norm_sq,dead_x_norm_sq,signal_fraction,anisotropy_fraction,dead_x_fraction,dominant_layer,signal_primary,anisotropy_primary,dead_x_primary,is_anisotropy_corrector,is_dead_x_corrector,provenance
t01,"(0,1); (0,2)",domino_row,"(0,1); (1,1)",domino_col,2.0000000000000000e+00,2.0000000000000000e+00,4.0000000000000000e+00,2.5000000000000000e-01,2.5000000000000000e-01,5.0000000000000000e-01,mixed,False,False,False,False,False,MEASURED_FROM_CODE
t02,"(0,1); (0,2); (1,1)",L_tromino,"(0,1); (0,2); (1,1); (1,2)",square_tetromino,3.0000000000000000e+00,8.0000000000000000e+00,7.0000000000000000e+00,1.6666666666666666e-01,4.4444444444444442e-01,3.8888888888888890e-01,mixed,False,False,False,False,False,MEASURED_FROM_CODE
t03,"(1,1)",monomino,"(0,1); (1,1)",domino_col,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,3.3333333333333331e-01,3.3333333333333331e-01,3.3333333333333331e-01,mixed,False,False,False,False,False,MEASURED_FROM_CODE
t04,"(0,1); (1,1); (2,1)",tromino_col,"(0,1)",monomino,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,3.3333333333333331e-01,3.3333333333333331e-01,3.3333333333333331e-01,mixed,False,False,False,False,False,MEASURED_FROM_CODE
t05,"(0,2); (2,1)",disconnected_size_2,"(0,1); (0,2); (2,1); (2,2)",disconnected_size_4,2.0000000000000000e+00,8.0000000000000000e+00,1.1000000000000000e+01,9.5238095238095233e-02,3.8095238095238093e-01,5.2380952380952384e-01,dead_x,False,False,True,True,True,MEASURED_FROM_CODE
t06,"(1,1)",monomino,"(0,1); (1,1)",domino_col,2.0000000000000000e+00,4.0000000000000000e+00,2.0000000000000000e+00,2.5000000000000000e-01,5.0000000000000000e-01,2.5000000000000000e-01,mixed,False,False,False,False,False,MEASURED_FROM_CODE
t07,"(0,0); (2,1)",disconnected_size_2,"(0,0); (0,1); (0,2); (2,0); (2,1); (2,2)",disconnected_size_6,3.0000000000000000e+00,4.0000000000000000e+00,9.0000000000000000e+00,1.8750000000000000e-01,2.5000000000000000e-01,5.6250000000000000e-01,dead_x,False,False,True,False,True,MEASURED_FROM_CODE
t08,"(0,0); (0,1); (1,1)",L_tromino,"(0,1); (0,2)",domino_row,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,3.3333333333333331e-01,3.3333333333333331e-01,3.3333333333333331e-01,mixed,False,False,False,False,False,MEASURED_FROM_CODE
t09,"(0,0)",monomino,"(0,0); (0,1); (0,2); (2,0); (2,1); (2,2)",disconnected_size_6,6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e-01,5.0000000000000000e-01,0.0000000000000000e+00,mixed,False,False,False,False,False,MEASURED_FROM_CODE
t10,"(0,2)",monomino,"(0,1); (0,2); (2,1); (2,2)",disconnected_size_4,4.0000000000000000e+00,4.0000000000000000e+00,8.0000000000000000e+00,2.5000000000000000e-01,2.5000000000000000e-01,5.0000000000000000e-01,mixed,False,False,False,False,False,MEASURED_FROM_CODE
