coordinate_id,output_entry,coordinate_type,served_by_terms,provenance
eta1_0_0,"(0,0)",eta1,t07;t09;t11,EXACT_DERIVED
eta2_0_0,"(0,0)",eta2,t07;t11;t12,EXACT_DERIVED
delta_0_0_1_0,"(0,0)",dead_x,,EXACT_DERIVED
delta_0_0_2_0,"(0,0)",dead_x,,EXACT_DERIVED
delta_0_1_0_0,"(0,0)",dead_x,,EXACT_DERIVED
delta_0_1_2_0,"(0,0)",dead_x,,EXACT_DERIVED
delta_0_2_0_0,"(0,0)",dead_x,,EXACT_DERIVED
delta_0_2_1_0,"(0,0)",dead_x,t07;t11;t12,EXACT_DERIVED
eta1_0_1,"(0,1)",eta1,t01;t02;t05;t06;t08;t09;t11,EXACT_DERIVED
eta2_0_1,"(0,1)",eta2,t02;t03;t04;t05;t06;t10;t11,EXACT_DERIVED
delta_0_0_1_1,"(0,1)",dead_x,t01;t02;t06,EXACT_DERIVED
delta_0_0_2_1,"(0,1)",dead_x,t01;t02;t03,EXACT_DERIVED
delta_0_1_0_1,"(0,1)",dead_x,t02;t05;t07;t08,EXACT_DERIVED
delta_0_1_2_1,"(0,1)",dead_x,t02;t04;t05,EXACT_DERIVED
delta_0_2_0_1,"(0,1)",dead_x,t05;t07;t10;t12,EXACT_DERIVED
delta_0_2_1_1,"(0,1)",dead_x,t05;t10;t11,EXACT_DERIVED
eta1_0_2,"(0,2)",eta1,t02;t05;t08;t09;t11,EXACT_DERIVED
eta2_0_2,"(0,2)",eta2,t05;t10;t11,EXACT_DERIVED
delta_0_0_1_2,"(0,2)",dead_x,,EXACT_DERIVED
delta_0_0_2_2,"(0,2)",dead_x,,EXACT_DERIVED
delta_0_1_0_2,"(0,2)",dead_x,t02;t05;t07;t08,EXACT_DERIVED
delta_0_1_2_2,"(0,2)",dead_x,,EXACT_DERIVED
delta_0_2_0_2,"(0,2)",dead_x,t05;t07;t10;t12,EXACT_DERIVED
delta_0_2_1_2,"(0,2)",dead_x,t05;t10;t11,EXACT_DERIVED
eta1_1_0,"(1,0)",eta1,t14;t15;t21,EXACT_DERIVED
eta2_1_0,"(1,0)",eta2,t14;t17;t21,EXACT_DERIVED
delta_1_0_1_0,"(1,0)",dead_x,,EXACT_DERIVED
delta_1_0_2_0,"(1,0)",dead_x,t15;t17,EXACT_DERIVED
delta_1_1_0_0,"(1,0)",dead_x,t14;t15;t21,EXACT_DERIVED
delta_1_1_2_0,"(1,0)",dead_x,t14;t15;t21,EXACT_DERIVED
delta_1_2_0_0,"(1,0)",dead_x,,EXACT_DERIVED
delta_1_2_1_0,"(1,0)",dead_x,,EXACT_DERIVED
eta1_1_1,"(1,1)",eta1,t01;t02;t06,EXACT_DERIVED
eta2_1_1,"(1,1)",eta2,t03;t06,EXACT_DERIVED
delta_1_0_1_1,"(1,1)",dead_x,t01;t02;t06,EXACT_DERIVED
delta_1_0_2_1,"(1,1)",dead_x,t01;t02;t03,EXACT_DERIVED
delta_1_1_0_1,"(1,1)",dead_x,,EXACT_DERIVED
delta_1_1_2_1,"(1,1)",dead_x,,EXACT_DERIVED
delta_1_2_0_1,"(1,1)",dead_x,,EXACT_DERIVED
delta_1_2_1_1,"(1,1)",dead_x,,EXACT_DERIVED
eta1_1_2,"(1,2)",eta1,t02;t15;t18;t20;t21,EXACT_DERIVED
eta2_1_2,"(1,2)",eta2,t18;t21;t22,EXACT_DERIVED
delta_1_0_1_2,"(1,2)",dead_x,,EXACT_DERIVED
delta_1_0_2_2,"(1,2)",dead_x,,EXACT_DERIVED
delta_1_1_0_2,"(1,2)",dead_x,t14;t15;t21,EXACT_DERIVED
delta_1_1_2_2,"(1,2)",dead_x,,EXACT_DERIVED
delta_1_2_0_2,"(1,2)",dead_x,,EXACT_DERIVED
delta_1_2_1_2,"(1,2)",dead_x,,EXACT_DERIVED
eta1_2_0,"(2,0)",eta1,t09;t11;t13;t14;t15;t21;t23,EXACT_DERIVED
eta2_2_0,"(2,0)",eta2,t11;t12;t14;t19;t21;t23,EXACT_DERIVED
delta_2_0_1_0,"(2,0)",dead_x,t07;t13;t14;t23,EXACT_DERIVED
delta_2_0_2_0,"(2,0)",dead_x,t13;t14;t15;t19,EXACT_DERIVED
delta_2_1_0_0,"(2,0)",dead_x,t14;t15;t21,EXACT_DERIVED
delta_2_1_2_0,"(2,0)",dead_x,t14;t15;t21,EXACT_DERIVED
delta_2_2_0_0,"(2,0)",dead_x,,EXACT_DERIVED
delta_2_2_1_0,"(2,0)",dead_x,t07;t11;t12,EXACT_DERIVED
eta1_2_1,"(2,1)",eta1,t07;t09;t11,EXACT_DERIVED
eta2_2_1,"(2,1)",eta2,t05;t10;t11,EXACT_DERIVED
delta_2_0_1_1,"(2,1)",dead_x,,EXACT_DERIVED
delta_2_0_2_1,"(2,1)",dead_x,,EXACT_DERIVED
delta_2_1_0_1,"(2,1)",dead_x,,EXACT_DERIVED
delta_2_1_2_1,"(2,1)",dead_x,,EXACT_DERIVED
delta_2_2_0_1,"(2,1)",dead_x,t05;t07;t10;t12,EXACT_DERIVED
delta_2_2_1_1,"(2,1)",dead_x,t05;t10;t11,EXACT_DERIVED
eta1_2_2,"(2,2)",eta1,t07;t09;t11;t14;t15;t21,EXACT_DERIVED
eta2_2_2,"(2,2)",eta2,t10;t11;t16;t21,EXACT_DERIVED
delta_2_0_1_2,"(2,2)",dead_x,,EXACT_DERIVED
