piece_id,family,piece_outputs,flattening_rank_A_BC,flattening_rank_B_AC,flattening_rank_C_AB,flattening_lower_bound,rank_tested,restarts,best_verified_loss,best_max_abs_residual,exact_hit_count,verified_exact,exact_rank_upper_bound,provenance
L_tromino_class_01,L_tromino,"(0,0); (0,1); (1,0)",6,6,3,6,6,500,2.0008261990567622e+00,3.5922610712985259e-01,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
L_tromino_class_01,L_tromino,"(0,0); (0,1); (1,0)",6,6,3,6,7,500,8.7176374474152996e-01,2.3104776441793706e-01,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
L_tromino_class_01,L_tromino,"(0,0); (0,1); (1,0)",6,6,3,6,8,500,1.3140837923691796e-03,1.0689454407869474e-02,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
L_tetromino_class_01,L_tetromino,"(0,0); (0,1); (0,2); (1,0)",6,9,4,9,9,500,1.0029559164701205e+00,2.3118533145289166e-01,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
S_Z_tetromino_class_01,S_Z_tetromino,"(0,0); (0,1); (1,0); (1,2)",6,9,4,9,9,500,1.8756588191304662e+00,3.5033038629616886e-01,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino_class_01,T_tetromino,"(0,0); (0,1); (0,2); (1,0)",6,9,4,9,9,500,1.0039299757801079e+00,2.6810152069474480e-01,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino_class_02,T_tetromino,"(0,0); (0,1); (1,0); (2,0)",9,6,4,9,9,500,1.0045159217991761e+00,2.1817581250043305e-01,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
L_tromino_class_01,L_tromino,"(0,0); (0,1); (1,0)",6,6,3,6,9,500,9.3545840346401030e-19,2.7850014780149943e-10,367,True,9,EXACT_DERIVED + MEASURED_FROM_CODE
L_tetromino_class_01,L_tetromino,"(0,0); (0,1); (0,2); (1,0)",6,9,4,9,10,500,4.6808842957146634e-03,1.7961553206555219e-02,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
S_Z_tetromino_class_01,S_Z_tetromino,"(0,0); (0,1); (1,0); (1,2)",6,9,4,9,10,500,8.7203350981857142e-01,2.3232709685232414e-01,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino_class_01,T_tetromino,"(0,0); (0,1); (0,2); (1,0)",6,9,4,9,10,500,5.2661996281250364e-03,1.9667352587302876e-02,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino_class_02,T_tetromino,"(0,0); (0,1); (1,0); (2,0)",9,6,4,9,10,500,4.8422853123354214e-03,1.7911486228111655e-02,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
L_tetromino_class_01,L_tetromino,"(0,0); (0,1); (0,2); (1,0)",6,9,4,9,11,500,1.6501924905718162e-03,1.3304147238030251e-02,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
S_Z_tetromino_class_01,S_Z_tetromino,"(0,0); (0,1); (1,0); (1,2)",6,9,4,9,11,500,1.7312206197644252e-03,1.4273198131606822e-02,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino_class_01,T_tetromino,"(0,0); (0,1); (0,2); (1,0)",6,9,4,9,11,500,1.9109987577527450e-03,1.0359713087329012e-02,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino_class_02,T_tetromino,"(0,0); (0,1); (1,0); (2,0)",9,6,4,9,11,500,1.6668427593062862e-03,1.0292215198755200e-02,0,False,,EXACT_DERIVED + MEASURED_FROM_CODE
L_tetromino_class_01,L_tetromino,"(0,0); (0,1); (0,2); (1,0)",6,9,4,9,12,500,6.0607841288636217e-19,2.2754393508295223e-10,289,True,12,EXACT_DERIVED + MEASURED_FROM_CODE
S_Z_tetromino_class_01,S_Z_tetromino,"(0,0); (0,1); (1,0); (1,2)",6,9,4,9,12,500,8.1211339655417537e-19,2.2283694334213067e-10,329,True,12,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino_class_01,T_tetromino,"(0,0); (0,1); (0,2); (1,0)",6,9,4,9,12,500,3.9739755338661490e-19,1.7390618632651823e-10,324,True,12,EXACT_DERIVED + MEASURED_FROM_CODE
T_tetromino_class_02,T_tetromino,"(0,0); (0,1); (1,0); (2,0)",9,6,4,9,12,500,6.6114356327385763e-19,2.3170265851783368e-10,297,True,12,EXACT_DERIVED + MEASURED_FROM_CODE
