class_id,family,representative_entries,signal_only_rank,verified_full_rank_upper_bound,rank_difference,signal_only_rank_reason,provenance
L_tetromino_class_01,L_tetromino,"(0,0); (0,1); (0,2); (1,0)",4,12,8,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
L_tetromino_class_02,L_tetromino,"(0,0); (0,1); (1,0); (2,0)",4,12,8,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
L_tromino_class_01,L_tromino,"(0,0); (0,1); (1,0)",3,9,6,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
P4_anti_diagonal_missing_class_01,P4_anti_diagonal_missing,"(0,0); (0,1); (1,0); (1,2); (2,1); (2,2)",6,18,12,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
S_Z_tetromino_class_01,S_Z_tetromino,"(0,0); (0,1); (1,0); (1,2)",4,12,8,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
S_Z_tetromino_class_02,S_Z_tetromino,"(0,0); (0,1); (1,0); (2,1)",4,12,8,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
T_tetromino_class_01,T_tetromino,"(0,0); (0,1); (0,2); (1,0)",4,12,8,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
T_tetromino_class_02,T_tetromino,"(0,0); (0,1); (1,0); (2,0)",4,12,8,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
domino_col_class_01,domino_col,"(0,0); (1,0)",2,6,4,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
domino_row_class_01,domino_row,"(0,0); (0,1)",2,6,4,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
monomino_class_01,monomino,"(0,0)",1,3,2,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
square_tetromino_class_01,square_tetromino,"(0,0); (0,1); (1,0); (1,1)",4,11,7,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
tromino_col_class_01,tromino_col,"(0,0); (1,0); (2,0)",3,9,6,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
tromino_row_class_01,tromino_row,"(0,0); (0,1); (0,2)",3,9,6,"Exact Sigma-only restriction gives 3 I_m on the selected output fibers, so the signal layer rank is exactly the number of covered outputs.",EXACT_DERIVED
