term_id,mode_label,value,provenance
t01,mode_00,2.8284271247461903e+00,MEASURED_FROM_CODE
t01,mode_12,1.4142135623730945e+00,MEASURED_FROM_CODE
t01,mode_21,1.4142135623730951e+00,MEASURED_FROM_CODE
t02,mode_00,2.2360679774997898e+00,MEASURED_FROM_CODE
t02,mode_12,1.4142135623730947e+00,MEASURED_FROM_CODE
t02,mode_21,1.4142135623730951e+00,MEASURED_FROM_CODE
t03,mode_00,1.4142135623730951e+00,MEASURED_FROM_CODE
t03,mode_12,1.4142135623730949e+00,MEASURED_FROM_CODE
t03,mode_21,1.4142135623730949e+00,MEASURED_FROM_CODE
t04,mode_00,1.0000000000000000e+00,MEASURED_FROM_CODE
t04,mode_12,9.9999999999999978e-01,MEASURED_FROM_CODE
t04,mode_21,9.9999999999999978e-01,MEASURED_FROM_CODE
t05,mode_00,3.0000000000000000e+00,MEASURED_FROM_CODE
t05,mode_12,1.7320508075688765e+00,MEASURED_FROM_CODE
t05,mode_21,1.7320508075688776e+00,MEASURED_FROM_CODE
t06,mode_00,1.4142135623730951e+00,MEASURED_FROM_CODE
t06,mode_12,1.4142135623730949e+00,MEASURED_FROM_CODE
t06,mode_21,1.4142135623730949e+00,MEASURED_FROM_CODE
t07,mode_00,1.7320508075688772e+00,MEASURED_FROM_CODE
t07,mode_12,3.4641016151377544e+00,MEASURED_FROM_CODE
t07,mode_21,3.4641016151377539e+00,MEASURED_FROM_CODE
t08,mode_00,1.4142135623730951e+00,MEASURED_FROM_CODE
t08,mode_12,1.4142135623730949e+00,MEASURED_FROM_CODE
t08,mode_21,1.4142135623730949e+00,MEASURED_FROM_CODE
t09,mode_00,0.0000000000000000e+00,MEASURED_FROM_CODE
t09,mode_12,0.0000000000000000e+00,MEASURED_FROM_CODE
t09,mode_21,0.0000000000000000e+00,MEASURED_FROM_CODE
t10,mode_00,4.0000000000000000e+00,MEASURED_FROM_CODE
t10,mode_12,1.9999999999999991e+00,MEASURED_FROM_CODE
t10,mode_21,2.0000000000000000e+00,MEASURED_FROM_CODE
t11,mode_00,2.4494897427831779e+00,MEASURED_FROM_CODE
t11,mode_12,2.4494897427831779e+00,MEASURED_FROM_CODE
t11,mode_21,2.4494897427831779e+00,MEASURED_FROM_CODE
t12,mode_00,2.4494897427831779e+00,MEASURED_FROM_CODE
t12,mode_12,2.4494897427831779e+00,MEASURED_FROM_CODE
t12,mode_21,2.4494897427831779e+00,MEASURED_FROM_CODE
t13,mode_00,0.0000000000000000e+00,MEASURED_FROM_CODE
t13,mode_12,1.7320508075688772e+00,MEASURED_FROM_CODE
t13,mode_21,1.7320508075688772e+00,MEASURED_FROM_CODE
t14,mode_00,1.4142135623730951e+00,MEASURED_FROM_CODE
t14,mode_12,4.1231056256176597e+00,MEASURED_FROM_CODE
t14,mode_21,4.1231056256176597e+00,MEASURED_FROM_CODE
t15,mode_00,2.0000000000000000e+00,MEASURED_FROM_CODE
t15,mode_12,3.9999999999999991e+00,MEASURED_FROM_CODE
t15,mode_21,4.0000000000000000e+00,MEASURED_FROM_CODE
t16,mode_00,0.0000000000000000e+00,MEASURED_FROM_CODE
t16,mode_12,0.0000000000000000e+00,MEASURED_FROM_CODE
t16,mode_21,0.0000000000000000e+00,MEASURED_FROM_CODE
t17,mode_00,1.0000000000000000e+00,MEASURED_FROM_CODE
t17,mode_12,9.9999999999999978e-01,MEASURED_FROM_CODE
t17,mode_21,9.9999999999999989e-01,MEASURED_FROM_CODE
t18,mode_00,0.0000000000000000e+00,MEASURED_FROM_CODE
t18,mode_12,0.0000000000000000e+00,MEASURED_FROM_CODE
t18,mode_21,0.0000000000000000e+00,MEASURED_FROM_CODE
t19,mode_00,1.0000000000000000e+00,MEASURED_FROM_CODE
t19,mode_12,9.9999999999999978e-01,MEASURED_FROM_CODE
t19,mode_21,9.9999999999999989e-01,MEASURED_FROM_CODE
t20,mode_00,0.0000000000000000e+00,MEASURED_FROM_CODE
t20,mode_12,0.0000000000000000e+00,MEASURED_FROM_CODE
t20,mode_21,0.0000000000000000e+00,MEASURED_FROM_CODE
t21,mode_00,1.4142135623730951e+00,MEASURED_FROM_CODE
t21,mode_12,2.8284271247461894e+00,MEASURED_FROM_CODE
t21,mode_21,2.8284271247461898e+00,MEASURED_FROM_CODE
t22,mode_00,0.0000000000000000e+00,MEASURED_FROM_CODE
t22,mode_12,0.0000000000000000e+00,MEASURED_FROM_CODE
t22,mode_21,0.0000000000000000e+00,MEASURED_FROM_CODE
t23,mode_00,1.0000000000000000e+00,MEASURED_FROM_CODE
t23,mode_12,9.9999999999999989e-01,MEASURED_FROM_CODE
t23,mode_21,9.9999999999999989e-01,MEASURED_FROM_CODE
