term_id,source_label,mode00_norm,mode12_norm,mode21_norm,dead_x_mode_norm_total,classification,mode00_vector_json,mode12_vector_json,mode21_vector_json,step67_dominant_layer,step67_dead_x_corrector,provenance
t01,alpha_tensor_rank23_1,2.8284271247461903e+00,1.4142135623730945e+00,1.4142135623730951e+00,3.4641016151377544e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":-2.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-2.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.9999999999999996,""imag"":-5.551115123125783e-16},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.9999999999999996,""imag"":-5.551115123125783e-16},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":-3.3306690738754696e-16},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":-3.3306690738754696e-16},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t02,alpha_tensor_rank23_2,2.2360679774997898e+00,1.4142135623730947e+00,1.4142135623730951e+00,3.0000000000000000e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-2.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":-1.1102230246251565e-15,""imag"":2.220446049250313e-16},{""real"":0.4999999999999998,""imag"":-0.8660254037844387},{""real"":0.0,""imag"":0.0},{""real"":0.9999999999999996,""imag"":-5.551115123125783e-16},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":4.440892098500626e-16,""imag"":2.220446049250313e-16},{""real"":0.5000000000000003,""imag"":0.8660254037844384},{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":-3.3306690738754696e-16},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t03,alpha_tensor_rank23_3,1.4142135623730951e+00,1.4142135623730949e+00,1.4142135623730949e+00,2.4494897427831779e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.4999999999999992,""imag"":-0.8660254037844389},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.4999999999999992,""imag"":-0.8660254037844389},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.5000000000000003,""imag"":0.8660254037844384},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.5000000000000003,""imag"":0.8660254037844384},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t04,alpha_tensor_rank23_4,1.0000000000000000e+00,9.9999999999999978e-01,9.9999999999999978e-01,1.7320508075688770e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":-0.5000000000000009,""imag"":-0.8660254037844379},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":-0.4999999999999992,""imag"":0.8660254037844389},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t05,alpha_tensor_rank23_5,3.0000000000000000e+00,1.7320508075688765e+00,1.7320508075688776e+00,3.8729833462074166e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-2.0,""imag"":0.0},{""real"":2.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":-1.1102230246251565e-15,""imag"":2.220446049250313e-16},{""real"":-0.4999999999999998,""imag"":-0.8660254037844383},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.9999999999999996,""imag"":-5.551115123125783e-16},{""real"":-0.9999999999999996,""imag"":5.551115123125783e-16}]","[{""real"":0.0,""imag"":0.0},{""real"":5.551115123125783e-16,""imag"":-4.440892098500626e-16},{""real"":-0.4999999999999998,""imag"":0.8660254037844393},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":-9.992007221626409e-16},{""real"":-1.0,""imag"":9.992007221626409e-16}]",dead_x,True,EXACT_DERIVED + MEASURED_FROM_CODE
t06,alpha_tensor_rank23_6,1.4142135623730951e+00,1.4142135623730949e+00,1.4142135623730949e+00,2.4494897427831779e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":-0.5000000000000003,""imag"":-0.8660254037844384},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-0.5000000000000003,""imag"":-0.8660254037844384},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":-0.4999999999999998,""imag"":0.8660254037844387},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-0.4999999999999998,""imag"":0.8660254037844387},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t07,alpha_tensor_rank23_7,1.7320508075688772e+00,3.4641016151377544e+00,3.4641016151377539e+00,5.1961524227066311e+00,multi-mode,"[{""real"":1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":1.0,""imag"":0.0}]","[{""real"":-0.4999999999999992,""imag"":0.8660254037844389},{""real"":5.551115123125783e-16,""imag"":1.7320508075688772},{""real"":-5.551115123125783e-16,""imag"":-1.7320508075688772},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":1.1102230246251565e-15,""imag"":1.7320508075688772},{""real"":0.5000000000000003,""imag"":0.8660254037844384},{""real"":-0.5000000000000003,""imag"":-0.8660254037844384}]","[{""real"":-0.5000000000000009,""imag"":-0.8660254037844379},{""real"":-1.1102230246251565e-15,""imag"":-1.7320508075688772},{""real"":1.1102230246251565e-15,""imag"":1.7320508075688772},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.1102230246251565e-15,""imag"":-1.7320508075688767},{""real"":0.4999999999999992,""imag"":-0.8660254037844389},{""real"":-0.4999999999999992,""imag"":0.8660254037844389}]",dead_x,True,EXACT_DERIVED + MEASURED_FROM_CODE
t08,alpha_tensor_rank23_8,1.4142135623730951e+00,1.4142135623730949e+00,1.4142135623730949e+00,2.4494897427831779e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":-0.4999999999999998,""imag"":0.8660254037844387},{""real"":0.4999999999999998,""imag"":-0.8660254037844387},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":-0.5000000000000003,""imag"":-0.8660254037844384},{""real"":0.5000000000000003,""imag"":0.8660254037844384},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t09,alpha_tensor_rank23_9,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,silent,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t10,alpha_tensor_rank23_10,4.0000000000000000e+00,1.9999999999999991e+00,2.0000000000000000e+00,4.8989794855663558e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":2.0,""imag"":0.0},{""real"":-2.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":2.0,""imag"":0.0},{""real"":-2.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":-0.9999999999999996,""imag"":5.551115123125783e-16},{""real"":0.9999999999999996,""imag"":-5.551115123125783e-16},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-0.9999999999999996,""imag"":5.551115123125783e-16},{""real"":0.9999999999999996,""imag"":-5.551115123125783e-16}]","[{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":9.992007221626409e-16},{""real"":1.0,""imag"":-9.992007221626409e-16},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":9.992007221626409e-16},{""real"":1.0,""imag"":-9.992007221626409e-16}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
